0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13616 12313	1	 * 	290.36	DCR|3VULN|3DMG|2DUR|3ASPD	148ASPD|2BELT|389VULN|5LIT|69DUR|789DMG|89BPWR|aRCR
2	61252 32351	7	 * 	277.38	DCR|5VULN|2DMG|1TLV	1478aVULN|2TLV|3aCGEN|5RMIN|6RCR|9aDMG|aBPWR
3	62522 21411	10	 * 	276.54	DCR|4VULN|2DMG|2TLV|1AART|1SELL	178aVULN|2LWND|3SELL|47DMG|57TLV|6RCR|7BPWR|9AART
4	62522 21413	9	 * 	276.54	DCR|4VULN|2DMG|2TLV|1AART|1SELL	178aVULN|2LWND|3SELL|47DMG|57TLV|6RCR|7BPWR|9AART
5	23316 12164	1	 * 	274.29	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2LIT|37DMG|4ASPD|5DUST|67VULN|7BPWR|8CDMG|9TLV|aRCR
6	63252 31135	8	 * 	273.53	DCR|4VULN|3DUR|2TLV	1489VULN|2DMSP|38aDUR|5RMIN|6RCR|78TLV|8BPWR
7	63252 31113	8	   	273.53	DCR|4VULN|3DUR|2TLV	148aVULN|2DMSP|389DUR|5RMIN|6RCR|78TLV|8BPWR
8	63252 31115	8	 * 	273.53	DCR|4VULN|3DUR|3TLV	148aVULN|2DMSP|389DUR|5RMIN|6RCR|78aTLV|8aBPWR
9	13646 22314	1	 * 	271.08	DCR|3VULN|3DMG|3ASPD|3LIT	148ASPD|2BELT|349VULN|489BPWR|589LIT|6MBVNT|789DMG|aRCR
10	63251 38431	7	 * 	270.37	DCR|5VULN|2DUR|1TLV	14579VULN|2DMSP|37DUR|6MBVNT|7BPWR|8RCR|aTLV
11	62522 21431	8	 * 	269.14	DCR|3VULN|2DMG|2TLV|1CDMG|1AART|1SELL	178VULN|2LWND|3SELL|47DMG|57TLV|6RCR|7BPWR|9CDMG|aAART
12	61252 32351	6	 * 	267.12	DCR|4VULN|2DMG|2TLV	148aVULN|27TLV|3aCGEN|5RMIN|6RCR|9aDMG|aBPWR
13	62522 21331	10	   	266.88	DCR|4VULN|2DMG|2TLV|1SELL	179aVULN|2LWND|3SELL|47DMG|57TLV|6RCR|7BPWR|8ZMB
14	66522 21331	10	   	266.88	DCR|4VULN|2DMG|2TLV|1SELL	179aVULN|2LHND|3SELL|47DMG|57TLV|6RCR|7BPWR|8ZMB
15	66243 33113	8	 * 	266.73	ACR|4VULN|3DMG|2TLV|1DUR	1678VULN|2LHND|3RCR|48TLV|58aDMG|8BPWR|9DUR
16	62152 31113	8	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1348VULN|28LWND|5RMIN|6RCR|78TLV|8BPWR|9DUR|aDMG
17	66152 31113	8	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1348VULN|28LHND|5RMIN|6RCR|78TLV|8BPWR|9DUR|aDMG
18	66243 33112	8	 * 	265.66	ACR|4VULN|2DMG|2TLV|2DUR	1678VULN|2LHND|3RCR|48TLV|58DMG|8BPWR|9aDUR
19	61661 31222	7	 * 	265.16	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	17VULN|2TLV|37CDMG|4DUR|5FEWX|679DMG|7BPWR|8BEXP|aRCR
20	61661 31122	8	   	265.06	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	17VULN|2TLV|37CDMG|4DUR|5FEWX|679DMG|7BPWR|8DUST|aRCR
21	21252 14323	7	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	16aDUR|2TLV|3CGEN|467VULN|5RPLT|6BPWR|8RCR|9DMG
