0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31131 44412	9	 * 	258.45	DCR|3VULN|3DMG|1DUR|2LIT	17LIT|267DMG|3ERES|4FEWX|579VULN|7BPWR|8DUR|aRCR
2	31143 52126	2	 * 	257.39	DCR|2VULN|2DMG|2TLV|3LIT|1DUR	137LIT|2aDMG|4aVULN|5ERES|6RCR|8DUR|9aTLV|aBPWR
3	11635 22263	7	 * 	254.24	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|249VULN|3DUR|5LHND|69DMG|7TLV|89CGEN|9BPWR|aRCR
4	11635 22363	8	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|249VULN|3DUR|5LHND|69DMG|7TLV|89MLV|9BPWR|aRCR
5	11635 22362	9	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|24aVULN|3DUR|5LHND|6aDMG|7TLV|8aMLV|9RCR|aBPWR
6	11536 32621	8	 * 	254.23	DCR|3VULN|2DMG|3TLV|1SELL	179LWND|27aVULN|3LIT|4aDMG|5SELL|67aTLV|7aBPWR|8RCR
7	31131 64333	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|27DMG|3ERES|46FEWX|57aVULN|7BPWR|8RCR|9TLV
8	31131 34333	7	   	252.65	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|27DMG|36ERES|4FEWX|57aVULN|7BPWR|8RCR|9TLV
9	11621 64131	9	 * 	252.48	DCR|3VULN|3DUR|2TLV	156LWND|29aVULN|349DUR|7RCR|89TLV|9BPWR
10	41626 33131	8	   	252.48	DCR|3VULN|3DUR|2TLV	157BEXP|29aVULN|349DUR|6RCR|89TLV|9BPWR
11	41626 33131	9	   	252.48	DCR|3VULN|3DUR|2TLV	157BEXP|29aVULN|349DUR|6RCR|89TLV|9BPWR
12	41125 33622	3	 * 	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2aVULN|3ERES|4ASPD|5aDMG|6RCR|7TLV|8aDUR|9RMIN|aBPWR
13	11252 33561	10	 * 	252.22	DCR|4VULN|2DUR|1TLV	18LWND|248aVULN|3FEWX|5BEXP|68DUR|7RCR|8BPWR|9TLV
14	11252 33563	10	 * 	251.24	DCR|3VULN|2DUR|1TLV|1DMG	18LWND|248VULN|3FEWX|5BEXP|68DUR|7RCR|8BPWR|9TLV|aDMG
15	11632 66311	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|249aVULN|3DUR|5BEXP|6TLV|7CDMG|8RCR
16	11633 66311	10	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|249aVULN|3DUR|5DUST|6TLV|7CDMG|8RCR
17	31111 25333	3	   	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	17aLIT|27DMG|3ERES|4DMSP|5DUR|67VULN|7BPWR|8RCR|9TLV
18	31611 25333	3	   	249.31	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	17aLIT|27DMG|3RCVC|4ERES|5DUR|67VULN|7BPWR|8RCR|9TLV
19	31141 25333	3	   	249.21	DCR|2VULN|2DMG|1TLV|3LIT|1DUR	17aLIT|27DMG|34ERES|5DUR|67VULN|7BPWR|8RCR|9TLV
20	11631 64133	10	   	248.91	DCR|3VULN|2TLV|2DUR|1AART	156LWND|249VULN|39DUR|7RCR|89TLV|9BPWR|aAART
21	31131 44422	8	 * 	248.34	DCR|2VULN|3DMG|2DUR|2LIT	17LIT|267DMG|3ERES|4FEWX|57VULN|7BPWR|89DUR|aRCR
22	11621 64133	9	 * 	247.85	DCR|2VULN|3DUR|2TLV|1DMG	156LWND|29VULN|349DUR|7RCR|89TLV|9BPWR|aDMG
23	41626 33133	8	   	247.85	DCR|2VULN|3DUR|2TLV|1DMG	157BEXP|29VULN|349DUR|6RCR|89TLV|9BPWR|aDMG
24	41626 33133	9	   	247.85	DCR|2VULN|3DUR|2TLV|1DMG	157BEXP|29VULN|349DUR|6RCR|89TLV|9BPWR|aDMG
25	36121 43221	8	   	247.78	DCR|2VULN|3DUR|1TLV|1DMG	1LIT|2LEGI|347DUR|5aVULN|6DMG|8RCR|9TLV
26	11116 25263	5	   	247.46	DCR|3VULN|2TLV|2DUR	1LWND|279VULN|3ERES|4LHND|59DUR|6ASPD|89TLV|9BPWR|aRCR
27	31111 25316	3	   	247.40	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG	17LIT|279DMG|3ERES|4DMSP|5DUR|67VULN|7BPWR|8RCR|aCDMG
28	31611 25316	3	   	247.40	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG	17LIT|279DMG|3RCVC|4ERES|5DUR|67VULN|7BPWR|8RCR|aCDMG
29	31131 44321	10	 * 	247.40	DCR|3VULN|3DMG|3LIT	179LIT|267DMG|3ERES|49FEWX|579VULN|79BPWR|8RPLT|aRCR
30	31141 25316	3	   	247.30	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG	17LIT|279DMG|34ERES|5DUR|67VULN|7BPWR|8RCR|aCDMG
31	11561 21316	8	   	246.30	DCR|3VULN|2DMG|1TLV	18LWND|258VULN|3LIT|4TLV|68CGEN|7RCR|8BPWR|9aDMG
32	11536 32622	9	 * 	246.20	DCR|3VULN|2TLV|1DMG|1AART|1SELL	17LWND|27aVULN|3LIT|4DMG|5SELL|67TLV|7BPWR|8RCR|9AART
33	11641 11142	8	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LWND|29aVULN|3DUR|4AART|5DMG|6FEWX|7TLV|8RCR
34	41241 31142	8	   	246.11	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1BEXP|29aVULN|3FEWX|4AART|5DMG|6DUR|7TLV|8RCR
35	11635 26311	10	 * 	244.95	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|249aVULN|3DUR|5LHND|6DMG|7CDMG|8RCR
36	14633 26311	10	   	244.95	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|2LHND|3DUR|459aVULN|6DMG|7CDMG|8RCR
37	11561 35232	9	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|25aVULN|3LIT|4TLV|6DUR|7RCR|8LHND|9DMG
38	31142 51413	2	   	244.72	DCR|3VULN|1TLV|1DMG|2LIT|1AART	13LIT|2DMG|49aVULN|5TLV|6RCR|7BEXP|8AART
39	11622 66311	10	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|29aVULN|34DUR|5BEXP|6TLV|7CDMG|8RCR
40	31142 53413	2	   	244.62	DCR|3VULN|1TLV|1DMG|2LIT|1AART	13LIT|2DMG|49aVULN|5TLV|6RCR|7DUST|8AART
41	11623 66311	10	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|29aVULN|34DUR|5DUST|6TLV|7CDMG|8RCR
42	31111 25332	3	   	244.30	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3ERES|4DMSP|5DUR|67VULN|7BPWR|8RCR|9TLV|aFEWX
43	31111 25336	3	   	244.30	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3ERES|4DMSP|5DUR|67VULN|7BPWR|8RCR|9TLV|aCGEN
44	31611 25332	3	   	244.30	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3RCVC|4ERES|5DUR|67VULN|7BPWR|8RCR|9TLV|aFEWX
45	31611 25336	3	   	244.30	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3RCVC|4ERES|5DUR|67VULN|7BPWR|8RCR|9TLV|aCGEN
46	31111 25331	3	   	244.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3aERES|4DMSP|5DUR|67VULN|7BPWR|8RCR|9TLV
47	31141 25332	3	   	244.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|34ERES|5DUR|67VULN|7BPWR|8RCR|9TLV|aFEWX
48	31141 25336	3	   	244.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|34ERES|5DUR|67VULN|7BPWR|8RCR|9TLV|aCGEN
49	31142 51343	2	   	244.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	13LIT|2aDMG|49VULN|5TLV|6RCR|7BEXP|8DUR
50	31611 25331	3	   	244.20	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|3RCVC|4aERES|5DUR|67VULN|7BPWR|8RCR|9TLV
51	11625 22263	7	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|29VULN|34DUR|5LHND|69DMG|7TLV|89CGEN|9BPWR|aRCR
52	11625 22363	8	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|29VULN|34DUR|5LHND|69DMG|7TLV|89MLV|9BPWR|aRCR
53	11625 22362	9	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|2aVULN|34DUR|5LHND|6aDMG|7TLV|8aMLV|9RCR|aBPWR
54	31141 25331	3	   	244.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27DMG|34aERES|5DUR|67VULN|7BPWR|8RCR|9TLV
55	31142 53343	2	   	244.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	13LIT|2aDMG|49VULN|5TLV|6RCR|7DUST|8DUR
56	31145 12363	2	   	244.10	DCR|2VULN|2DMG|1TLV|1DUR|2LIT	13LIT|2aDMG|45VULN|6MBVNT|7RCR|8TLV|9DUR
57	33131 22533	1	 * 	244.08	DCR|2VULN|2TLV|2DUR|3LIT|1AART	135LIT|2AART|49TLV|6LHND|79DUR|89VULN|9BPWR|aRCR
58	31131 44532	9	 * 	243.71	DCR|2VULN|3DMG|1TLV|2LIT	17LIT|267DMG|3ERES|4FEWX|57VULN|7BPWR|8TLV|9RMIN|aRCR
59	31131 64336	7	   	243.71	DCR|2VULN|3DMG|1TLV|2LIT	17LIT|27aDMG|3ERES|46FEWX|57VULN|7BPWR|8RCR|9TLV
60	31131 34336	7	   	243.61	DCR|2VULN|3DMG|1TLV|2LIT	17LIT|27aDMG|36ERES|4FEWX|57VULN|7BPWR|8RCR|9TLV
61	31241 16531	2	   	243.51	DCR|2VULN|3DMG|1DUR|2LIT|1AART	1aLIT|29aDMG|3DUR|4LHND|5aVULN|6AART|7RPLT|8RCR|aBPWR
