0	Index      	 *	Score 	Summary	Detail	
1	63423 32612	 * 	190.81	DCR|3DMG|2VULN|2ZMB|1FLTHEA|1ASPD	1LEGI|29ZMB|39VULN|4ASPD|5LWND|6RCR|789DMG|9BPWR|aFLTHEA
2	23231 62633	 * 	189.43	DCR|4VULN|2DMG|2CDMG	1RCVC|2NUKE|389aVULN|4RPLT|5aDMG|6RCR|7aCDMG|aBPWR
3	43231 62633	   	189.43	DCR|4VULN|2DMG|2CDMG	1DMSP|2NUKE|389aVULN|4RPLT|5aDMG|6RCR|7aCDMG|aBPWR
4	12131 16636	 * 	186.60	DCR|3VULN|2DMG|1AART|2DUR	17DUR|24MGNLIT|3NUKE|57DMG|67aVULN|7BPWR|8RCR|9AART
5	52223 25612	   	182.96	DCR|3VULN|2DMG|2CDMG|2DUR	1RPLT|29DUR|359VULN|45CGEN|59BPWR|6aDMG|79CDMG|8RCR
6	52252 42418	   	182.65	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	1RPLT|29DUR|389VULN|4MBVNT|5ZMB|6CDMG|79DMG|9BPWR|aRCR
7	14332 23441	 * 	182.50	DCR|2AART|2DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|24LIT|34DMG|4BPWR|56AART|7VULN|8RCR|9ASPD|aCDMG
8	12131 16633	 * 	182.39	DCR|2VULN|2DMG|2AART|2DUR	17DUR|24MGNLIT|3NUKE|57DMG|67VULN|7BPWR|8RCR|9aAART
9	63423 32214	 * 	181.77	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	1LEGI|29ZMB|39VULN|48ASPD|5LWND|6RCR|79DMG|9BPWR|aCDMG
10	15332 24163	 * 	179.70	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	19DUR|2CDMG|3AART|469CGEN|589VULN|7RCR|9BPWR|aZMB
11	25162 22331	 * 	178.77	DCR|3VULN|3DMG|2ZMB	1RCVC|268DMG|3BELT|4CGEN|58ZMB|78aVULN|8BPWR|9RCR
12	45162 22331	   	178.77	DCR|3VULN|3DMG|2ZMB	1DMSP|268DMG|3BELT|4CGEN|58ZMB|78aVULN|8BPWR|9RCR
13	25142 26331	   	178.67	DCR|3VULN|3DMG|2ZMB	1RCVC|268DMG|3BELT|4TLV|58ZMB|78aVULN|8BPWR|9RCR
14	12131 16631	   	177.88	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	17DUR|24MGNLIT|3NUKE|57DMG|67VULN|7BPWR|8RCR|9AART|aASPD
15	14313 31135	   	177.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2LIT|3aDMG|4LWND|5ASPD|6AART|7RPLT|8aVULN|9RCR|aBPWR
16	14332 41236	 * 	177.37	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|24LIT|346DMG|4BPWR|5AART|7VULN|8MLV|9RCR|aCDMG
