0	Index      	 *	Score 	Summary	Detail	
1	51338 51422	 * 	180.07	DCR|3VULN|2AART|3CDMG	1MLV|25aCDMG|3MBVNT|458VULN|5BPWR|6RCR|79AART
2	62136 43332	 * 	178.56	DCR|2DMG|2AART|3ZMB|1VULN	1LEGI|27LIT|379ZMB|47DMG|56AART|7BPWR|8VULN|aRCR
3	31333 13655	 * 	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|2FEWX|3AART|49VULN|5RPLT|6aDMG|7RCR|8CDMG
4	51623 41223	 * 	177.72	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1MLV|2aCDMG|3DUR|4ZMB|5aDMG|6RCR|7DMSP|8CGEN|9aVULN|aBPWR
5	51623 43223	   	177.72	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1MLV|2aCDMG|3DUR|4ZMB|5aDMG|6RCR|7RCVC|8CGEN|9aVULN|aBPWR
6	51423 43223	 * 	176.82	DCR|2VULN|2DMG|3CDMG|1ZMB	1MLV|27aCDMG|3LHND|4ZMB|5aDMG|6RCR|8CGEN|9aVULN|aBPWR
7	51623 12323	 * 	176.67	DCR|2VULN|2DMG|2CDMG|2ZMB|1DUR	1MLV|2aCDMG|3DUR|46ZMB|5aDMG|7TLV|8RCR|9aVULN|aBPWR
8	31333 13651	 * 	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3AART|49aVULN|5RPLT|6DMG|7RCR|8CDMG
9	31335 54144	 * 	175.57	DCR|3VULN|2DMG|1AART	18BEXP|2FEWX|3AART|48aVULN|5BELT|6MBVNT|78DMG|8BPWR|9RCR
10	34134 13331	   	175.22	DCR|2VULN|2DMG|1AART|1ZMB	19BEXP|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aZMB
11	55412 31223	 * 	175.16	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1MLV|2aVULN|3DMG|4TLV|5AART|6CDMG|7FLTHEA|8DUR|9RCR
12	14134 13331	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	19DUST|2DMSP|35DMG|49VULN|6RCR|79LIT|8AART|9BPWR|aZMB
13	34134 13351	   	175.02	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aZMB
14	14134 13351	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2DMSP|35DMG|49VULN|6RCR|7LIT|8AART|aZMB
15	51338 51421	   	174.03	DCR|3VULN|2AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|79AART|aRCVC
16	51338 51424	   	174.03	DCR|3VULN|2AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|79AART|aCGEN
17	51337 51422	   	173.93	DCR|3VULN|2AART|2CDMG	1MLV|2aCDMG|3MBVNT|458VULN|6RCR|79AART
18	51338 51423	   	173.93	DCR|3VULN|2AART|2CDMG	1MLV|25CDMG|3MBVNT|458VULN|5BPWR|6RCR|79AART|aERES
19	51423 22323	   	172.92	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1MLV|2aCDMG|37LHND|4ZMB|5aDMG|6ASPD|8RCR|9aVULN|aBPWR
20	51338 54213	 * 	171.74	DCR|4VULN|1DMG|2CDMG	1MLV|25CDMG|3MBVNT|457aVULN|5BPWR|6RCR|8CGEN|9DMG
21	51338 54221	   	171.74	DCR|4VULN|1DMG|2CDMG	1MLV|25CDMG|3MBVNT|4579VULN|5BPWR|6RCR|8CGEN|aDMG
22	51338 54441	   	171.74	DCR|4VULN|1DMG|2CDMG	1MLV|25CDMG|3MBVNT|4578VULN|5BPWR|6RCR|9CGEN|aDMG
23	66221 31411	 * 	171.54	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	1LEGI|27CDMG|3FLTHEA|47DUST|57DMG|6DMSP|7BPWR|8VULN|9RCR|aAART
24	34134 12235	   	170.35	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2DMSP|35DMG|4aVULN|6RCR|7DUR|8FEWX|9AART
25	14134 12235	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1DUST|2DMSP|35DMG|4aVULN|6RCR|7DUR|8FEWX|9AART
26	14134 12612	   	169.65	DCR|2VULN|2DMG|1AART|1DUR	1DUST|2DMSP|35DMG|48VULN|6RCR|7DUR|9LWND|aAART
27	11331 66253	 * 	168.62	DCR|3VULN|1AART|2ZMB|1FLTHEA	157DUST|2FEWX|3AART|479VULN|67ZMB|7BPWR|8RCR|aFLTHEA
28	11331 66261	 * 	168.62	DCR|3VULN|1AART|2ZMB|1CDMG	157DUST|2FEWX|3AART|47aVULN|67ZMB|7BPWR|8RCR|9CDMG
29	51338 51413	   	168.52	DCR|3VULN|3CDMG|1AART	1MLV|25aCDMG|3MBVNT|458VULN|5BPWR|6RCR|7AART|9NUKE
30	31335 54182	   	168.52	DCR|2VULN|2DMG|1AART|1ZMB	18BEXP|2FEWX|3AART|48VULN|5BELT|6MBVNT|78DMG|8BPWR|9ZMB|aRCR
31	34114 12334	 * 	168.42	DCR|3DMG|1AART|1VULN|1DUR	1BEXP|2DMSP|358DMG|4LHND|6RCR|7DUR|9AART|aVULN
32	14114 12334	   	168.32	DCR|3DMG|1AART|1VULN|1DUR	1DUST|2DMSP|358DMG|4LHND|6RCR|7DUR|9AART|aVULN
