0	Index      	 *	Score 	Summary	Detail	
1	11116 43513	 * 	192.27	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9DUR|aFLTHEA
2	13623 23325	 * 	191.84	ACR|3VULN|2DMG|1AART|1CDMG	178VULN|2MGNLIT|3AART|4TLV|5RCR|69DMG|aCDMG
3	11113 43131	 * 	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|25MLV|3ZMB|4CDMG|6RCR|78DMG|9AART
4	11413 45131	   	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|25MLV|38DMG|4CDMG|6RCR|7ZMB|9AART
5	11113 43133	 * 	186.13	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|3ZMB|4CDMG|6RCR|78aDMG|9AART
6	11413 45133	   	186.13	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|25MLV|38aDMG|4CDMG|6RCR|7ZMB|9AART
7	11116 43523	   	185.33	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	18VULN|2MLV|3ZMB|4CDMG|5DMG|6RCR|7AART|9FEWX|aFLTHEA
8	14316 23113	 * 	184.92	DCR|3VULN|2DMG|1AART|1CDMG	137VULN|2LWND|4CDMG|58DMG|6RCVC|9RCR|aAART
9	14316 33313	   	184.92	DCR|3VULN|2DMG|1AART|1CDMG	137VULN|2LWND|4CDMG|56DMG|8RCVC|9RCR|aAART
10	14316 33613	   	184.92	DCR|3VULN|2DMG|1AART|1CDMG	137VULN|28LWND|4CDMG|56DMG|9RCR|aAART
11	33116 43511	 * 	182.53	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB	1FEWX|2CGEN|3ZMB|4CDMG|57DMG|6RCR|89AART|aVULN
12	13623 23242	 * 	181.64	ACR|4VULN|1AART|1DMG|1ASPD	179aVULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|8ASPD
13	13623 23342	   	181.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	178VULN|2MGNLIT|3AART|4TLV|5RCR|6DMG|9DUR|aCDMG
14	13623 23261	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	17VULN|2MGNLIT|3AART|4TLV|5RCR|6aDMG|8ASPD|9ZMB
15	11116 43413	   	178.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7AART|8CGEN|9DUR
16	11116 43633	   	178.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MLV|3ZMB|4CDMG|5aDMG|6RCR|7AART|8FEWX|9DUR
17	15116 43113	   	178.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2CGEN|3ZMB|4CDMG|5aDMG|6RCR|7AART|8MLV|9DUR
