0	Index      	 *	Score 	Summary	Detail	
1	63463 22222	 * 	207.88	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|36aVULN|4AART|5BEXP|7DUR|89DMG
2	63463 22232	 * 	204.39	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2CDMG|369aVULN|4AART|5BEXP|7DUR|8DMG
3	21322 25222	 * 	199.67	ACR|3VULN|2AART|2DMG|1DUR	1DUR|25AART|3RPLT|4RCR|67aVULN|89DMG
4	63261 36222	 * 	198.53	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCR|25CDMG|3DUR|4AART|6BEXP|7aVULN|89DMG
5	63463 32222	   	198.53	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1RCR|26CDMG|3aVULN|4AART|5BEXP|7DUR|89DMG
6	63261 36232	 * 	196.60	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	1RCR|25CDMG|3DUR|4AART|6BEXP|79aVULN|8DMG
7	63463 32232	   	196.60	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	1RCR|26CDMG|39aVULN|4AART|5BEXP|7DUR|8DMG
8	21322 25232	 * 	196.19	ACR|4VULN|2AART|1DMG|1DUR	1DUR|25AART|3RPLT|4RCR|679aVULN|8DMG
9	63415 21123	   	195.43	ACR|4VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2CDMG|368aVULN|4RCVC|5ZMB|7DUR|9AART
10	65233 22333	   	194.87	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	1RCR|2ERES|35DMG|45DUR|5BPWR|69VULN|7SELL|8AART|aCDMG
11	63462 22212	   	194.70	ACR|3VULN|2AART|1DMG|1CDMG	1RCR|2CDMG|378VULN|45AART|6BASICY|9CGEN|aDMG
12	63211 52222	   	193.53	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|3DUR|4RCVC|5FEWX|6aVULN|7AART|89DMG
13	63411 32222	   	193.53	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|3aVULN|4RCVC|5FEWX|6DUR|7AART|89DMG
14	63413 62222	   	193.53	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|3aVULN|4RCVC|5DUR|6BEXP|7AART|89DMG
15	11322 25222	   	192.63	ACR|3VULN|2AART|2DMG	1DUST|25AART|3RPLT|4RCR|67aVULN|89DMG
16	31233 22333	   	192.47	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	1ERES|2RCR|35DMG|45DUR|5BPWR|69VULN|7SELL|8AART|aCDMG
17	64353 33233	 * 	192.39	ACR|2AART|2VULN|1DMG|2CDMG|1DUR	1RCR|2DUR|3CGEN|45AART|69VULN|7DMG|8aCDMG
18	63262 36222	   	192.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|3DUR|4AART|5DMSP|6BEXP|7aVULN|89DMG
19	63463 22221	   	192.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|36VULN|4AART|5BEXP|7DUR|89DMG|aLIT
20	63463 22223	   	192.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2CDMG|36VULN|4AART|5BEXP|7DUR|89DMG|aRPLT
21	21536 52233	 * 	192.12	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1DUR|2AART|3CGEN|46DMG|59VULN|7RCR|8aCDMG
22	63211 52232	   	191.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2CDMG|3DUR|4RCVC|5FEWX|69aVULN|7AART|8DMG
