0	Index      	 *	Score 	Summary	Detail	
1	12614 53541	 * 	196.05	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	17VULN|2CDMG|37DUR|4MBVNT|5BELT|679DMG|7BPWR|8AART|aRCR
2	53166 12323	 * 	195.32	DCR|3VULN|2DMG|1AART|3DUR	18aDUR|278VULN|3LIT|4LHND|58DMG|6RCR|8BPWR|9AART
3	53166 12321	   	191.50	DCR|3VULN|2DMG|1AART|2DUR	18DUR|278VULN|3LIT|4LHND|58DMG|6RCR|8BPWR|9AART|aBEXP
4	53166 12322	   	191.40	DCR|3VULN|2DMG|1AART|2DUR	18DUR|278VULN|3LIT|4LHND|58DMG|6RCR|8BPWR|9AART|aERES
5	12214 43362	 * 	191.28	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57CGEN|6RCR|79BPWR|89aDMG
6	12224 43362	   	191.28	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57CGEN|6RCR|79BPWR|89aDMG
7	12211 43362	   	191.08	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47LHND|57TLV|6RCR|79BPWR|89aDMG
8	12221 43362	   	191.08	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47BEXP|57TLV|6RCR|79BPWR|89aDMG
9	12231 43362	   	191.08	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57FEWX|6RCR|79BPWR|89aDMG
10	12233 43362	   	191.08	DCR|3VULN|3DMG|2CDMG	179VULN|29CDMG|3RMIN|47TLV|57BEXP|6RCR|79BPWR|89aDMG
11	12125 22417	 * 	190.13	DCR|3DMG|2VULN|1AART|2CDMG	17VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|8AART|9MBVNT|aRCR
12	12344 12224	 * 	189.10	ACR|3VULN|3DMG|2CDMG	18aVULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|789DMG|8BPWR
13	12235 41362	   	187.56	DCR|3DMG|2VULN|2CDMG|2DUR	19VULN|29CDMG|3RMIN|4TLV|57DUR|6RCR|89aDMG|9BPWR
14	12251 41362	   	187.56	DCR|3DMG|2VULN|2CDMG|2DUR	19VULN|29CDMG|3RMIN|47DUR|5TLV|6RCR|89aDMG|9BPWR
15	12211 43365	   	186.43	DCR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3RMIN|47LHND|57TLV|6RCR|79BPWR|89DMG|aZMB
16	12221 43365	   	186.43	DCR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3RMIN|47BEXP|57TLV|6RCR|79BPWR|89DMG|aZMB
17	12231 43365	   	186.43	DCR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3RMIN|47TLV|57FEWX|6RCR|79BPWR|89DMG|aZMB
18	12233 43365	   	186.43	DCR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3RMIN|47TLV|57BEXP|6RCR|79BPWR|89DMG|aZMB
19	16166 12323	   	186.21	DCR|3VULN|2DMG|1AART|1DUR	178VULN|28LIT|3FEWX|4LHND|58DMG|6RCR|8BPWR|9AART|aDUR
20	14124 36123	 * 	186.02	DCR|3VULN|3DMG|1AART	147VULN|267DMG|367BEXP|5RMIN|67BPWR|8AART|9MGNSTR|aRCR
21	12241 32134	 * 	185.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	157VULN|2CDMG|3RMIN|4AART|6aDUR|8RCR|9DMG
22	33166 12312	 * 	185.12	DCR|4VULN|3DMG	189DUST|278aVULN|3LIT|4aLHND|58aDMG|6RCR|8aBPWR
23	12241 62133	   	184.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2CDMG|3RMIN|4AART|6FEWX|8RCR|9DMG|aZMB
24	53522 32133	 * 	184.33	DCR|5VULN|2DMG|1DUR	1DUR|2469aVULN|36DMG|5MBVNT|6BPWR|7LWND|8RCR
25	14323 32354	   	184.21	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	146VULN|2DMG|3LWND|5ASPD|7CDMG|8RCR|9AART|aDUR
26	12125 22323	   	183.88	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aBEXP
27	12125 22324	   	183.88	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aLIT
28	12125 22325	   	183.88	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aFEWX
29	12125 22321	   	183.78	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aBASICY
30	12125 22322	   	183.78	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aDUST
31	12125 22326	   	183.78	DCR|3VULN|3DMG|2CDMG	178VULN|27CDMG|3RCVC|457DMG|6BELT|7BPWR|9RCR|aNUKE
32	34133 36312	   	183.61	DCR|3VULN|2DMG|1AART|1DUR	17DUST|27DMG|3BEXP|4DUR|5AART|67aVULN|7BPWR|8RCR|9CGEN
33	23418 82223	 * 	183.51	DCR|3DMG|2VULN|3ZMB|1SELL	1SELL|28aZMB|3LIT|4MBVNT|58VULN|6RCR|789DMG|8BPWR
34	14124 32353	   	183.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|26DMG|36BEXP|5RMIN|6BPWR|7CDMG|8RCR|9AART|aZMB
35	53521 53322	   	183.20	DCR|4VULN|2DMG|2DUR|1ZMB	17DUR|2478VULN|37DMG|5BELT|6RPLT|7BPWR|9ZMB|aRCR
36	12614 53322	   	182.65	DCR|3VULN|2DMG|1CDMG|2DUR|1ZMB	178VULN|2CDMG|37DUR|4MBVNT|5BELT|67DMG|7BPWR|9ZMB|aRCR
37	12214 43361	   	182.57	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47LHND|57CGEN|6RCR|79BPWR|89DMG|aASPD
38	12224 43361	   	182.57	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47BEXP|57CGEN|6RCR|79BPWR|89DMG|aASPD
39	16336 34122	 * 	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	169VULN|2LIT|3MLV|4RCR|5AART|7DUR|8DMG|aCDMG
40	12342 12234	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	178VULN|2CDMG|37LWND|4RCR|5AART|67ERES|7BPWR|9DMG|aDUR
41	12342 52234	   	182.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	178VULN|2CDMG|37LWND|4RCR|5AART|67TLV|7BPWR|9DMG|aDUR
42	13421 41421	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3LHND|49CDMG|5FEWX|6RCR|7DUR|89DMG|9BPWR|aLWND
43	13421 41422	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3LHND|49CDMG|5FEWX|6RCR|7DUR|89DMG|9BPWR|aLIT
44	13423 41421	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3LHND|49CDMG|5BEXP|6RCR|7DUR|89DMG|9BPWR|aLWND
45	13423 41422	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3LHND|49CDMG|5BEXP|6RCR|7DUR|89DMG|9BPWR|aLIT
46	13521 41421	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3BEXP|49CDMG|5FEWX|6RCR|7DUR|89DMG|9BPWR|aLWND
47	13521 41422	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	129VULN|3BEXP|49CDMG|5FEWX|6RCR|7DUR|89DMG|9BPWR|aLIT
48	12211 43361	   	182.37	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47LHND|57TLV|6RCR|79BPWR|89DMG|aASPD
49	12221 43361	   	182.37	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47BEXP|57TLV|6RCR|79BPWR|89DMG|aASPD
50	12231 43361	   	182.37	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47TLV|57FEWX|6RCR|79BPWR|89DMG|aASPD
51	12233 43361	   	182.37	DCR|3VULN|2DMG|2CDMG|1ASPD	179VULN|29CDMG|3RMIN|47TLV|57BEXP|6RCR|79BPWR|89DMG|aASPD
52	14322 36452	   	182.17	DCR|3VULN|3DMG|1CDMG	149VULN|26aDMG|36LWND|5MBVNT|6BPWR|7RCR|8CDMG
53	14322 46412	   	182.07	DCR|3VULN|3DMG|1CDMG	146VULN|29aDMG|3LWND|5MBVNT|7RCR|8CDMG
54	12633 43423	 * 	181.96	DCR|2VULN|2DMG|3CDMG|3DUR	19VULN|24aCDMG|349DUR|49BPWR|5BEXP|6RCR|7FEWX|89DMG
55	12242 16523	   	181.68	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|29CDMG|3RMIN|4AART|5AIRHEL|6aDMG|79LIT|8RCR|9BPWR
56	12344 12241	 * 	181.60	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|28CDMG|3LWND|4RCR|5RMIN|6LIT|78DMG|8BPWR|9AART|aRCVC
