0	Index      	 *	Score 	Summary	Detail	
1	63112 13262	 * 	195.42	DCR|3VULN|3DMG|1AART	16aVULN|2LIT|3LHND|4AART|569DMG|6BPWR|7RCR|8BELT
2	64111 12115	 * 	194.67	ACR|2AART|2VULN|2DMG|1CDMG|1DUR	17VULN|26DMG|3aAART|4CGEN|5RCR|8DUR|9CDMG
3	64111 12116	   	194.22	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	17VULN|26DMG|3AART|4CGEN|5RCR|8DUR|9CDMG|aZMB
4	64111 33321	 * 	193.94	ACR|3VULN|3DMG|1AART	189VULN|289DMG|3AART|4aCGEN|5RCR|6ERES|789DUST|89BPWR
5	64111 33322	   	193.94	ACR|3VULN|3DMG|1AART	189VULN|289DMG|3AART|4CGEN|5RCR|6ERES|789DUST|89BPWR|aMLV
6	64111 33323	   	193.94	ACR|3VULN|3DMG|1AART	189VULN|289DMG|3AART|4CGEN|5RCR|6ERES|789DUST|89BPWR|aLHND
7	64111 33324	   	193.94	ACR|3VULN|3DMG|1AART	189VULN|289DMG|3AART|4CGEN|5RCR|6ERES|789DUST|89BPWR|aFEWX
8	64111 33325	   	193.84	ACR|3VULN|3DMG|1AART	189VULN|289DMG|3AART|4CGEN|5RCR|6aERES|789DUST|89BPWR
9	63112 13463	 * 	193.42	DCR|3VULN|2DMG|1AART|1CDMG	169VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8BEXP|aCDMG
10	14213 26115	 * 	193.39	DCR|5VULN|3ZMB|1DMG	179LWND|2DMG|379ZMB|4579aVULN|6RCR|79BPWR|8RCVC
11	22156 32644	   	191.97	DCR|3VULN|2DMG|1AART|1ZMB	1RCVC|2AART|39aVULN|4ZMB|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
12	32156 32644	   	191.97	DCR|3VULN|2DMG|1AART|1ZMB	1DMSP|2AART|39aVULN|4ZMB|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
13	64111 33521	 * 	191.84	ACR|3DMG|2VULN|1AART|1CDMG	19VULN|289DMG|3AART|4CGEN|5RCR|6ERES|79DUST|9BPWR|aCDMG
14	63112 13134	 * 	191.31	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	16VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8ERES|9FLTHEA|aCDMG
15	64111 12216	 * 	189.73	ACR|3VULN|2AART|2DMG	17aVULN|26DMG|38AART|4CGEN|5RCR|9FEWX
16	64111 12223	 * 	189.63	ACR|3DMG|2AART|2VULN	17VULN|26aDMG|38AART|4CGEN|5RCR|9ERES
17	64111 12263	   	189.63	ACR|3DMG|2AART|2VULN	17VULN|26aDMG|38AART|4CGEN|5RCR|9TLV
18	63112 13131	 * 	189.11	DCR|2AART|2VULN|2DMG|1FLTHEA	16VULN|2LIT|3LHND|4aAART|56DMG|6BPWR|7RCR|8ERES|9FLTHEA
19	14434 21331	   	188.89	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1LWND|24DMG|3DUR|5ASPD|6RCR|79VULN|8AART|aZMB
20	22136 32634	   	187.91	DCR|3VULN|2DMG|1AART|1ASPD	1RCVC|2AART|39aVULN|4ASPD|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
21	32136 32634	   	187.91	DCR|3VULN|2DMG|1AART|1ASPD	1DMSP|2AART|39aVULN|4ASPD|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
22	22156 32634	   	187.76	DCR|2AART|2VULN|2DMG|1ZMB	1RCVC|29AART|3aVULN|4ZMB|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
23	32156 32634	   	187.76	DCR|2AART|2VULN|2DMG|1ZMB	1DMSP|29AART|3aVULN|4ZMB|5aBEXP|6MBVNT|7RCR|8aDMG|aBPWR
24	64111 12221	   	187.63	ACR|2AART|2VULN|2DMG|1CDMG	17VULN|26DMG|38AART|4CGEN|5RCR|9ERES|aCDMG
25	64111 12261	   	187.63	ACR|2AART|2VULN|2DMG|1CDMG	17VULN|26DMG|38AART|4CGEN|5RCR|9TLV|aCDMG
26	14153 16313	 * 	186.72	DCR|3DMG|2VULN|1AART|1CDMG	1LWND|247DMG|3AART|5CDMG|6DMSP|89VULN|aRCR
27	14153 36313	   	186.72	DCR|3DMG|2VULN|1AART|1CDMG	16LWND|247DMG|3AART|5CDMG|89VULN|aRCR
28	64153 31323	   	186.72	DCR|3DMG|2VULN|1AART|1CDMG	18VULN|249DMG|3AART|5CDMG|67LWND|aRCR
29	63112 13261	   	186.71	DCR|3DMG|2VULN|1AART|1ASPD	16VULN|2LIT|3LHND|4AART|569DMG|6BPWR|7RCR|8BELT|aASPD
30	61211 23613	 * 	186.26	ACR|4VULN|1AART|1DMG|2ZMB	1347VULN|27LWND|5RCR|67ZMB|7BPWR|8RCVC|9AART|aDMG
31	64111 12343	   	185.23	ACR|3VULN|2DMG|1AART|1DUR	17aVULN|26DMG|3AART|4CGEN|5RCR|8RMIN|9DUR
32	64223 11335	   	185.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aVULN|25DMG|3ZMB|4LIT|6AART|7MLV|8RCR|9CDMG
33	64223 11341	   	185.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19VULN|25DMG|3ZMB|4LIT|6AART|7MLV|8RCR|aCDMG
34	63112 13534	   	184.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8ASPD|9MGNSTR|aCDMG
35	63112 13132	   	184.60	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	16VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8ERES|9FLTHEA|aDUR
36	63112 13163	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8ERES|9ASPD|aCDMG
37	63112 13524	 * 	184.60	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	16VULN|2LIT|3LHND|4AART|56DMG|6BPWR|7RCR|8aASPD|9DUR
38	14213 26533	 * 	184.42	DCR|4VULN|2DMG|2ZMB	17LWND|2aDMG|37ZMB|4579VULN|6RCR|7BPWR|8BEXP
39	14213 26252	 * 	183.97	DCR|3VULN|2DMG|2ZMB|1CDMG	178LWND|29DMG|37ZMB|457VULN|6RCR|7BPWR|aCDMG
40	64222 13335	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	17aVULN|2DMG|3ZMB|4LIT|5AART|6CGEN|8RCR|9CDMG
41	64222 13341	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	179VULN|2DMG|3ZMB|4LIT|5AART|6CGEN|8RCR|aCDMG
42	54232 25322	 * 	183.62	DCR|3DMG|1VULN|2FLTHEA|1CDMG|2DUR	1CGEN|24aDMG|3CDMG|5VULN|6RCR|7aFLTHEA|8TLV|9aDUR|aBPWR
43	64111 12111	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|26DMG|3AART|4CGEN|5RCR|8DUR|9CDMG|aLIT
44	64111 12112	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|26DMG|3AART|4CGEN|5RCR|8DUR|9CDMG|aRCVC
45	64111 12113	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|26DMG|3AART|4CGEN|5RCR|8DUR|9CDMG|aFEWX
46	64111 12114	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|26DMG|3AART|4CGEN|5RCR|8DUR|9CDMG|aLWND
47	64111 16221	   	183.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|26DMG|3AART|4CGEN|5RCR|7LIT|9ASPD|aCDMG
48	63112 13531	   	182.50	DCR|2AART|2VULN|2DMG|1ASPD	16VULN|2LIT|3LHND|4aAART|56DMG|6BPWR|7RCR|8ASPD|9MGNSTR
