0	Index      	 *	Score 	Summary	Detail	
1	24633 15332	 * 	207.05	DCR|3VULN|3DMG|1AART|2DUR	1LWND|249VULN|34aDMG|4BPWR|5AART|68DUR|7RCR
2	11623 15522	   	201.66	DCR|3VULN|3DMG|1AART|1DUR	128VULN|2BPWR|39aDMG|4LHND|5AART|6DUR|7RCR
3	12623 15522	   	201.66	DCR|3VULN|3DMG|1AART|1DUR	128VULN|39aDMG|4LHND|5AART|6DUR|7RCR
4	11623 15532	 * 	200.11	DCR|4VULN|2DMG|1AART|1DUR	1289VULN|2BPWR|3aDMG|4LHND|5AART|6DUR|7RCR
5	12623 15532	   	200.11	DCR|4VULN|2DMG|1AART|1DUR	1289VULN|3aDMG|4LHND|5AART|6DUR|7RCR
6	24633 32332	   	199.02	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aCDMG
7	24633 15321	   	198.34	DCR|3DMG|2VULN|1AART|2DUR|1ASPD	1LWND|24VULN|349DMG|4BPWR|5AART|68DUR|7RCR|aASPD
8	11632 41422	   	198.11	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	12aVULN|2BPWR|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR
9	12632 41422	   	198.11	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	12aVULN|39DMG|4TLV|5ZMB|6RCR|7AART|8DUR
10	24633 15112	 * 	197.55	DCR|3DMG|2AART|2VULN|1DUR	1LWND|24VULN|34aDMG|4BPWR|59AART|6DUR|7RCR|8FEWX
11	24633 15212	   	197.45	DCR|3DMG|2AART|2VULN|1DUR	1LWND|24VULN|34aDMG|4BPWR|59AART|6DUR|7RCR|8DUST
12	24633 15132	   	195.11	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8FEWX|9ZMB|aCDMG
13	24633 15232	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1LWND|24VULN|34DMG|4BPWR|5AART|6DUR|7RCR|8DUST|9ZMB|aCDMG
14	24633 24221	   	194.82	DCR|3VULN|3DMG|1AART	1LWND|24aVULN|348DMG|4BPWR|5AART|6LIT|7RCR|9RCVC
15	24633 26332	   	194.81	DCR|2AART|2DMG|2VULN|1CDMG|1ZMB	1LWND|24VULN|34DMG|4BPWR|57AART|6LIT|8ZMB|9RCR|aCDMG
16	11632 41432	   	194.62	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	129aVULN|2BPWR|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR
17	12632 41432	   	194.62	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	129aVULN|3DMG|4TLV|5ZMB|6RCR|7AART|8DUR
18	11623 65112	 * 	194.12	DCR|3VULN|2DMG|1AART|2ZMB	12aVULN|2aBPWR|3aDMG|4LHND|5AART|6BEXP|7RCR|8BELT|9aZMB
19	12623 65112	   	194.12	DCR|3VULN|2DMG|1AART|2ZMB	12aVULN|3aDMG|4LHND|5AART|6BEXP|7RCR|8BELT|9aZMB|aBPWR
20	11323 15525	   	192.94	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	128VULN|2BPWR|3ASPD|4LHND|5AART|6DUR|7RCR|9aDMG
21	12323 15525	   	192.94	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	128VULN|3ASPD|4LHND|5AART|6DUR|7RCR|9aDMG
22	24633 24321	   	192.72	DCR|3VULN|2DMG|1AART|1CDMG	1LWND|24aVULN|34DMG|4BPWR|5AART|6LIT|7RCR|8LSRHEA|9CDMG
23	24633 32333	   	192.31	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aDUR
24	24633 32335	   	192.31	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|246VULN|34DMG|4BPWR|5AART|7LIT|8ZMB|9RCR|aASPD
25	24633 53212	   	191.82	DCR|3VULN|2DMG|1AART|2ZMB	1aLWND|24aVULN|34DMG|4aBPWR|5AART|6FEWX|7BELT|8RCR|9aZMB
26	52433 53212	   	191.82	DCR|3VULN|2DMG|1AART|2ZMB	1aDMG|24aVULN|34LWND|4aBPWR|5AART|6FEWX|7BELT|8RCR|9aZMB
27	11623 63212	   	191.72	DCR|3VULN|2DMG|1AART|2ZMB	12aVULN|2aBPWR|3aDMG|4LHND|5AART|6BEXP|7BELT|8RCR|9aZMB
28	12623 63212	   	191.72	DCR|3VULN|2DMG|1AART|2ZMB	12aVULN|3aDMG|4LHND|5AART|6BEXP|7BELT|8RCR|9aZMB|aBPWR
29	11632 41622	 * 	191.64	DCR|4VULN|1AART|1DMG|2ZMB	128aVULN|28BPWR|3DMG|48TLV|58ZMB|6RCR|7AART|9LHND
