0	Index      	 *	Score 	Summary	Detail	
1	33343 22322	 * 	203.86	DCR|3VULN|2DMG|1AART|2ASPD|1DUR	14ASPD|2AART|34aVULN|4BPWR|5LIT|6RCR|7DUR|89DMG
2	33343 22362	 * 	200.37	DCR|4VULN|1AART|1DMG|2ASPD|1DUR	14ASPD|2AART|349aVULN|4BPWR|5LIT|6RCR|7DUR|8DMG
3	33345 23226	 * 	199.74	DCR|4VULN|1AART|3ASPD|2CDMG	14aASPD|2AART|348aVULN|4aBPWR|5LHND|6RCR|7TLV|9aCDMG
4	33343 22334	   	199.21	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	14ASPD|2AART|34VULN|4BPWR|5LIT|6RCR|7DUR|8aDMG|9ZMB
5	33332 22322	   	197.24	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2AART|35aVULN|45LIT|5BPWR|6RCR|7DUR|89DMG
6	33353 22322	   	197.14	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2AART|34aVULN|5LIT|6RCR|7DUR|89DMG
7	33345 25231	 * 	196.65	DCR|3VULN|1AART|3ASPD|1DMG|1ZMB	149ASPD|2AART|348VULN|4BPWR|5LHND|6RCR|7ZMB|aDMG
8	36833 42843	 * 	196.63	DCR|3VULN|2DMG|3CDMG|3ASPD	17aASPD|2MBVNT|37aCDMG|4LIT|59DMG|67aVULN|7aBPWR|8RCR
9	33145 52123	 * 	195.56	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1ASPD|2AART|3RCR|4LSRICY|5DUR|69DMG|7CDMG|8aVULN
10	33332 22362	   	193.76	DCR|4VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2AART|359aVULN|45LIT|5BPWR|6RCR|7DUR|8DMG
11	33353 22362	   	193.66	DCR|4VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2AART|349aVULN|5LIT|6RCR|7DUR|8DMG
12	33343 22323	   	193.50	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	14ASPD|2AART|34VULN|4BPWR|5LIT|6RCR|7aDUR|89DMG
13	33355 23226	   	193.33	DCR|4VULN|1AART|2CDMG|2ASPD	1aASPD|2AART|348aVULN|5LHND|6RCR|7TLV|9aCDMG|aBPWR
