0	Index      	 *	Score 	Summary	Detail	
1	43322 23612	 * 	204.07	DCR|4VULN|1AART|3ZMB|1DMG	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aDMG
2	42252 25331	 * 	195.12	DCR|3DMG|2VULN|1AART|1CDMG	1AART|289DMG|3CDMG|4LWND|5LIT|6aVULN|7RCR
3	42212 25331	   	195.02	DCR|3DMG|2VULN|1AART|1CDMG	1AART|289DMG|3CDMG|4LEGI|5LIT|6aVULN|7RCR
4	43322 23636	 * 	193.92	DCR|3VULN|2DMG|1AART|2ZMB	1AART|236VULN|4RPLT|57ZMB|8RCR|9aDMG
5	42222 22312	 * 	193.05	DCR|2AART|2VULN|2DMG|1CDMG|1ASPD	1aAART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR
6	42226 53312	   	193.05	DCR|2AART|2VULN|2DMG|1CDMG|1ASPD	1aAART|28DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR
7	42222 22316	   	192.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aZMB
8	23243 13635	 * 	191.52	DCR|3VULN|2DMG|1AART|1CDMG	19aVULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR
9	23243 13636	   	191.52	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2LHND|3AART|45aDMG|6CGEN|7CDMG|8RCR
10	42225 32253	 * 	190.81	DCR|2VULN|2DMG|1AART|1CDMG|2ASPD	1AART|2aDMG|3CDMG|4aVULN|5BELT|6BEXP|7LWND|8RCR|9aASPD|aBPWR
11	43322 23635	   	190.44	DCR|4VULN|1AART|1DMG|2ZMB	1AART|236aVULN|4RPLT|57ZMB|8RCR|9DMG
12	23312 42266	 * 	188.55	DCR|3VULN|2DMG|2AART|1DUR	167VULN|2LHND|3DUR|4RMIN|56DMG|6BPWR|89AART|aRCR
13	42222 22216	   	186.47	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1ASPD	18AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aZMB
14	42212 25151	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|29DMG|3CDMG|4LEGI|5LIT|6aVULN|7RCR|8DUR
15	42112 31541	   	185.81	DCR|3DMG|2VULN|1AART|1ASPD	1AART|27aDMG|3ASPD|4VENICY|59VULN|6DLOT|8RCR
16	42221 22116	 * 	185.46	DCR|2VULN|1AART|3ZMB|1DMG|1CDMG	1AART|2DMG|3CDMG|47VULN|58aZMB|6LIT|9RCR
17	42221 63116	   	185.46	DCR|2VULN|1AART|3ZMB|1DMG|1CDMG	1AART|2DMG|3CDMG|46VULN|58aZMB|7LIT|9RCR
18	42226 13116	   	185.46	DCR|2VULN|1AART|3ZMB|1DMG|1CDMG	1AART|2DMG|3CDMG|45VULN|68aZMB|7LIT|9RCR
19	23312 45121	   	184.56	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	16aVULN|2LHND|3DUR|4RMIN|56DMG|6BPWR|7RCR|8ZMB|9CDMG
20	43322 23614	   	184.01	DCR|4VULN|1AART|3ZMB	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aCGEN
21	43322 23616	   	184.01	DCR|4VULN|1AART|3ZMB	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aBEXP
22	42223 36612	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27DMG|3CDMG|4aVULN|5CGEN|6DUR|8RCR|9LHND
23	41343 13622	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2LHND|3aVULN|45DMG|6CGEN|7CDMG|8RCR|9DUR
24	43322 23613	   	183.91	DCR|4VULN|1AART|3ZMB	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aDUST
25	43322 23615	   	183.91	DCR|4VULN|1AART|3ZMB	1AART|2369VULN|4RPLT|579ZMB|8RCR|9BPWR|aERES
26	23412 43153	   	183.82	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|2LHND|3FEWX|4RMIN|569DMG|6BPWR|7CDMG|8AART|aRCR
27	42221 22621	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|47aVULN|5ZMB|6LIT|8BELT|9RCR
28	42221 63621	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|46aVULN|5ZMB|7LIT|8BELT|9RCR
29	42226 13621	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|45aVULN|6ZMB|7LIT|8BELT|9RCR
30	23312 45421	   	183.71	DCR|3DMG|2VULN|1AART|1DUR	16VULN|2LHND|3DUR|4RMIN|56aDMG|6BPWR|7RCR|8BEXP|9AART
31	23312 45221	   	183.61	DCR|3DMG|2VULN|1AART|1DUR	16VULN|2LHND|3DUR|4RMIN|56aDMG|6BPWR|7RCR|8DUST|9AART
32	42221 22112	 * 	183.38	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	1aAART|2DMG|3CDMG|47VULN|58ZMB|6LIT|9RCR
33	42221 63112	   	183.38	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	1aAART|2DMG|3CDMG|46VULN|58ZMB|7LIT|9RCR
34	42226 13112	   	183.38	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	1aAART|2DMG|3CDMG|45VULN|68ZMB|7LIT|9RCR
35	42222 22311	   	182.91	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aRCVC
36	42226 53311	   	182.91	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR|aRCVC
37	23242 43622	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2LHND|3AART|46DMG|5CGEN|7CDMG|8RCR|9DUR
38	23243 13622	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aVULN|2LHND|3AART|45DMG|6CGEN|7CDMG|8RCR|9DUR
39	23312 42236	   	182.40	DCR|3VULN|2DMG|1AART|2DUR	167VULN|2LHND|39DUR|4RMIN|56DMG|6BPWR|8AART|aRCR
40	42113 52135	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|29DMG|3ASPD|4VENICY|5DUR|6RCR|7LWND|8aVULN
41	25633 15232	 * 	181.94	DCR|4VULN|2DMG|2DUR|1ASPD	1678VULN|2ASPD|37DMG|47DUR|5RCVC|7BPWR|9BEXP|aRCR
42	42112 55121	   	181.66	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aDMG|37ASPD|4VENICY|59VULN|6RCR|8CGEN
43	42112 55221	   	181.66	DCR|2VULN|2DMG|1AART|2ASPD	1AART|2aDMG|37ASPD|4VENICY|59VULN|6RCR|8RMIN
44	42222 22313	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aLHND
45	42226 53313	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR|aLHND
46	42422 43232	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26DMG|3LWND|4aVULN|5CGEN|7CDMG|8DUR|9RCR
47	42423 13232	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|25DMG|3LWND|4aVULN|6CGEN|7CDMG|8DUR|9RCR
48	43443 13232	   	181.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2aVULN|3LWND|45DMG|6CGEN|7CDMG|8DUR|9RCR
49	42223 36142	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27DMG|3CDMG|4aVULN|5CGEN|6DUR|8MBVNT|9RCR
50	42223 67242	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27DMG|3CDMG|4aVULN|5CGEN|6MBVNT|8DUR|9RCR
51	42222 22314	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aERES
52	42222 22315	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|28DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aTLV
53	43524 33232	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2aVULN|35DMG|4TLV|6LWND|7CDMG|8DUR|9RCR
54	42221 22312	   	181.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2DMG|3CDMG|47VULN|5ZMB|6LIT|8RCVC|9RCR
55	42221 63312	   	181.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2DMG|3CDMG|46VULN|5ZMB|7LIT|8RCVC|9RCR
56	42226 13312	   	181.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2DMG|3CDMG|45VULN|6ZMB|7LIT|8RCVC|9RCR
57	43341 23326	   	181.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4TLV|5DUR|7DUST|89DMG|aRCR
58	42121 61351	 * 	179.93	DCR|3DMG|1AART|2CDMG|2ASPD	1AART|29aDMG|39ASPD|4RPLT|5MLV|6RCR|7FEWX|89CDMG|9BPWR
59	25212 43153	 * 	179.78	DCR|3DMG|1AART|1VULN|2ASPD|1CDMG	1VULN|26ASPD|3LHND|4FEWX|569DMG|6BPWR|7CDMG|8AART|aRCR
60	42222 22212	 * 	179.73	DCR|3AART|2VULN|1DMG|1CDMG|1ASPD	18aAART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR
61	42226 53212	   	179.73	DCR|3AART|2VULN|1DMG|1CDMG|1ASPD	18aAART|2DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR
62	42222 22621	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2DMG|3CDMG|46aVULN|5LIT|7ASPD|8BELT|9RCR
63	42216 25232	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|3CDMG|4LEGI|56aVULN|7MLV|8DUR|9RCR
64	42223 36148	   	179.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|27aDMG|3CDMG|4VULN|5CGEN|6DUR|8MBVNT|9RCR
65	42226 61132	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|3CDMG|45aVULN|6DUR|7BEXP|8TLV|9RCR
66	42266 21132	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|3CDMG|4DUR|56aVULN|7BEXP|8TLV|9RCR
67	42221 43621	   	179.53	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	16AART|2DMG|3CDMG|4aVULN|5ZMB|7LIT|8BELT|9RCR
68	42222 24412	   	179.53	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2DMG|3CDMG|46VULN|5LIT|7DMSP|8ZMB|9RCR
69	42212 25341	   	179.36	DCR|2VULN|2DMG|1AART|1CDMG	1AART|28DMG|3CDMG|4LEGI|5LIT|6aVULN|7RCR|9LHND
70	42221 43116	 * 	179.32	DCR|2AART|3ZMB|1VULN|1DMG|1CDMG	16AART|2DMG|3CDMG|4VULN|58aZMB|7LIT|9RCR
71	25335 11226	 * 	178.87	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	15aVULN|29ASPD|3DUR|4CANHEL|6AART|7DMG|8RCR
72	42234 53312	   	178.57	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1aAART|28DMG|3CDMG|4RCVC|5VULN|6ASPD|7LIT|9RCR
73	43312 14631	   	177.66	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1AART|236VULN|46LSRHEA|5DMSP|6BPWR|7RCR|8ASPD|9DUR|aDMG
74	23412 45121	   	177.62	DCR|3VULN|2DMG|1CDMG|1ZMB	16aVULN|2LHND|3FEWX|4RMIN|56DMG|6BPWR|7RCR|8ZMB|9CDMG
75	42252 25332	   	177.53	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4aLWND|5LIT|6VULN|7RCR
76	42212 25332	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LEGI|5LIT|6VULN|7RCR|aLWND
77	42212 25335	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LEGI|5aLIT|6VULN|7RCR
78	42252 25333	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LWND|5LIT|6VULN|7RCR|aSNIHEL
79	42252 35331	   	177.43	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LWND|5LIT|6DUST|7RCR|aVULN
80	42221 34611	   	177.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2aDMG|3CDMG|4VULN|5ZMB|6DUR|7CGEN|8RCR|9RPLT
81	43132 36611	   	177.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2VULN|3CDMG|4DUR|5ZMB|6RMIN|7aDMG|8RCR|9RPLT
82	42212 25333	   	177.33	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LEGI|5LIT|6VULN|7RCR|aAIRHEA
83	42212 25334	   	177.33	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LEGI|5LIT|6VULN|7RCR|aDUST
84	42212 35331	   	177.33	DCR|3DMG|1AART|1VULN|1CDMG	1AART|289DMG|3CDMG|4LEGI|5LIT|6DUST|7RCR|aVULN
85	42221 34622	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2aDMG|3CDMG|4VULN|5ZMB|6DUR|7CGEN|8RCR|9DUST
86	43132 36622	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2VULN|3CDMG|4DUR|5ZMB|6RMIN|7aDMG|8RCR|9DUST
87	43312 61261	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|239VULN|4LSRHEA|5DMSP|6RCR|7FEWX|8ZMB|aDMG
88	23412 42233	   	177.11	DCR|3VULN|2DMG|1AART|1DUR	167VULN|2LHND|3FEWX|4RMIN|56DMG|6BPWR|8AART|9DUR|aRCR
89	41343 13631	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|39VULN|45DMG|6CGEN|7CDMG|8RCR|aDMSP
90	41343 13632	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|39VULN|45DMG|6CGEN|7CDMG|8RCR|aLIT
91	41343 13633	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|39VULN|45DMG|6CGEN|7CDMG|8RCR|aBEXP
92	42423 13612	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1AART|25DMG|3LWND|4aVULN|6CGEN|7CDMG|8RCR|9LHND
93	42225 12262	   	177.03	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	17AART|29DMG|3CDMG|4VULN|5BELT|6TLV|8ZMB|aRCR
94	33332 52226	   	176.91	DCR|3VULN|2DMG|1AART|1DUR	1CGEN|2LEGI|3DUR|467VULN|59DMG|8AART|aRCR
95	25335 11222	   	176.86	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	15VULN|29ASPD|3DUR|4CANHEL|6AART|7DMG|8RCR|aCDMG
96	42222 22211	   	176.77	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|46VULN|5LIT|7ASPD|9RCR|aRCVC
97	42226 53211	   	176.77	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2DMG|3CDMG|45VULN|6ASPD|7LIT|9RCR|aRCVC
98	23244 13622	   	176.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1aVULN|2LHND|35AART|4DMG|6CGEN|7CDMG|8RCR|9DUR
99	41136 47142	 * 	176.34	DCR|1AART|1DMG|2CDMG|1VULN|2DUR|1ZMB	1AART|27LHND|37CDMG|47DUR|5MBVNT|6RCR|7BPWR|8VULN|9ZMB|aDMG
100	43322 23631	   	176.34	DCR|3VULN|1AART|1DMG|2ZMB	1AART|236VULN|4RPLT|57ZMB|8RCR|9DMG|aLHND
101	43322 23634	   	176.34	DCR|3VULN|1AART|1DMG|2ZMB	1AART|236VULN|4RPLT|57ZMB|8RCR|9DMG|aLWND
102	43322 23632	   	176.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|236VULN|4RPLT|57ZMB|8RCR|9DMG|aTLV
103	43322 23633	   	176.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|236VULN|4RPLT|57ZMB|8RCR|9DMG|aERES
104	25121 13412	   	175.87	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	15VULN|2ASPD|3RCVC|4DMG|6aAART|7LIT|8CDMG|9RCR
105	23234 13636	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|24LHND|3AART|5aDMG|6CGEN|7CDMG|8RCR
106	23242 43631	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2LHND|3AART|46DMG|5CGEN|7CDMG|8RCR|aDMSP
