0	Index      	 *	Score 	Summary	Detail	
1	33612 34621	 * 	191.23	DCR|3VULN|1AART|1DMG|2CDMG|2DUR|1SELL	17CDMG|27DUR|3RMIN|4SELL|5AART|67aVULN|7BPWR|8RCR|9DMG
2	24353 13225	 * 	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|29aVULN|3RPLT|4RCR|5AART|6DMG|7CDMG|8ZMB
3	12125 23361	 * 	185.48	DCR|3DMG|2AART|1VULN|2ASPD	1RPLT|27ASPD|3aAART|467DMG|57LWND|7BPWR|8RCR|9VULN
4	12125 23362	   	185.03	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	1RPLT|27ASPD|3AART|467DMG|57LWND|7BPWR|8RCR|9VULN|aZMB
5	21215 61353	 * 	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|29DMG|3LIT|48VULN|5AART|6RCR|7ZMB|aDUR
6	24353 12225	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|29aVULN|3RPLT|4RCR|5AART|6DMG|7ASPD|8CDMG
7	21215 61352	 * 	180.57	DCR|2VULN|2DMG|1AART|2ZMB	1ERES|29DMG|3LIT|48VULN|5AART|6RCR|7aZMB
8	15381 17311	 * 	180.52	DCR|4VULN|3DMG	1RPLT|2MBVNT|379LHND|4CGEN|579aVULN|679DMG|79BPWR|8RCR
9	15383 27311	   	180.52	DCR|4VULN|3DMG	1RPLT|2MBVNT|379LHND|4CGEN|579DMG|679aVULN|79BPWR|8RCR
10	15421 17311	   	180.52	DCR|4VULN|3DMG	1RPLT|2MBVNT|379CGEN|4LWND|579aVULN|679DMG|79BPWR|8RCR
11	15423 27311	   	180.52	DCR|4VULN|3DMG	1RPLT|2MBVNT|379CGEN|4LWND|579DMG|679aVULN|79BPWR|8RCR
12	15321 17311	   	180.42	DCR|4VULN|3DMG	1RPLT|2MBVNT|379LHND|4ERES|579aVULN|679DMG|79BPWR|8RCR
13	15611 17311	   	180.12	DCR|4VULN|3DMG	1RPLT|2MBVNT|3LEGI|479ERES|579aVULN|679DMG|79BPWR|8RCR
14	15421 17313	 * 	180.07	DCR|3VULN|3DMG|1CDMG	1RPLT|2MBVNT|379CGEN|4LWND|579VULN|679DMG|79BPWR|8RCR|aCDMG
15	15423 27313	   	180.07	DCR|3VULN|3DMG|1CDMG	1RPLT|2MBVNT|379CGEN|4LWND|579DMG|679VULN|79BPWR|8RCR|aCDMG
16	15611 17314	   	179.67	DCR|3DMG|3VULN|1CDMG	1RPLT|2MBVNT|3LEGI|479ERES|579VULN|679DMG|79BPWR|8RCR|aCDMG
17	12134 16532	   	178.49	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1RPLT|2ASPD|3AART|4DUR|5aVULN|69DMG|7RCR|8LSRICY
18	42161 41211	 * 	177.73	ACR|3DMG|3ZMB|3ASPD|1CDMG	1RCVC|258ZMB|389ASPD|4RCR|678DMG|8BPWR|aCDMG
19	62161 41211	   	177.73	ACR|3DMG|3ZMB|3ASPD|1CDMG	1DMSP|258ZMB|389ASPD|4RCR|678DMG|8BPWR|aCDMG
20	13133 65322	 * 	177.30	DCR|5VULN|3FLTHEA|1CDMG	1RPLT|28BEXP|368FLTHEA|45678VULN|68BPWR|9RCR|aCDMG
21	11615 42133	 * 	176.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RPLT|2LIT|36DMG|4CDMG|5AART|78VULN|9DUR|aRCR
22	21215 61351	   	176.72	DCR|2VULN|2DMG|1AART|1ZMB	1ERES|29DMG|3LIT|48VULN|5AART|6RCR|7ZMB|aCGEN
23	46362 21221	 * 	176.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2AART|3MLV|4RCR|58DMG|6LHND|7ZMB|9aVULN
24	66362 21221	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	1DMSP|2AART|3MLV|4RCR|58DMG|6LHND|7ZMB|9aVULN
25	33612 34623	 * 	175.58	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1SELL	17CDMG|27DUR|3RMIN|4SELL|5AART|67VULN|7BPWR|8RCR|9DMG|aFEWX
26	33612 34622	 * 	175.48	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1SELL	17CDMG|27DUR|3RMIN|4SELL|5AART|67VULN|7BPWR|8RCR|9DMG|aDUST
27	21615 25131	 * 	174.92	DCR|3DMG|2AART|1CDMG|1ZMB	1ERES|237DMG|4DLOT|56AART|8RCR|9ZMB|aCDMG
28	33256 16312	 * 	174.84	DCR|2DMG|3ZMB|3CDMG|3DUR|1ASPD	19aCDMG|239DUR|4ASPD|5aDMG|69aZMB|7LEGI|8RCR|9aBPWR
29	12134 16611	   	174.55	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1RPLT|2ASPD|3AART|4DUR|5VULN|68DMG|7RCR|9LWND|aCDMG
30	12134 16631	   	174.55	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RPLT|2ASPD|3AART|4DUR|5VULN|68DMG|7RCR|9FEWX|aCDMG
31	46611 32131	 * 	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3CDMG|4BEXP|5CGEN|679VULN|8RCR|aDMG
32	46631 32131	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2AART|3CDMG|4LHND|5CGEN|679VULN|8RCR|aDMG
33	66611 32131	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1DMSP|2AART|3CDMG|4BEXP|5CGEN|679VULN|8RCR|aDMG
34	66631 32131	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1DMSP|2AART|3CDMG|4LHND|5CGEN|679VULN|8RCR|aDMG
35	12125 23363	   	174.03	DCR|3DMG|1AART|1VULN|2ASPD	1RPLT|27ASPD|3AART|467DMG|57LWND|7BPWR|8RCR|9VULN|aLIT
36	12125 23365	   	174.03	DCR|3DMG|1AART|1VULN|2ASPD	1RPLT|27ASPD|3AART|467DMG|57LWND|7BPWR|8RCR|9VULN|aLHND
37	12125 23364	   	173.93	DCR|3DMG|1AART|1VULN|2ASPD	1RPLT|27ASPD|3AART|467DMG|57LWND|7BPWR|8RCR|9VULN|aLSRHEA
38	12125 23366	   	173.93	DCR|3DMG|1AART|1VULN|2ASPD	1RPLT|27ASPD|3AART|467DMG|57LWND|7BPWR|8RCR|9VULN|aMBVNT
39	15381 17314	   	173.36	DCR|3VULN|3DMG|1DUR	1RPLT|2MBVNT|379LHND|4CGEN|579VULN|679DMG|79BPWR|8RCR|aDUR
40	15383 27314	   	173.36	DCR|3VULN|3DMG|1DUR	1RPLT|2MBVNT|379LHND|4CGEN|579DMG|679VULN|79BPWR|8RCR|aDUR
41	15421 17318	   	173.36	DCR|3VULN|3DMG|1ASPD	1RPLT|2MBVNT|379CGEN|4LWND|579VULN|679DMG|79BPWR|8RCR|aASPD
42	15423 27318	   	173.36	DCR|3VULN|3DMG|1ASPD	1RPLT|2MBVNT|379CGEN|4LWND|579DMG|679VULN|79BPWR|8RCR|aASPD
43	15433 83511	   	173.31	DCR|3VULN|2DMG|1ZMB|1DUR	1RPLT|2MBVNT|39CGEN|4DUR|59DMG|6RCR|789VULN|9BPWR|aZMB
44	15321 17318	   	173.26	DCR|3VULN|3DMG|1ASPD	1RPLT|2MBVNT|379LHND|4ERES|579VULN|679DMG|79BPWR|8RCR|aASPD
45	21621 22436	 * 	173.21	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB	18ERES|23DMG|48VULN|5ZMB|69DUR|78CDMG|8BPWR|aRCR
46	41332 31224	 * 	173.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|2NUKE|3RCR|4ERES|5AART|6VULN|7ZMB|89DMG|aCDMG
47	61332 31224	   	173.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DMSP|2NUKE|3RCR|4ERES|5AART|6VULN|7ZMB|89DMG|aCDMG
48	15611 17312	   	172.96	DCR|3VULN|3DMG|1ASPD	1RPLT|2MBVNT|3LEGI|479ERES|579VULN|679DMG|79BPWR|8RCR|aASPD
