0	Index      	 *	Score 	Summary	Detail	
1	11143 35351	 * 	191.79	ACR|3DMG|2VULN|1AART|1ZMB	1FEWX|2RCVC|38aDMG|4RCR|57VULN|6ZMB|9AART
2	11146 33631	 * 	188.09	ACR|3DMG|3CDMG|1AART|1ZMB|1DUR	19aFEWX|2RCVC|39aDMG|4RCR|5DUR|6ZMB|79aCDMG|8AART|9aBPWR
3	11146 33633	 * 	186.25	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	19FEWX|2RCVC|39DMG|4RCR|5DUR|6ZMB|79CDMG|8AART|9BPWR|aVULN
4	11212 23425	 * 	181.95	DCR|2VULN|2DMG|1AART|2DUR	137FEWX|2RCVC|4aVULN|5AART|6RCR|8aDUR|9aDMG|aBPWR
5	11212 24225	   	181.95	DCR|2VULN|2DMG|1AART|2DUR	138FEWX|2RCVC|4aVULN|5AART|6RCR|7aDUR|9aDMG|aBPWR
6	11512 23425	   	181.95	DCR|2VULN|2DMG|1AART|2DUR	137FEWX|2RCVC|3aBPWR|4aVULN|5AART|6RCR|8aDUR|9aDMG
7	11512 24225	   	181.95	DCR|2VULN|2DMG|1AART|2DUR	138FEWX|2RCVC|3aBPWR|4aVULN|5AART|6RCR|7aDUR|9aDMG
8	11143 31264	 * 	179.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RCVC|3DMG|4RCR|5aVULN|6ZMB|7DUR|8CDMG|9AART
9	25143 51231	 * 	178.99	ACR|3DMG|2AART|1VULN|1ASPD	1TLV|2ASPD|36aDMG|4RCR|5VULN|78AART|9MLV
10	53433 62233	 * 	178.52	DCR|3VULN|3CDMG|1AART|1ZMB	1LWND|25aCDMG|3BELT|458VULN|5BPWR|6RCR|7ZMB|9AART
11	53433 63333	 * 	177.88	DCR|4VULN|3CDMG|1DMG	1LWND|25aCDMG|3BELT|4578VULN|5BPWR|6RCR|9DMG
12	25143 51221	 * 	176.98	ACR|2DMG|2AART|1VULN|1CDMG|1ASPD	1TLV|2ASPD|36DMG|4RCR|5VULN|78AART|9FEWX|aCDMG
13	11143 51152	 * 	176.85	ACR|3DMG|1AART|1VULN|1CDMG	1FEWX|2RCVC|36aDMG|4RCR|5VULN|7DMSP|8CDMG|9AART
14	11143 35352	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2RCVC|38DMG|4RCR|57VULN|6ZMB|9AART|aDUST
15	11143 35353	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2RCVC|38DMG|4RCR|57VULN|6ZMB|9AART|aMBVNT
16	51143 35322	   	175.54	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCVC|38DMG|4RCR|57VULN|6ZMB|9CGEN|aAART
17	51143 35332	   	175.54	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCVC|38DMG|4RCR|57VULN|6ZMB|9MLV|aAART
18	51143 52232	   	175.54	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|2RCVC|36DMG|4RCR|59VULN|7ZMB|8CGEN|aAART
19	62224 52123	 * 	174.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|245VULN|3ERES|6AART|7DMG|8MGNSTR|9DUR|aRCR
20	51143 35232	 * 	173.61	ACR|3VULN|1AART|1DMG|1ZMB	1LWND|2RCVC|3DMG|4RCR|579VULN|6ZMB|8CGEN|aAART
21	62121 53633	 * 	173.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|27VULN|3ASPD|4DUR|5ZMB|6aDMG|8RCR|9LWND
22	25123 63364	 * 	173.25	DCR|3VULN|2DMG|1CDMG|1ASPD	1TLV|2ASPD|36DMG|4MBVNT|589VULN|7RCR|aCDMG
23	25124 23364	   	173.25	DCR|3VULN|2DMG|1CDMG|1ASPD	1TLV|2ASPD|35DMG|4MBVNT|689VULN|7RCR|aCDMG
24	62121 23643	   	173.24	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|27VULN|3ASPD|4DUR|5ZMB|6ERES|8RCR|9aDMG
25	25143 35313	   	172.73	ACR|3DMG|2VULN|1ZMB|1ASPD	1TLV|2ASPD|38aDMG|4RCR|57VULN|6ZMB|9RCVC
26	53433 62231	   	172.48	DCR|3VULN|1AART|2CDMG|1ZMB	1LWND|25CDMG|3aBELT|458VULN|5BPWR|6RCR|7ZMB|9AART
27	53433 62232	   	172.48	DCR|3VULN|1AART|2CDMG|1ZMB	1aLWND|25CDMG|3BELT|458VULN|5BPWR|6RCR|7ZMB|9AART
28	11123 48226	 * 	172.47	DCR|2VULN|2DMG|2AART	1FEWX|2RCVC|3aDMG|4MBVNT|56VULN|78AART|9RCR
29	51123 41826	   	172.47	DCR|2VULN|2DMG|2AART	1LWND|2RCVC|3aDMG|4MBVNT|56VULN|78AART|9RCR
30	53433 63331	   	171.84	DCR|4VULN|1DMG|2CDMG	1aLWND|25CDMG|3BELT|4578VULN|5BPWR|6RCR|9DMG
31	53433 63332	   	171.84	DCR|4VULN|1DMG|2CDMG	1LWND|25CDMG|3BELT|4578VULN|5BPWR|6RCR|9DMG|aBEXP
32	62626 32311	 * 	170.63	DCR|3VULN|2DMG|2CDMG	17CDMG|247VULN|3CGEN|5LIT|67LHND|7BPWR|8RCR|9aDMG
33	11123 68226	 * 	170.53	DCR|3DMG|2AART|1VULN	1FEWX|2RCVC|36aDMG|4MBVNT|5VULN|78AART|9RCR
34	11124 28226	   	170.53	DCR|3DMG|2AART|1VULN	1FEWX|2RCVC|35aDMG|4MBVNT|6VULN|78AART|9RCR
35	51124 21826	   	170.53	DCR|3DMG|2AART|1VULN	1LWND|2RCVC|35aDMG|4MBVNT|6VULN|78AART|9RCR
36	62226 52311	   	170.53	DCR|3VULN|2DMG|2CDMG	17CDMG|247VULN|3ERES|5LIT|67LHND|7BPWR|8RCR|9aDMG
37	63126 36311	   	170.53	DCR|3VULN|2DMG|2CDMG	15CDMG|2MLV|3BEXP|456VULN|5BPWR|7LIT|8RCR|9aDMG
38	62151 11361	 * 	170.45	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1CDMG|29VULN|3ASPD|4LHND|59ZMB|6FEWX|79DMG|8RCR|9BPWR|aLWND
39	62151 11363	   	170.45	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1CDMG|29VULN|3ASPD|4aLHND|59ZMB|6FEWX|79DMG|8RCR|9BPWR
40	62151 11362	   	170.35	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1CDMG|29VULN|3ASPD|4LHND|59ZMB|6FEWX|79DMG|8RCR|9BPWR|aERES
41	62226 62311	   	170.33	DCR|3VULN|2DMG|2CDMG	17CDMG|247VULN|3ERES|5LIT|67DUST|7BPWR|8RCR|9aDMG
42	51123 42383	   	170.12	DCR|3VULN|2DMG|1CDMG	1LWND|2RCVC|3aDMG|4MBVNT|568VULN|7RCR|9CDMG
43	51123 62364	   	170.12	DCR|3VULN|2DMG|1CDMG	1LWND|2RCVC|36DMG|4MBVNT|589VULN|7RCR|aCDMG
44	51123 62383	 * 	170.12	DCR|3DMG|2VULN|1CDMG	1LWND|2RCVC|36aDMG|4MBVNT|58VULN|7RCR|9CDMG
45	51124 22364	   	170.12	DCR|3VULN|2DMG|1CDMG	1LWND|2RCVC|35DMG|4MBVNT|689VULN|7RCR|aCDMG
46	51124 22383	   	170.12	DCR|3DMG|2VULN|1CDMG	1LWND|2RCVC|35aDMG|4MBVNT|68VULN|7RCR|9CDMG
47	11144 22263	   	169.94	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2RCVC|3DMG|4RCR|5BELT|6AART|78VULN|9ASPD|aCDMG
48	25123 43364	   	169.77	DCR|4VULN|1DMG|1CDMG|1ASPD	1TLV|2ASPD|3DMG|4MBVNT|5689VULN|7RCR|aCDMG
49	11212 23125	   	169.72	DCR|2VULN|2DMG|1AART	137FEWX|2RCVC|4aVULN|5AART|6RCR|8aBEXP|9aDMG|aBPWR
50	11512 23125	   	169.72	DCR|2VULN|2DMG|1AART	137FEWX|2RCVC|3aBPWR|4aVULN|5AART|6RCR|8aBEXP|9aDMG
51	11143 35313	   	169.46	ACR|3DMG|2VULN|1ZMB	1FEWX|29RCVC|38aDMG|4RCR|57VULN|6ZMB
52	11143 35513	 * 	169.46	ACR|3VULN|2DMG|1ZMB	1FEWX|29RCVC|3aDMG|4RCR|578VULN|6ZMB
53	51143 35313	   	169.46	ACR|3DMG|2VULN|1ZMB	1LWND|29RCVC|38aDMG|4RCR|57VULN|6ZMB
54	51133 22443	   	169.43	DCR|2VULN|2DMG|1AART|1DUR	157LWND|28RCVC|37DMG|4AART|67VULN|7BPWR|9DUR|aRCR
55	63126 33151	   	169.29	DCR|3VULN|1AART|2CDMG|1ZMB	15CDMG|2MLV|3BEXP|456VULN|5BPWR|7RCVC|8RCR|9ZMB|aAART
56	25343 52223	   	169.25	DCR|2DMG|2AART|1VULN|1DUR|1ASPD	1TLV|2ASPD|3BEXP|46DMG|5VULN|7RCR|8aAART|9DUR
57	25143 31622	   	169.23	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1TLV|2ASPD|3DMG|4RCR|5aVULN|6ZMB|7DUR|8AART|9LWND
58	61522 25233	 * 	168.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RMIN|34VULN|58DMG|6LHND|7AART|9BELT|aRCR
59	63522 33326	   	168.65	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|2MLV|348VULN|5aDMG|6DUR|7RPLT|9RCR
60	62222 33326	   	168.55	DCR|3VULN|2DMG|1CDMG|1DUR	1CDMG|248VULN|3ERES|5aDMG|6DUR|7RPLT|9RCR
61	62222 31641	   	168.55	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1aCDMG|24VULN|3ERES|59DMG|6DUR|7ASPD|8RCR
62	11143 11264	   	168.14	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2RCVC|3DMG|4RCR|5aVULN|6CGEN|7DUR|8CDMG|9AART
63	25513 11252	 * 	167.99	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	13TLV|23ASPD|3BPWR|4VULN|5RMIN|6RCR|78AART|9CDMG|aDMG
64	62223 12234	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|24VULN|3ERES|5RPLT|6MLV|7RCR|8ZMB|9AART|aDMG
65	63523 12234	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MLV|34VULN|5RPLT|6TLV|7RCR|8ZMB|9AART|aDMG
66	63523 32234	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MLV|34VULN|5RPLT|6ERES|7RCR|8ZMB|9AART|aDMG
67	11143 52353	   	167.89	ACR|3VULN|2DMG|1ZMB	1FEWX|2RCVC|36DMG|4RCR|589VULN|7DUST|aZMB
68	25123 63116	   	167.75	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2ASPD|36DMG|4MBVNT|5aVULN|7RCR|8BEXP|9AART
