0	Index      	 *	Score 	Summary	Detail	
1	13433 16131	 * 	187.27	DCR|3VULN|3DMG|3DUR	19aDUR|2RPLT|3BEXP|49aVULN|5ERES|6RCR|7FEWX|89aDMG|9aBPWR
2	54263 11323	 * 	184.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2ZMB|356VULN|4AART|7LEGI|8RCR|9CDMG|aDMG
3	14233 36123	 * 	179.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	1DUR|2RCVC|36VULN|4RPLT|56aDMG|6BPWR|7CDMG|8ZMB|9RCR
4	22233 36123	   	179.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	1DMSP|2DUR|36VULN|4RPLT|56aDMG|6BPWR|7CDMG|8ZMB|9RCR
5	11136 53512	 * 	178.47	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	1DUR|2DUST|349ZMB|5RCR|6AART|78VULN|aDMG
6	33633 14131	   	178.26	DCR|3VULN|3DMG|1DUR	19aFEWX|2RPLT|3CGEN|49aVULN|5LWND|6RCR|7DUR|89aDMG|9aBPWR
7	33434 14131	   	178.16	DCR|3VULN|3DMG|1DUR	19aFEWX|2RPLT|3BEXP|49aVULN|5ERES|6RCR|7DUR|89aDMG|9aBPWR
8	23362 13346	 * 	177.27	ACR|2VULN|2DMG|1AART|2DUR	1DMSP|2aERES|3AART|4RCR|5aDUR|67VULN|8LHND|9aDMG|aBPWR
9	14233 32441	   	176.05	DCR|3VULN|3DMG|2DUR	1aDUR|2RCVC|36aVULN|4RPLT|568DMG|6aBPWR|7aERES|9RCR
10	22233 32441	   	176.05	DCR|3VULN|3DMG|2DUR	1DMSP|2aDUR|36aVULN|4RPLT|568DMG|6aBPWR|7aERES|9RCR
11	22266 13125	   	175.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2DUR|378VULN|4AART|5LWND|6DMG|9CDMG|aRCR
12	23362 13116	 * 	175.23	ACR|3VULN|1AART|1DMG|2DUR	1DMSP|2ERES|3AART|4RCR|59DUR|678VULN|aDMG
13	11136 53511	 * 	174.06	ACR|3VULN|3ZMB|1AART|1DUR	1DUR|2DUST|349ZMB|5RCR|6AART|78aVULN
14	24252 34226	   	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMSP|236VULN|4MBVNT|5DMG|7DUR|8RCR|9ZMB|aAART
15	11116 53241	 * 	173.89	ACR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2DUST|3ZMB|5RCR|68AART|7VULN|9DMG|aCDMG
16	22433 34413	 * 	173.32	DCR|2VULN|1AART|1DMG|2FLTHEA|2DUR	1DMSP|2aDUR|3LEGI|4RPLT|5DMG|6aFLTHEA|7aVULN|8RCR|9AART|aBPWR
17	11136 53241	 * 	172.45	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1DUR|2DUST|34ZMB|5RCR|68AART|7VULN|9DMG|aCDMG
18	54263 31323	 * 	172.43	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MLV|26ZMB|35VULN|4AART|7LEGI|8RCR|9CDMG|aDMG
19	11136 53212	 * 	172.33	ACR|2AART|3ZMB|1VULN|1DMG|1DUR	1DUR|2DUST|349ZMB|5RCR|68AART|7VULN|aDMG
20	54263 32322	 * 	172.31	DCR|2VULN|3ZMB|1AART|1DMG	1MLV|269ZMB|35VULN|4AART|7NUKE|8RCR|aDMG
21	64263 32322	   	172.21	DCR|2VULN|3ZMB|1AART|1DMG	1ERES|269ZMB|35VULN|4AART|7NUKE|8RCR|aDMG
22	23363 13246	   	171.97	ACR|2VULN|2DMG|1AART|1DUR	1DMSP|2aERES|3AART|4RCR|5aLHND|67VULN|8DUR|9aDMG|aBPWR
23	14263 12316	   	171.81	DCR|3VULN|1AART|1DMG|2DUR	19DUR|2RCVC|356VULN|4AART|7NUKE|8RCR|aDMG
24	22263 12316	   	171.81	DCR|3VULN|1AART|1DMG|2DUR	1DMSP|29DUR|356VULN|4AART|7NUKE|8RCR|aDMG
25	24232 33355	   	171.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMSP|236VULN|4BEXP|5DMG|7ZMB|8DUR|9RCR|aAART
26	33434 16131	   	171.22	DCR|3VULN|3DMG	19aFEWX|2RPLT|3BEXP|49aVULN|5ERES|6RCR|7LWND|89aDMG|9aBPWR
27	54263 11311	   	171.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2ZMB|356VULN|4AART|7LEGI|8RCR|9DUR|aCDMG
