0	Index      	 *	Score 	Summary	Detail	
1	31263 23163	 * 	186.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2AART|3CDMG|4DMG|5ZMB|6DUR|7RCR|8aVULN|9ASPD
2	21143 56333	 * 	183.11	DCR|2AART|2VULN|2DMG|1CDMG	1CGEN|28AART|34VULN|56DMG|7DMSP|9CDMG|aRCR
3	31143 34125	 * 	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2AART|348VULN|5DMG|6MLV|7ZMB|9RCR|aCDMG
4	31263 52324	 * 	183.03	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2AART|3CDMG|47aDMG|5ZMB|6RCVC|8VULN|9RCR
5	26231 23551	 * 	182.02	DCR|3VULN|3DMG|1ZMB	1CGEN|235DMG|45LHND|5BPWR|6RCR|7ZMB|89aVULN
6	21256 63133	 * 	181.97	DCR|4VULN|1AART|1CDMG|1ZMB	1CGEN|2AART|3CDMG|4ZMB|569aVULN|7RCR|8FEWX
7	21256 63233	   	181.87	DCR|4VULN|1AART|1CDMG|1ZMB	1CGEN|2AART|3CDMG|4ZMB|569aVULN|7RCR|8LEGI
8	31256 63133	   	181.87	DCR|4VULN|1AART|1CDMG|1ZMB	1ERES|2AART|3CDMG|4ZMB|569aVULN|7RCR|8FEWX
9	31256 63233	   	181.77	DCR|4VULN|1AART|1CDMG|1ZMB	1ERES|2AART|3CDMG|4ZMB|569aVULN|7RCR|8LEGI
10	11513 12442	 * 	181.12	DCR|2VULN|2DMG|3CDMG|1AART	129CDMG|29BPWR|3ERES|49VULN|5MLV|6BEXP|7AART|89DMG|aRCR
11	31153 22521	 * 	180.67	DCR|3VULN|2DMG|1AART	146ERES|2AART|38aVULN|58DMG|7RCR|8BPWR|9LSRICY
12	31153 22525	 * 	180.67	DCR|3DMG|2VULN|1AART	146ERES|2AART|38VULN|58aDMG|7RCR|8BPWR|9LSRICY
13	31153 22541	   	180.67	DCR|3DMG|2VULN|1AART	146ERES|2AART|38VULN|58aDMG|7RCR|8BPWR|9BEXP
14	31153 22543	   	180.67	DCR|3VULN|2DMG|1AART	146ERES|2AART|38aVULN|58DMG|7RCR|8BPWR|9BEXP
