0	Index      	 *	Score 	Summary	Detail	
1	35613 13422	 * 	290.29	DCR|4VULN|3DMG|2MLV|1SELL	1SELL|267aVULN|37MLV|457DMG|7BPWR|8LIT|9RCR
2	13225 41312	 * 	278.66	DCR|3VULN|3MLV|2DMG|1RPLT	1BBNT|279VULN|39DMG|479FEWX|567MLV|79BPWR|8RPLT|aRCR
3	13225 43612	   	278.66	DCR|3VULN|3MLV|2DMG|1RPLT	1BBNT|289VULN|39DMG|489FEWX|568MLV|7RPLT|89BPWR|aRCR
4	13265 41312	   	278.66	DCR|3VULN|3MLV|2DMG|1RPLT	1BBNT|279VULN|39DMG|479BEXP|567MLV|79BPWR|8RPLT|aRCR
5	13245 41312	   	278.36	DCR|3VULN|3MLV|2DMG|1RPLT	1BBNT|279VULN|39DMG|479DUST|567MLV|79BPWR|8RPLT|aRCR
6	35613 13421	 * 	270.14	DCR|3VULN|3DMG|2MLV|1SELL	1SELL|267VULN|37MLV|457DMG|7BPWR|8LIT|9RCR|aBEXP
7	35613 13423	 * 	270.14	DCR|3VULN|3DMG|2MLV|1SELL	1SELL|267VULN|37MLV|457DMG|7BPWR|8LIT|9RCR|aCGEN
8	35613 33422	 * 	270.14	DCR|3VULN|3DMG|2MLV|1SELL	1SELL|27aVULN|37MLV|457DMG|6RCVC|7BPWR|8LIT|9RCR
9	35212 35162	 * 	266.45	DCR|DCR|2VULN|1AART|1SELL	1SELL|27VULN|3AART|4AAC|57LWND|6aRCR|7BPWR|8DUR|9LIT
10	24113 12223	 * 	266.15	DCR|3VULN|2MLV|2ASPD|1CDMG|1AART|1ZMB	1aMLV|2AART|35ERES|45aVULN|5aBPWR|6ZMB|7CDMG|8aASPD|9RCR
11	24513 12223	 * 	266.15	DCR|3VULN|2MLV|2ASPD|1CDMG|1AART|1ZMB	1aMLV|2AART|35AME|45aVULN|5aBPWR|6ZMB|7CDMG|8aASPD|9RCR
12	54513 12223	 * 	266.15	DCR|3VULN|2MLV|2ASPD|1CDMG|1AART|1ZMB	1aAME|2AART|35MLV|45aVULN|5aBPWR|6ZMB|7CDMG|8aASPD|9RCR
13	35611 35123	 * 	263.27	DCR|2VULN|3MLV|2ASPD|1DMG|1AART|1SELL	1SELL|2aVULN|38aMLV|4DMG|5TLV|6aASPD|7AART|9RCR|aBPWR
14	22315 53161	 * 	262.10	DCR|DCR|1VULN|2MLV	14MLV|24BEXP|3RMIN|4BPWR|5CGEN|69RCR|7DUR|8TLV|aVULN
15	31314 32433	   	260.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1SELL	1SELL|25DUST|3LIT|4AART|69RCR|7CDMG|8MLV|aVULN
16	22132 11161	 * 	260.72	ACR|DCR|3VULN|1MLV	1MLV|2BEXP|3LWND|46aVULN|59RCR|7RCVC|8TLV
17	23132 11161	   	260.72	ACR|DCR|3VULN|1MLV	1MLV|2LHND|3LWND|46aVULN|59RCR|7RCVC|8TLV
