0	Index      	 *	Score 	Summary	Detail	
1	21112 52532	 * 	283.55	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1ASPD|1ZMB	1MLV|2CGEN|3aDUR|4DMG|5ASPD|6ZMB|7VULN|89RCR
2	22121 34311	 * 	279.40	DCR|DCR|2VULN|1MLV|1RPLT	1MLV|2DUR|34VULN|5LWND|6RPLT|7BELT|8FEWX|9aRCR
3	22223 22311	   	279.40	DCR|DCR|2VULN|1MLV|1RPLT	1MLV|2DUR|3LWND|47VULN|5BELT|6RPLT|8FEWX|9aRCR
4	32156 32532	 * 	278.72	DCR|DCR|2VULN|1DMG|2DUR	1AAC|2LHND|35VULN|4DMG|6aDUR|7NUKE|89RCR
5	23624 23325	   	278.36	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT|1SELL	1MLV|2LIT|3VULN|4SELL|5RPLT|69RCR|7TBNT|8CDMG|aDMG
6	21112 52531	   	277.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1MLV|2CGEN|3DUR|4DMG|5ASPD|6ZMB|7VULN|89RCR|aBEXP
7	21112 52533	   	276.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1MLV|2CGEN|3DUR|4DMG|5ASPD|6ZMB|7VULN|89RCR|aCANARM
8	21112 52535	   	276.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1MLV|2CGEN|3DUR|4DMG|5ASPD|6ZMB|7VULN|89RCR|aERES
9	21112 52536	   	276.90	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|2ZMB	1MLV|2CGEN|3DUR|4DMG|5ASPD|6aZMB|7VULN|89RCR
10	32156 32531	   	272.17	DCR|DCR|2VULN|1DMG	1AAC|2LHND|35VULN|4DMG|6DUR|7NUKE|89RCR|aBEXP
11	32156 22532	   	272.17	DCR|DCR|2VULN|1DMG	1AAC|2LHND|35VULN|4DMG|6FEWX|7NUKE|89RCR|aDUR
12	32156 32533	   	272.07	DCR|DCR|2VULN|1DMG	1AAC|2LHND|35VULN|4DMG|6DUR|7NUKE|89RCR|aBASICY
13	36112 63532	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1AAC|2CGEN|3DUR|4DMG|5ASPD|6VULN|7RMIN|89RCR|aAART
14	23624 23324	   	267.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT|1SELL	1MLV|2LIT|3VULN|4SELL|5RPLT|69RCR|7TBNT|8CDMG|aAART
15	12121 65335	 * 	267.28	DCR|DCR|1VULN|3DUR|1DMG|1AART	1FEWX|2DMG|3VULN|4LWND|589DUR|6AART|7aRCR
16	41112 52532	   	265.92	DCR|DCR|1VULN|1DMG|2DUR|1ASPD|1ZMB	1AME|2CGEN|3aDUR|4DMG|5ASPD|6ZMB|7VULN|89RCR
