0	Index      	 *	Score 	Summary	Detail	
1	31441 22211	 * 	285.19	DCR|DCR|2DMG|1VULN|1MLV|1AART	1BBNT|2MLV|3AART|4VULN|58DMG|6SNITOX|7aRCR|9DUST
2	15311 24511	 * 	284.13	DCR|DCR|2VULN|1ASPD|1CDMG	1DUR|24VULN|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aASPD
3	22311 24517	 * 	282.24	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aDMG
4	23311 24517	   	282.14	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aDMG
5	22311 24511	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aASPD
6	22316 24511	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2BEXP|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aASPD
7	23311 24511	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2DUST|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aASPD
8	23316 24511	   	275.73	DCR|DCR|2VULN|1ASPD|1CDMG	14VULN|2DUST|3CDMG|5TLV|6LHND|79RCR|8MBVNT|aASPD
9	31443 22311	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1BBNT|2MLV|3AART|49VULN|5AAC|6SNITOX|7aRCR|8LWND
10	15311 24512	   	270.48	DCR|DCR|2VULN|1CDMG	1DUR|24VULN|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLHND
11	15311 24513	   	270.48	DCR|DCR|2VULN|1CDMG	1DUR|24VULN|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLIT
12	15311 24514	   	270.48	DCR|DCR|2VULN|1CDMG	1DUR|24VULN|3CDMG|5RMIN|6aFEWX|79RCR|8MBVNT
13	22311 24518	 * 	268.49	DCR|DCR|2VULN|2CDMG	14VULN|2BEXP|3aCDMG|5RMIN|6FEWX|79RCR|8MBVNT
14	23311 24518	   	268.39	DCR|DCR|2VULN|2CDMG	14VULN|2DUST|3aCDMG|5RMIN|6FEWX|79RCR|8MBVNT
15	35441 22211	   	267.56	DCR|DCR|2DMG|1VULN|1AART	1BBNT|2AME|3AART|4VULN|58DMG|6SNITOX|7aRCR|9DUST
16	22165 22263	 * 	267.23	ACR|DCR|2VULN|2DMG|1RPLT	1aVULN|2aBEXP|37FEWX|4TLV|56RCR|8RPLT|9aDMG|aBPWR
17	23165 22263	   	267.03	ACR|DCR|2VULN|2DMG|1RPLT	1aVULN|2aDUST|37FEWX|4TLV|56RCR|8RPLT|9aDMG|aBPWR
18	22311 24512	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLHND
19	22311 24513	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6FEWX|79RCR|8MBVNT|aLIT
20	22311 24514	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5RMIN|6aFEWX|79RCR|8MBVNT
21	22316 24512	   	262.18	DCR|DCR|2VULN|1CDMG	14VULN|2BEXP|3CDMG|5TLV|6aLHND|79RCR|8MBVNT
