0	Index      	 *	Score 	Summary	Detail	
1	61122 13246	 * 	295.04	DCR|DCR|2VULN|1DMG|1MLV|1ASPD	1ERES|2ASPD|34VULN|5CGEN|69RCR|7MLV|8DMSP|aDMG
2	41511 12342	 * 	294.86	DCR|DCR|4VULN|1AART	1345VULN|2AART|6CGEN|7LWND|8aRCR|9BBNT
3	44111 12342	   	294.86	DCR|DCR|4VULN|1AART	1235VULN|4AART|6CGEN|7LWND|8aRCR|9BBNT
4	42231 22352	   	289.16	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	18VULN|2FEWX|3RPLT|4DUR|5BELT|6ASPD|7aRCR|9CDMG
5	43231 22352	   	289.16	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	18VULN|2BEXP|3RPLT|4DUR|5BELT|6ASPD|7aRCR|9CDMG
6	44121 12241	 * 	286.00	DCR|DCR|3VULN|1DMG	123VULN|4DMG|5LWND|69RCR|7ERES|8DMSP|aRMIN
7	44121 12243	   	286.00	DCR|DCR|3VULN|1DMG	123VULN|4DMG|5LWND|69RCR|7ERES|8DMSP|aBBNT
8	44121 12242	   	285.90	DCR|DCR|3VULN|1DMG|1MSE	123VULN|4DMG|5LWND|69RCR|7ERES|8DMSP|aMSE
9	41311 12342	   	283.47	DCR|DCR|3VULN|2AART	145VULN|23AART|6CGEN|7LWND|8aRCR|9BBNT
10	41311 22662	   	283.47	DCR|DCR|3VULN|2AART	145VULN|23AART|6TBNT|7aRCR|8BEXP|9RMIN
11	41311 33642	   	283.47	DCR|DCR|3VULN|2AART	145VULN|23AART|6FEWX|7RMIN|8aRCR|9BBNT
12	41311 36342	   	283.47	DCR|DCR|3VULN|2AART	145VULN|23AART|6FEWX|7CGEN|8aRCR|9BBNT
13	41311 51242	   	283.47	DCR|DCR|3VULN|2AART	145VULN|23AART|6aRCR|7LWND|8CGEN|9BBNT
14	61123 13242	   	283.29	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7MLV|8DMSP|aDUR
15	31513 63342	   	279.30	DCR|DCR|2VULN|1MLV|1AART	1LWND|2AART|39VULN|4CGEN|5MDPS|6MLV|7DUR|8aRCR
16	21513 24342	   	275.70	DCR|DCR|3VULN|1AART	17DUST|2AART|357VULN|47CGEN|6RCVC|7BPWR|8aRCR|9BBNT
17	21513 34342	   	275.70	DCR|DCR|3VULN|1AART	17DUST|2AART|357VULN|467CGEN|7BPWR|8aRCR|9BBNT
18	42231 62352	   	275.41	DCR|DCR|2VULN|1CDMG|1RPLT	18VULN|2FEWX|3RPLT|4DUR|5BELT|6NUKE|7aRCR|9CDMG
19	43231 62352	   	275.41	DCR|DCR|2VULN|1CDMG|1RPLT	18VULN|2BEXP|3RPLT|4DUR|5BELT|6NUKE|7aRCR|9CDMG
20	61122 13241	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5CGEN|69RCR|7MLV|8DMSP|aRMIN
21	61122 13243	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5CGEN|69RCR|7MLV|8DMSP|aBBNT
22	61122 13244	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5aCGEN|69RCR|7MLV|8DMSP
23	61122 13245	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5CGEN|69RCR|7MLV|8DMSP|aAAC
24	61123 13241	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5aRMIN|69RCR|7MLV|8DMSP
25	61123 13244	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7MLV|8DMSP|aCGEN
26	61123 13245	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7MLV|8DMSP|aLHND
27	61123 13246	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7MLV|8aDMSP
28	61122 13242	   	274.88	DCR|DCR|2VULN|1MLV|1ASPD|1MSE	1ERES|2ASPD|34VULN|5CGEN|69RCR|7MLV|8DMSP|aMSE
29	61123 13243	   	274.88	DCR|DCR|2VULN|1MLV|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7MLV|8DMSP|aDUST
30	62223 61261	   	274.41	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	13ERES|2CGEN|4DMG|5AART|69RCR|7VULN|8RPLT|aMLV
31	34112 11633	 * 	270.10	DCR|DCR|2VULN|2ASPD	139LWND|29VULN|45AAC|6aRCR|7NUKE|89ASPD|9BPWR
32	34113 11633	   	270.10	DCR|DCR|2VULN|2ASPD	139LWND|29VULN|4AAC|5DMSP|6aRCR|7NUKE|89ASPD|9BPWR
33	42512 11633	   	270.10	DCR|DCR|2VULN|2ASPD	19VULN|239FEWX|45AAC|6aRCR|7NUKE|89ASPD|9BPWR
34	61123 15242	   	265.75	DCR|DCR|2VULN|1ASPD	1ERES|2ASPD|34VULN|5RMIN|69RCR|7CGEN|8DMSP|aDUR
35	36611 25233	   	265.69	DCR|DCR|3VULN|1ZMB	1LWND|2ZMB|3MBVNT|489VULN|5LHND|6TBNT|7aRCR
