0	Index      	 *	Score 	Summary	Detail	
1	42215 21135	 * 	289.27	DCR|DCR|2VULN|1MLV|1ASPD|1AART	18VULN|2ASPD|3LHND|4MLV|5AART|6MDPS|7aRCR|9AELOIC
2	24644 12841	 * 	278.25	DCR|DCR|2VULN|1DMG|1RPLT	1AAC|2DMSP|3MBVNT|46VULN|5LIT|78RCR|9RPLT|aDMG
3	24644 12822	 * 	272.09	DCR|DCR|3VULN	1AAC|2DMSP|3MBVNT|46aVULN|59aLIT|78RCR|aBPWR
4	24644 12832	   	272.09	DCR|DCR|3VULN	1AAC|2DMSP|3MBVNT|46aVULN|5aLIT|78RCR|9RCVC|aBPWR
5	11223 12433	   	270.58	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3CGEN|45VULN|6ASPD|79RCR|8FEWX|aDUR
6	42221 36413	   	270.48	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3LHND|4MSLTOX|5RCVC|6BEXP|79RCR|aDUR
7	42321 36413	   	270.48	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3BASICY|4FEWX|5RCVC|6BEXP|79RCR|aDUR
8	46311 11335	 * 	268.93	DCR|4VULN|2DMG|1MLV|1RPLT	1247VULN|3LHND|57LWND|67DMG|7BPWR|8RPLT|9RCR|aMLV
9	46111 11335	   	268.83	DCR|4VULN|2DMG|1MLV|1RPLT	1247VULN|3DUST|57LWND|67DMG|7BPWR|8RPLT|9RCR|aMLV
10	42512 11335	 * 	267.03	DCR|2VULN|2DMG|2MLV|2ASPD|1RPLT	17VULN|27ASPD|35FEWX|4aMLV|67DMG|7BPWR|8RPLT|9RCR
11	42533 11335	   	267.03	DCR|2VULN|2DMG|2MLV|2ASPD|1RPLT	17VULN|27ASPD|3FEWX|4RCVC|5aMLV|67DMG|7BPWR|8RPLT|9RCR
12	24644 12843	   	266.49	DCR|DCR|2VULN|1RPLT	1AAC|2DMSP|3MBVNT|46VULN|5LIT|78RCR|9RPLT|aDUR
13	34212 36111	   	266.06	DCR|DCR|2VULN|1MLV	1ERES|27VULN|39LHND|4MLV|58FEWX|6aRCR
14	34212 36161	   	266.06	DCR|DCR|2VULN|1MLV	1ERES|27VULN|3LHND|4MLV|58FEWX|6aRCR|9RCVC
15	24644 12811	   	266.06	DCR|DCR|2VULN|1MLV	1AAC|2DMSP|3MBVNT|46VULN|5LIT|78RCR|9BELT|aMLV
16	32324 41413	   	266.05	DCR|DCR|1VULN|1DMG|1MLV	1ERES|25DUST|3MLV|4BLASTR|69RCR|7VULN|8DMG|aDUR
17	32325 41413	   	266.05	DCR|DCR|1VULN|1DMG|1MLV	15ERES|2DUST|3MLV|4BLASTR|69RCR|7VULN|8DMG|aDUR
18	42512 11331	   	265.07	DCR|2VULN|2DMG|2ASPD|1MLV|1CDMG|1RPLT	17VULN|27ASPD|35FEWX|4MLV|67DMG|7BPWR|8RPLT|9RCR|aCDMG
19	42533 11331	   	265.07	DCR|2VULN|2DMG|2ASPD|1MLV|1CDMG|1RPLT	17VULN|27ASPD|3FEWX|4RCVC|5MLV|67DMG|7BPWR|8RPLT|9RCR|aCDMG
20	24644 12842	   	263.38	DCR|DCR|2VULN|2RPLT	1AAC|2DMSP|3MBVNT|46VULN|5LIT|78RCR|9aRPLT
21	11223 12435	   	262.28	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3CGEN|45VULN|6ASPD|79RCR|8FEWX|aBBNT
22	11223 12436	   	262.28	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3CGEN|45VULN|6ASPD|79RCR|8FEWX|aRCVC
23	11223 12431	   	262.18	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3CGEN|45VULN|6ASPD|79RCR|8FEWX|aERES
24	11223 12432	   	262.18	DCR|DCR|2VULN|1ASPD|1MSE	1LIT|2AAC|3CGEN|45VULN|6ASPD|79RCR|8FEWX|aMSE
25	42221 36411	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3LHND|4MSLTOX|5RCVC|6BEXP|79RCR|aBBNT
26	42221 36412	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3LHND|4MSLTOX|5RCVC|6BEXP|79RCR|aCGEN
27	42321 36411	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3BASICY|4FEWX|5RCVC|6BEXP|79RCR|aBBNT
28	42321 36412	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2ASPD|3BASICY|4FEWX|5RCVC|6BEXP|79RCR|aCGEN
29	42631 11433	 * 	261.34	DCR|3VULN|2DMG|2ASPD|1CDMG	179VULN|24ASPD|3RCVC|57DMG|67FEWX|7BPWR|8CDMG|aRCR
30	42651 11313	   	261.34	DCR|3VULN|2DMG|2ASPD|1CDMG	147VULN|28ASPD|3RCVC|57DMG|67FEWX|7BPWR|9CDMG|aRCR
31	42512 11332	   	259.73	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	17VULN|27ASPD|35FEWX|4MLV|67DMG|7BPWR|8RPLT|9RCR|aDUR
32	42533 11332	   	259.73	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	17VULN|27ASPD|3FEWX|4RCVC|5MLV|67DMG|7BPWR|8RPLT|9RCR|aDUR
33	46611 11332	   	259.71	DCR|4VULN|2DMG|1RPLT	1247VULN|3DUR|57LWND|67DMG|7BPWR|8RPLT|9RCR|aTBNT
34	42433 33512	   	259.63	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	18VULN|28ASPD|3BBNT|4ERES|5DUR|6RCR|78DMG|8BPWR|9RPLT|aMLV
35	46611 11331	   	259.61	DCR|4VULN|2DMG|1RPLT|1SELL	1247VULN|3DUR|57LWND|67DMG|7BPWR|8RPLT|9RCR|aSELL
36	46611 11333	   	259.61	DCR|4VULN|2DMG|1RPLT	1247VULN|3DUR|57LWND|67DMG|7BPWR|8RPLT|9RCR|aMDPS
