0	Index      	 *	Score 	Summary	Detail	
1	43354 11544	 * 	287.82	DCR|DCR|2VULN|1MLV|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7aVULN|8MLV
2	65223 22362	 * 	287.77	ACR|DCR|3VULN|1DMG|2DUR|1RPLT	12aVULN|3DMG|4aDUR|59RCR|6TBNT|7aAELOIC|8RPLT|aBPWR
3	65223 52312	 * 	279.23	ACR|DCR|2VULN|2DMG|1CDMG	12VULN|39DMG|4DUR|5aRCR|6DUST|7CDMG|8BEXP
4	11611 11364	   	275.19	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aDUR
5	11611 11662	   	275.19	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8DUR|aBEXP
6	11611 11661	   	275.09	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1ZMB	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8DUR|aZMB
7	11611 11663	   	275.09	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8DUR|aAIRARM
8	11611 11365	   	273.82	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aNUKE
9	11625 21323	 * 	271.82	DCR|2VULN|3MLV|2ASPD|1DMG|1RPLT	1RPLT|289MLV|39VULN|4DMG|5DUR|6RMIN|79ASPD|9BPWR|aRCR
10	11136 36331	 * 	271.56	DCR|DCR|1VULN|2MLV|1RPLT	1RPLT|26MLV|3RCVC|4LHND|5DUR|78RCR|9DUST|aVULN
11	43354 11244	   	270.28	DCR|DCR|2VULN|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7aVULN|8TLV
12	43354 13144	   	270.28	DCR|DCR|2VULN|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7CGEN|8aVULN
13	43354 11144	   	270.18	DCR|DCR|2VULN|1CDMG	1DUST|2LEGI|3DUR|4MBVNT|5CDMG|69RCR|7aVULN|8ERES
14	12513 11415	 * 	268.98	ACR|DCR|1VULN|2MLV|1DMG|2DUR|1RPLT|2ZMB	1RPLT|29ZMB|3DUST|4aRCR|59DUR|6DMG|7VULN|89MLV|9BPWR
15	11611 11362	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aBEXP
16	11611 11366	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6DMG|8FEWX|aCGEN
17	11611 31365	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5DUST|6AAC|8FEWX|aDMG
18	11613 21165	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2MLV|37VULN|49RCR|5AAC|6BEXP|8DUST|aDMG
