0	Index      	 *	Score 	Summary	Detail	
1	36631 32161	 * 	295.38	DCR|DCR|2VULN|2CDMG|1ASPD|1RPLT	15VULN|2RPLT|34CDMG|6ASPD|7DUST|8aRCR|9DUR
2	35351 33131	 * 	294.30	DCR|DCR|3VULN|2DUR|1ASPD|1ZMB	124VULN|24BPWR|34DUR|5ZMB|6ASPD|7MBVNT|8aRCR|9FEWX
3	35351 33181	 * 	294.30	DCR|DCR|3VULN|2DUR|1ASPD|1ZMB	124VULN|24BPWR|34DUR|5ZMB|6ASPD|7MBVNT|8aRCR|9BEXP
4	33451 33171	 * 	287.75	DCR|DCR|3VULN|1ASPD|1ZMB	134VULN|24BEXP|4BPWR|5ZMB|6ASPD|7MBVNT|8aRCR|9DUR
5	35151 33171	 * 	287.75	DCR|DCR|3VULN|1ASPD|1ZMB	124VULN|24BPWR|34LWND|5ZMB|6ASPD|7MBVNT|8aRCR|9DUR
6	32331 62355	   	283.29	DCR|DCR|2VULN|1MLV|1ASPD	14VULN|2BBNT|3ASPD|5DUR|6MLV|7BELT|8aRCR|9ERES
7	31323 31278	 * 	281.29	DCR|DCR|2VULN|1DMG|1MLV	14VULN|2DUST|3DMG|5BEXP|6LHND|7MBVNT|8aRCR|9MLV
8	33451 33131	 * 	279.44	DCR|DCR|3VULN|1ASPD|1ZMB	134VULN|24BEXP|4BPWR|5ZMB|6ASPD|7MBVNT|8aRCR|9FEWX
9	35151 33131	 * 	279.44	DCR|DCR|3VULN|1ASPD|1ZMB	124VULN|24BPWR|34LWND|5ZMB|6ASPD|7MBVNT|8aRCR|9FEWX
10	33226 52313	   	279.20	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5DUST|6DUR|7aRCR|8MLV
11	33226 74313	   	279.20	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5DUST|6aRCR|7DUR|8MLV
12	35431 31161	   	279.01	DCR|DCR|2VULN|1ASPD|1CDMG|2SELL	12VULN|2BPWR|37SELL|4CDMG|5BEXP|6ASPD|8aRCR|9DUR
13	35433 31161	   	279.01	DCR|DCR|2VULN|1ASPD|1CDMG|2SELL	12VULN|2BPWR|37SELL|4CDMG|5FEWX|6ASPD|8aRCR|9DUR
14	33132 13551	   	278.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1VULN|2BEXP|35CGEN|4CDMG|6MLV|7aRCR|8RPLT|9DMG
15	33133 13551	   	278.60	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1VULN|2BEXP|3CGEN|4CDMG|5RCVC|6MLV|7aRCR|8RPLT|9DMG
16	33222 72683	 * 	275.60	DCR|DCR|3VULN|1RPLT	179VULN|2BEXP|3RPLT|4MBVNT|5LWND|6aRCR|8TLV
17	32331 65115	 * 	274.03	DCR|3VULN|2DMG|2ASPD|1MLV|2DUR	148VULN|2BBNT|38ASPD|59DUR|6MLV|78DMG|8BPWR|aRCR
18	36633 16131	   	273.28	DCR|DCR|2VULN|2CDMG|1RPLT|1ZMB	17VULN|2RPLT|34CDMG|5BEXP|6ZMB|8aRCR|9FEWX
19	21462 44542	   	272.07	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|79RCR|8DMG|aTBNT
20	21462 44543	   	272.07	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|79RCR|8DMG|aTLV
21	21462 46242	   	272.07	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|7DMG|89RCR|aTBNT
22	21462 46243	   	272.07	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|7DMG|89RCR|aTLV
23	21462 44541	   	271.97	DCR|DCR|2VULN|1DMG|1MSE	1DUR|2DUST|36VULN|4BEXP|5MBVNT|79RCR|8DMG|aMSE
24	21462 44544	   	271.97	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|79RCR|8DMG|aAELOIC
25	21462 46241	   	271.97	DCR|DCR|2VULN|1DMG|1MSE	1DUR|2DUST|36VULN|4BEXP|5MBVNT|7DMG|89RCR|aMSE
26	21462 46244	   	271.97	DCR|DCR|2VULN|1DMG	1DUR|2DUST|36VULN|4BEXP|5MBVNT|7DMG|89RCR|aAELOIC
27	33226 22313	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5DUST|6FEWX|7aRCR|8MLV
28	33226 32313	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5DUST|6LHND|7aRCR|8MLV
29	33226 72843	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	17VULN|2BEXP|3RPLT|4MBVNT|5DUST|6aRCR|8LHND|9MLV
30	33226 76313	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5DUST|6aRCR|7LHND|8MLV
31	33227 12313	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|2BEXP|3RPLT|4MBVNT|5MDPS|6RCVC|7aRCR|8MLV
32	33227 52313	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	19VULN|26BEXP|3RPLT|4MBVNT|5MDPS|7aRCR|8MLV
33	23351 31278	   	270.04	DCR|DCR|1VULN|1DMG|1MLV|2DUR	14DUR|2BEXP|3DMG|5VULN|6LHND|7MBVNT|8aRCR|9MLV
34	21323 31245	 * 	270.00	DCR|DCR|2DMG|1VULN|2DUR	1aDUR|2DUST|36DMG|4VULN|5BEXP|7MBVNT|89RCR
35	23313 36245	   	270.00	DCR|DCR|2DMG|1VULN|2DUR	1aDUR|2BEXP|36DMG|4DUST|5MBVNT|7VULN|89RCR
36	31333 31245	   	270.00	DCR|DCR|2DMG|1VULN|2DUR	1VULN|2DUST|36DMG|4aDUR|5BEXP|7MBVNT|89RCR
37	33314 31245	   	270.00	DCR|DCR|2DMG|1VULN|2DUR	1VULN|2BEXP|36DMG|4DUST|5aDUR|7MBVNT|89RCR
38	33316 33245	   	270.00	DCR|DCR|2DMG|1VULN|2DUR	1VULN|2BEXP|36DMG|4DUST|5MBVNT|7aDUR|89RCR
39	21324 31278	   	269.94	DCR|DCR|1VULN|1DMG|1MLV|2DUR	15DUR|2DUST|3DMG|4VULN|6LHND|7MBVNT|8aRCR|9MLV
40	21351 31278	   	269.94	DCR|DCR|1VULN|1DMG|1MLV|2DUR	14DUR|2DUST|3DMG|5VULN|6LHND|7MBVNT|8aRCR|9MLV
41	31334 31278	   	269.94	DCR|DCR|1VULN|1DMG|1MLV|2DUR	1VULN|2DUST|3DMG|45DUR|6LHND|7MBVNT|8aRCR|9MLV
42	23352 53151	   	269.86	DCR|DCR|2DMG|1VULN|2DUR|1ZMB	14DUR|2BEXP|36DMG|5ZMB|7MBVNT|8aRCR|9VULN
43	32131 62355	   	269.39	DCR|DCR|2VULN|1MLV|1ZMB	14VULN|2BBNT|3ZMB|5DUR|6MLV|7BELT|8aRCR|9ERES
44	35353 61131	 * 	268.96	DCR|3VULN|3DUR|1DMG|2CDMG|1MLV|1ASPD	124VULN|246BPWR|346DUR|56CDMG|7ASPD|8MLV|9RCR|aDMG
45	36161 42322	 * 	268.47	DCR|3VULN|3MLV|3DUR|1CDMG|1RPLT	189VULN|2RPLT|3LWND|489MLV|5BELT|6RCR|789DUR|89BPWR|aCDMG
46	32331 31344	   	265.75	DCR|DCR|2VULN|1ASPD	14VULN|2BBNT|3ASPD|5DUR|6DUST|7BELT|8aRCR|9LIT
47	32335 11344	   	265.75	DCR|DCR|2VULN|1ASPD	14VULN|2BBNT|3ASPD|5DUST|6DUR|7BELT|8aRCR|9LIT
