0	Index      	 *	Score 	Summary	Detail	
1	11113 54622	 * 	298.90	DCR|DCR|2VULN|2MLV|1CDMG	1RCVC|24VULN|34MLV|4BPWR|5TSLFST|6DUR|7MBVNT|89RCR|aCDMG
2	11113 54623	   	294.91	DCR|DCR|2VULN|2MLV	1RCVC|24VULN|34MLV|4BPWR|5TSLFST|6DUR|7MBVNT|89RCR|aRPLT
3	11113 54621	   	285.14	DCR|DCR|2VULN|2MLV	1RCVC|24VULN|34MLV|4BPWR|5TSLFST|6DUR|7MBVNT|89RCR|aERES
4	11113 54624	   	285.14	DCR|DCR|2VULN|2MLV|1SELL	1RCVC|24VULN|34MLV|4BPWR|5TSLFST|6DUR|7MBVNT|89RCR|aSELL
5	11111 33611	 * 	278.40	DCR|3VULN|3DMG|3MLV	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aBEXP
6	11111 33612	   	278.40	DCR|3VULN|3DMG|3MLV	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aFRZARM
7	11111 33615	   	278.40	DCR|3VULN|3DMG|3MLV	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aLIT
8	11111 33613	   	278.30	DCR|3VULN|3DMG|3MLV	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aTSLFST
9	11111 33614	   	278.30	DCR|3VULN|3DMG|3MLV	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aLEGI
10	11111 33616	   	278.30	DCR|3VULN|3DMG|3MLV|1MSE	1RCVC|248VULN|348MLV|48BPWR|5MDPS|678DMG|9RCR|aMSE
11	61115 33522	 * 	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2BEXP|34VULN|5RMIN|6CANARM|7NUKE|89RCR|aCDMG
12	32212 15522	 * 	277.41	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG	1TLV|2MSLTOX|3FEWX|4DMG|56ASPD|7VULN|89RCR|aCDMG
13	32522 15522	   	277.41	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG	1TLV|2MSLTOX|3DMG|4BEXP|56ASPD|7VULN|89RCR|aCDMG
14	62221 15522	   	277.41	DCR|DCR|1VULN|2ASPD|1DMG|1CDMG	1DMG|2TSLARM|3FEWX|46ASPD|5CGEN|7VULN|89RCR|aCDMG
15	12313 54623	 * 	274.04	DCR|DCR|3VULN	1RCVC|24ERES|34aVULN|4BPWR|5TSLFST|6DUR|7MBVNT|89RCR
16	13431 66232	   	273.42	DCR|DCR|2VULN|1DMG	1RCVC|2AME|3DUST|4AART|5DMG|68RCR|7BBNT|9aVULN
17	61115 33523	   	273.42	DCR|DCR|2VULN|1DMG	1DMG|2BEXP|34VULN|5RMIN|6CANARM|7NUKE|89RCR|aRPLT
18	32212 15523	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1TLV|2MSLTOX|3FEWX|4DMG|56ASPD|7VULN|89RCR|aRPLT
19	32522 15523	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1TLV|2MSLTOX|3DMG|4BEXP|56ASPD|7VULN|89RCR|aRPLT
20	62221 15523	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|2TSLARM|3FEWX|46ASPD|5CGEN|7VULN|89RCR|aRPLT
21	52212 15523	   	273.32	DCR|DCR|1VULN|2ASPD|1DMG	1ERES|2MSLTOX|3FEWX|4DMG|56ASPD|7VULN|89RCR|aRPLT
22	52212 15522	   	271.97	DCR|DCR|1VULN|2ASPD|1DMG	1ERES|2MSLTOX|3FEWX|4DMG|56ASPD|7VULN|89RCR|aDUR
