0	Index      	 *	Score 	Summary	Detail	
1	64322 13116	 * 	275.43	ACR|DCR|2VULN|2MLV|1ASPD|1CDMG	17MLV|2LWND|3CDMG|4aRCR|5ASPD|6BEXP|89VULN
2	64321 23116	   	270.09	ACR|DCR|2VULN|2MLV|1CDMG	17MLV|2LWND|3CDMG|4aRCR|5DUR|6AAC|89VULN
3	31251 51533	 * 	268.84	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LIT|2MLV|3LHND|4BBNT|5CDMG|6VULN|7DMG|8aRCR|9DUST
4	11133 43512	 * 	263.86	DCR|DCR|2VULN|1DMG	159DUST|269BEXP|3DMG|4CGEN|7aRCR|89VULN|9BPWR
5	51113 33154	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aASPD
6	51111 33154	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aASPD
7	23151 51533	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1DUR|2CGEN|3LIT|4TBNT|5CDMG|6VULN|7DMG|8aRCR|9DUST
8	33114 51533	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3ERES|4DUR|5BBNT|6VULN|7DMG|8aRCR|9LWND
9	33266 11533	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4TBNT|5VULN|6DUR|7DMG|8aRCR|9DUST
10	62436 26444	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2MBVNT|3RMIN|4ERES|5FEWX|6DUR|7ASPD|89RCR|aVULN
11	62437 26444	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2MBVNT|3RMIN|4ERES|5LWND|6DUR|7ASPD|89RCR|aVULN
12	64321 21216	   	254.48	ACR|DCR|2VULN|1MLV|1CDMG	1MLV|2LWND|3CDMG|4aRCR|5DUR|68AAC|79VULN
13	31522 62161	 * 	252.19	DCR|DCR|3MLV|1AART|1RPLT|1ZMB	18LIT|258MLV|3RPLT|458LWND|58BPWR|6AART|7aRCR|9ZMB
14	31524 62133	 * 	251.91	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	18LIT|28MLV|3RPLT|48LWND|5RCVC|6AART|7aRCR|8BPWR|9ASPD
15	31512 34633	   	251.71	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	1LIT|26MLV|3RPLT|4CGEN|5AART|7aRCR|8TLV|9ASPD
16	61342 34233	   	251.71	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	16MLV|2TLV|3RPLT|4LIT|5AART|7aRCR|8CGEN|9ASPD
17	61342 42333	   	251.71	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	18MLV|2TLV|3RPLT|4LIT|5AART|6CGEN|7aRCR|9ASPD
18	61362 34233	   	251.71	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	16MLV|2TLV|3RPLT|4AART|5LIT|7aRCR|8CGEN|9ASPD
19	61362 42333	   	251.71	DCR|DCR|2MLV|1ASPD|1AART|1RPLT	18MLV|2TLV|3RPLT|4AART|5LIT|6CGEN|7aRCR|9ASPD
20	33134 51533	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3ERES|4LHND|5BBNT|6VULN|7DMG|8aRCR|9LWND
21	33236 51533	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4LHND|5TBNT|6VULN|7DMG|8aRCR|9DUST
22	33263 51533	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4TBNT|5LWND|6VULN|7DMG|8aRCR|9DUST
23	33266 21533	   	251.31	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4TBNT|5VULN|6LHND|7DMG|8aRCR|9DUST
24	33153 61523	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2CDMG|346ERES|5CGEN|7DMG|8aRCR|9VULN
25	62183 45442	 * 	250.63	DCR|DCR|2MLV|1VULN	14MLV|2MBVNT|3LIT|5ERES|6BBNT|78RCR|9LWND|aVULN
26	62226 28244	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1MLV|2MBVNT|3LWND|4BEXP|5ERES|67DUR|89RCR|aVULN
27	62436 16444	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2MBVNT|3RMIN|4ERES|5FEWX|6DUST|7ASPD|89RCR|aVULN
28	62437 16444	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2MBVNT|3RMIN|4ERES|5LWND|6DUST|7ASPD|89RCR|aVULN
29	26352 21117	 * 	247.77	DCR|DCR|2DMG|2DUR|1AART	1aDUR|2aLIT|3LEGI|4AART|5BBNT|69RCR|7MBVNT|8aDMG|aBPWR
30	51113 33151	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aAAC
31	51113 33153	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aLHND
32	51113 33155	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aTBNT
33	51111 33151	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aAAC
34	51111 33153	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aLHND
35	51111 33155	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aTBNT
36	51113 33152	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aBASARM
37	51113 33156	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5BEXP|6DMG|79RCR|8MDPS|aDUST
38	51131 43151	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4DMG|5DUST|6LWND|79RCR|8MDPS|aAAC
39	51131 43153	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4DMG|5DUST|6LWND|79RCR|8MDPS|aLHND
40	51111 33152	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aBASARM
41	51111 33156	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4LWND|5LEGI|6DMG|79RCR|8MDPS|aDUST
42	51131 43152	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1FRZARM|2VULN|3RPLT|4DMG|5DUST|6LWND|79RCR|8MDPS|aBASARM
