0	Index      	 *	Score 	Summary	Detail	
1	13352 62262	 * 	260.67	DCR|2VULN|3MLV|2DMG|2CDMG	1aBEXP|24CDMG|34aMLV|4aBPWR|58VULN|6RCR|7CGEN|9aDMG
2	43422 33312	 * 	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2TBNT|3AME|4CGEN|5DMG|6aRCR|7MDPS|8VULN|9MLV
3	13355 23431	 * 	252.77	DCR|DCR|3MLV|2CDMG	1BEXP|24CDMG|349MLV|4BPWR|5MSLREG|6LWND|7CGEN|8aRCR
4	13355 33431	   	252.77	DCR|DCR|3MLV|2CDMG	1BEXP|24CDMG|349MLV|4BPWR|5MSLREG|6FEWX|7CGEN|8aRCR
5	22234 13211	   	251.06	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1BELT|2DMG|3MSLREG|4SELL|59LWND|6VULN|7aRCR|8CDMG
6	12526 32531	   	250.36	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9DUR|aLHND
7	22316 23286	 * 	250.34	DCR|DCR|2DMG|1MLV|1RPLT	1BELT|27DMG|3MLV|4LWND|5RPLT|6MBVNT|8aRCR|9RMIN
8	12524 32531	   	250.26	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9DUR|aLHND
9	12526 32532	   	250.26	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9DUR|aDUST
10	12526 32533	   	250.26	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9DUR|aAME
11	12524 32532	   	250.16	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9DUR|aDUST
12	12524 32533	   	250.16	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5aAME|68RCR|9DUR
13	13352 62222	 * 	249.12	DCR|2VULN|3MLV|2ASPD|2CDMG	1aBEXP|24CDMG|34aMLV|4aBPWR|58VULN|6RCR|7CGEN|9aASPD
14	33335 25411	 * 	245.66	DCR|DCR|1VULN|2CDMG	1ERES|2RMIN|3VENICY|4DUR|56CDMG|7VULN|8aRCR|9MDPS
15	33335 35411	   	245.66	DCR|DCR|1VULN|2CDMG	16ERES|2RMIN|3VENICY|4DUR|56CDMG|6BPWR|7VULN|8aRCR|9MDPS
16	13352 62243	 * 	244.95	DCR|3VULN|3MLV|2CDMG	1BEXP|24CDMG|34aMLV|4BPWR|589VULN|6RCR|7CGEN
17	11161 35332	   	244.54	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD	1BEXP|2CGEN|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8TLV|9ASPD|aBPWR
18	13352 62226	   	244.54	DCR|3VULN|2MLV|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|58aVULN|6RCR|7CGEN|9ASPD
19	11161 35412	   	244.44	DCR|2VULN|2DMG|2CDMG|1MLV|1ASPD	1BEXP|2CGEN|3aCDMG|4aDMG|5MLV|6aVULN|7RCR|8ASPD|9ERES|aBPWR
20	22332 25356	 * 	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	1BELT|2DMG|36MLV|47aVULN|5CDMG|8DUST|9RCR
21	13352 61521	   	242.46	DCR|2VULN|2MLV|1DMG|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|58VULN|6RCR|7DMG|9ASPD|aFEWX
22	13352 61522	   	242.46	DCR|2VULN|2MLV|1DMG|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|58VULN|6RCR|7DMG|9ASPD|aLSRICY
23	13352 61523	   	242.46	DCR|2VULN|2MLV|1DMG|2CDMG|1ASPD	1BEXP|24CDMG|34MLV|4BPWR|58VULN|6RCR|7DMG|9ASPD|aRMIN
24	12526 32511	   	242.05	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9CGEN|aLIT
25	12526 32512	   	242.05	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9aCGEN
26	12524 32511	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9CGEN|aLIT
27	12524 32512	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9aCGEN
28	12524 32521	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1aBEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9FRZARM
29	12524 32522	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9FRZARM|aTBNT
30	12526 32513	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT|1ZMB	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9CGEN|aZMB
31	12526 32521	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1aBEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9SNITOX
32	12526 32522	   	241.95	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9SNITOX|aTBNT
33	12524 32513	   	241.85	DCR|DCR|2MLV|1ASPD|1RPLT|1ZMB	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9CGEN|aZMB
34	12524 32523	   	241.85	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5AME|68RCR|9FRZARM|aFLTFST
35	12526 32523	   	241.85	DCR|DCR|2MLV|1ASPD|1RPLT	1BEXP|2RPLT|37MLV|4ASPD|5RMIN|68RCR|9SNITOX|aMSLTOX
36	22332 25551	   	240.37	DCR|2VULN|2MLV|1DMG|1CDMG|1RPLT	1BELT|2DMG|36MLV|47VULN|5CDMG|8DUR|9RCR|aRPLT
