0	Index      	 *	Score 	Summary	Detail	
1	13214 52241	 * 	276.28	DCR|DCR|1VULN|3CDMG|1DMG|1RPLT	1RPLT|2LWND|35aCDMG|4VULN|69RCR|7DMG|8FEWX
2	32233 14436	 * 	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5aVULN|6FEWX|78RCR|9RPLT
3	32233 24436	 * 	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5aVULN|6BEXP|78RCR|9RPLT
4	32233 34436	 * 	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5aVULN|6LWND|78RCR|9RPLT
5	12225 25122	 * 	271.69	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1RPLT|2ZMB|3CDMG|48VULN|5LIT|6TBNT|7aRCR|9LSRICY
6	12225 45122	 * 	271.69	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1RPLT|2ZMB|3CDMG|48VULN|5LIT|6BBNT|7aRCR|9LSRICY
7	12225 25112	 * 	271.59	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1RPLT|2ZMB|3CDMG|48VULN|5LIT|6TBNT|7aRCR|9BLASTR
8	12225 45112	 * 	271.59	DCR|DCR|2VULN|1CDMG|1RPLT|1ZMB	1RPLT|2ZMB|3CDMG|48VULN|5LIT|6BBNT|7aRCR|9BLASTR
9	13214 52242	   	270.24	DCR|DCR|1VULN|1DMG|2CDMG|1RPLT	1RPLT|2aLWND|35CDMG|4VULN|69RCR|7DMG|8FEWX
10	13214 52243	   	270.24	DCR|DCR|1VULN|1DMG|2CDMG|1RPLT	1RPLT|2LWND|35CDMG|4VULN|69RCR|7DMG|8FEWX|aLIT
11	32233 24453	 * 	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5aVULN|6BEXP|78RCR|9RCVC
12	16332 11622	 * 	262.51	ACR|DCR|3VULN|1AART|1RPLT	1RPLT|2LIT|3aRCR|46LSRICY|567VULN|6BPWR|8FLTFST|9AART
13	32233 34461	 * 	261.65	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6LWND|78RCR|9DUR
14	32233 64411	 * 	261.65	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6DUR|78RCR|9LHND
15	32344 66442	   	258.14	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1ERES|2ZMB|3VULN|4MBVNT|5DUR|6AART|7DMG|8aRCR|9BBNT
16	43433 61122	 * 	256.99	DCR|4VULN|3DMG	12AME|26BPWR|3469VULN|56aDMG|7ERES|8RCR
17	13214 52125	 * 	256.95	DCR|2VULN|2MLV|1DMG|2CDMG|1ASPD|1RPLT	1RPLT|2aLWND|35CDMG|4aVULN|6RCR|7DMG|8ASPD|9aMLV|aBPWR
18	16434 43841	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1RPLT|23LIT|4MBVNT|5VULN|6AAC|78RCR|9MLV|aDUR
19	32233 14433	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9RPLT|aDUR
20	32233 24433	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9RPLT|aDUR
21	32233 64421	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6DUR|78RCR|9CGEN|aRPLT
22	32233 64431	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6DUR|78RCR|9RPLT|aLWND
23	32233 64433	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6DUR|78RCR|9RPLT|aRCVC
24	32233 64432	   	255.60	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6DUR|78RCR|9RPLT|aMGNSTR
25	35161 41212	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2BELT|3CDMG|4DMG|5FLTHEA|6LWND|7aRCR|8VULN|9LIT
26	35161 61212	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2BELT|3CDMG|4DMG|5FLTHEA|6BEXP|7aRCR|8VULN|9LIT
27	35161 36312	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2BELT|3CDMG|4DMG|5FLTHEA|6VULN|7BEXP|8aRCR|9LIT
28	35161 42312	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2BELT|3CDMG|4DMG|5FLTHEA|6LWND|7VULN|8aRCR|9LIT
29	35161 62312	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1ERES|2BELT|3CDMG|4DMG|5FLTHEA|6BEXP|7VULN|8aRCR|9LIT
30	45161 31312	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2BELT|3CDMG|4DMG|5FLTHEA|6VULN|7aRCR|8DUST|9LIT
31	32233 14411	 * 	253.35	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6FEWX|78RCR|9LHND
32	32233 24411	 * 	253.35	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6BEXP|78RCR|9LHND
33	32233 34411	 * 	253.35	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6LWND|78RCR|9LHND
34	32233 14441	 * 	253.25	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6FEWX|78RCR|9LEGI
35	32233 24441	 * 	253.25	DCR|DCR|1VULN|2MLV|1ZMB	1ERES|2ZMB|3TBNT|4aMLV|5VULN|6BEXP|78RCR|9LEGI
36	12342 52432	   	253.18	DCR|DCR|1VULN|1CDMG|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3TBNT|4AART|5LWND|6CDMG|7ERES|8aRCR|9VULN
37	12343 52432	   	253.18	DCR|DCR|1VULN|1CDMG|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3TBNT|4AART|5BEXP|6CDMG|7ERES|8aRCR|9VULN
38	32233 14434	   	252.59	DCR|DCR|1VULN|1MLV|2RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9aRPLT
39	32233 24434	   	252.59	DCR|DCR|1VULN|1MLV|2RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9aRPLT
40	32233 34434	   	252.59	DCR|DCR|1VULN|1MLV|2RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6LWND|78RCR|9aRPLT
41	16214 36214	   	251.24	ACR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2LIT|3aVULN|49RCR|5CDMG|6TLV|7DUR|8MBVNT
42	16314 36214	   	251.24	ACR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2LIT|39RCR|4aVULN|5CDMG|6TLV|7DUR|8MBVNT
43	22152 51243	   	251.19	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1SELL|2LEGI|3MSLTOX|4MLV|5VULN|6ASPD|7LIT|8MDPS|9aRCR
44	23252 51243	   	251.19	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1SELL|2DUST|3AIRHEA|4MLV|5VULN|6ASPD|7LIT|8MDPS|9aRCR
45	16214 26214	   	251.14	ACR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2LIT|3aVULN|49RCR|5CDMG|6ERES|7DUR|8MBVNT
46	16314 26214	   	251.14	ACR|DCR|2VULN|1CDMG|1RPLT	1RPLT|2LIT|39RCR|4aVULN|5CDMG|6ERES|7DUR|8MBVNT
47	22221 54121	   	251.09	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1SELL|2LEGI|3DLOT|4MLV|5LSRHEA|6ASPD|79RCR|8ERES|aVULN
48	22225 54121	   	251.09	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1SELL|2LEGI|3DLOT|4MLV|5LSRREG|6ASPD|79RCR|8ERES|aVULN
49	16213 15232	 * 	249.10	ACR|DCR|2VULN|1DMG|1RPLT|1SELL	1RPLT|2LIT|37VULN|4aRCR|5DMG|6SELL|8SNITOX|9TBNT
50	16213 15252	 * 	249.10	ACR|DCR|2VULN|1DMG|1RPLT|1SELL	1RPLT|2LIT|37VULN|4aRCR|5DMG|6SELL|8SNITOX|9BBNT
51	16313 15232	 * 	249.10	ACR|DCR|2VULN|1DMG|1RPLT|1SELL	1RPLT|2LIT|3aRCR|47VULN|5DMG|6SELL|8SNITOX|9TBNT
52	16313 15252	 * 	249.10	ACR|DCR|2VULN|1DMG|1RPLT|1SELL	1RPLT|2LIT|3aRCR|47VULN|5DMG|6SELL|8SNITOX|9BBNT
53	16434 43842	   	247.64	DCR|DCR|1VULN|1MLV|1RPLT	1RPLT|23LIT|4MBVNT|5VULN|6AAC|78RCR|9MLV|aDMSP
54	16434 43843	   	247.64	DCR|DCR|1VULN|1MLV|1RPLT	1RPLT|23LIT|4MBVNT|5VULN|6AAC|78RCR|9MLV|aTLV
55	16434 43844	   	247.54	DCR|DCR|1VULN|1MLV|1RPLT	1RPLT|23LIT|4MBVNT|5VULN|6AAC|78RCR|9MLV|aDUST
56	32233 14421	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9CGEN|aRPLT
57	32233 14431	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6FEWX|78RCR|9RPLT|aLWND
58	32233 24421	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2ZMB|3TBNT|4MLV|5VULN|6BEXP|78RCR|9CGEN|aRPLT
