0	Index      	 *	Score 	Summary	Detail	
1	22532 62263	 * 	272.27	DCR|DCR|1VULN|2ASPD|1DMG	15LWND|2CGEN|3DMG|45ASPD|5BPWR|6aRCR|7LSRICY|8VULN|9DUR
2	33364 53112	 * 	268.00	ACR|DCR|2VULN|2MLV|3DUR	1TBNT|29aDUR|34DUST|56RCR|7aMLV|8aVULN|aBPWR
3	63151 31214	 * 	261.23	DCR|DCR|2VULN|1MLV	1AME|2MLV|3LIT|45VULN|6aRCR|7MDPS|8TLV|9BEXP
4	36224 52312	 * 	261.16	ACR|DCR|2VULN|2ASPD|3DUR	1TBNT|2RMIN|37aDUR|4CGEN|56RCR|8aASPD|9aVULN|aBPWR
5	63151 31224	   	261.13	DCR|DCR|2VULN|1MLV	1AME|2MLV|3LIT|45VULN|6aRCR|7MDPS|8TLV|9LEGI
6	25222 26363	 * 	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1LWND|2AART|36FEWX|4DMG|5aRCR|78VULN|9ASPD
7	25432 11363	   	258.37	ACR|DCR|2VULN|1DMG|1ASPD|1AART	15LWND|2AART|3aRCR|4DMG|68VULN|7BEXP|9ASPD
8	25433 34321	   	258.27	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1LWND|2AART|3aRCR|4DMG|5BELT|6ASPD|79VULN|8DUST
9	42532 35213	 * 	256.19	DCR|DCR|2DMG|2MLV	1AAC|2MDPS|34DMG|57MLV|6LWND|8aRCR|9AIRHEA
10	13526 26211	 * 	256.14	DCR|DCR|3DMG|1MLV	1ERES|2MLV|3CGEN|4FLTFST|5FRZFST|68aDMG|79RCR
11	43132 32315	   	250.52	DCR|DCR|1VULN|2RPLT|1AART	1AAC|2aRPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART
12	44225 12133	   	245.96	DCR|DCR|1VULN|1DMG	18AAC|2FRZARM|3VULN|4DUR|5DMG|6CGEN|7aRCR|9DUST
13	44225 12333	   	245.96	DCR|DCR|1VULN|1DMG	1AAC|2FRZARM|3VULN|4DUR|5DMG|68CGEN|7aRCR|9DUST
14	43132 32311	   	245.32	DCR|DCR|1VULN|1AART|1RPLT	1aAAC|2RPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART
15	43132 32313	   	245.32	DCR|DCR|1VULN|1AART|1RPLT	1AAC|2RPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART|aTBNT
16	43132 32316	   	245.32	DCR|DCR|1VULN|1AART|1RPLT	1AAC|2RPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART|aBELT
17	24256 33311	   	245.22	DCR|DCR|1VULN|1AART|1RPLT	1LWND|2DUR|3aAAC|4RPLT|5VULN|69RCR|7ERES|8AART
18	24256 33313	   	245.22	DCR|DCR|1VULN|1AART|1RPLT	1LWND|2DUR|3AAC|4RPLT|5VULN|69RCR|7ERES|8AART|aTBNT
19	43132 32312	   	245.22	DCR|DCR|1VULN|1AART|1RPLT	1AAC|2RPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART|aLEGI
20	43132 32314	   	245.22	DCR|DCR|1VULN|1AART|1RPLT	1AAC|2RPLT|3DUR|4VULN|5CGEN|69RCR|7LHND|8AART|aBLASTR
21	24256 33312	   	245.12	DCR|DCR|1VULN|1AART|1RPLT	1LWND|2DUR|3AAC|4RPLT|5VULN|69RCR|7ERES|8AART|aLEGI
22	43223 62224	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1AAC|2RPLT|3RMIN|4MLV|5LIT|6aRCR|7BBNT|8VULN|9BEXP
23	43223 62253	   	244.89	DCR|DCR|1VULN|1MLV|1RPLT	1AAC|2RPLT|3RMIN|4MLV|5LIT|6aRCR|7BBNT|8VULN|9LHND
24	25222 24533	 * 	244.62	ACR|DCR|1VULN|2ASPD|1DMG|1AART	1LWND|2AART|36FEWX|4DMG|5aRCR|78ASPD|9VULN
25	26151 31214	   	243.80	DCR|DCR|2VULN	12LWND|3LIT|45VULN|6aRCR|7MDPS|8TLV|9BEXP
26	26151 31224	   	243.70	DCR|DCR|2VULN	12LWND|3LIT|45VULN|6aRCR|7MDPS|8TLV|9LEGI
27	15152 14225	   	243.60	DCR|DCR|2VULN	1ERES|2BELT|35VULN|4MSLTOX|6MBVNT|7aRCR|8BBNT|9LHND
28	15152 14245	   	243.60	DCR|DCR|2VULN	1ERES|2BELT|35VULN|4MSLTOX|6MBVNT|7aRCR|8BBNT|9BEXP
29	13513 36114	   	243.43	DCR|DCR|1VULN|1MLV	1ERES|2MLV|3CGEN|4LIT|5DUR|6VULN|7aRCR|8LWND|9BEXP
30	13513 36314	   	243.43	DCR|DCR|1VULN|1MLV	1ERES|2MLV|3CGEN|4LIT|5DUR|6VULN|7aRCR|8FEWX|9BEXP
31	33115 12212	   	243.43	DCR|DCR|1VULN|1MLV	1TBNT|2DUR|3AAC|4BBNT|5MLV|6MDPS|7aRCR|8VULN|9LWND
32	33115 12232	   	243.43	DCR|DCR|1VULN|1MLV	1TBNT|2DUR|3AAC|4BBNT|5MLV|6MDPS|7aRCR|8VULN|9BEXP
33	33115 12242	   	243.43	DCR|DCR|1VULN|1MLV	1TBNT|2DUR|3AAC|4BBNT|5MLV|6MDPS|7aRCR|8VULN|9FEWX
34	33224 51235	   	243.36	ACR|DCR|2VULN|1DMG	1TBNT|2DUR|3TLV|4CGEN|56RCR|7LHND|8aVULN|9DMG
35	21224 52235	   	243.36	ACR|DCR|2VULN|1DMG	1LWND|2RMIN|3TBNT|4CGEN|56RCR|7DUR|8aVULN|9DMG
36	22214 52235	   	243.36	ACR|DCR|2VULN|1DMG	1LWND|2CGEN|3TBNT|4TLV|56RCR|7DUR|8aVULN|9DMG
37	23224 52235	   	243.36	ACR|DCR|2VULN|1DMG	1LWND|2TBNT|3TLV|4CGEN|56RCR|7DUR|8aVULN|9DMG
38	13513 36324	   	243.33	DCR|DCR|1VULN|1MLV	1ERES|2MLV|3CGEN|4LIT|5DUR|6VULN|7aRCR|8FEWX|9LEGI
39	23516 23511	 * 	242.58	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1LWND|2TBNT|3CDMG|489VULN|5ASPD|6MLV|7RCR|aDMG
40	31516 23511	   	242.58	DCR|3VULN|1DMG|1MLV|1ASPD|1CDMG	1TBNT|2LHND|3CDMG|489VULN|5ASPD|6MLV|7RCR|aDMG
