0	Index      	 *	Score 	Summary	Detail	
1	24612 42622	 * 	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9VULN|aDMG
2	33631 11354	 * 	263.76	DCR|DCR|2VULN|1DMG	1TLV|2MDPS|3DMG|4FLTARM|59VULN|6BEXP|7aRCR|8SPLARM
3	33631 31354	   	263.66	DCR|DCR|2VULN|1DMG	1TLV|2MDPS|3DMG|4FLTARM|59VULN|6DUST|7aRCR|8SPLARM
4	12315 15115	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aRPLT
5	24612 42644	   	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9CDMG|aVULN
6	22264 33633	   	252.81	DCR|DCR|1VULN|1ASPD|1CDMG|1SELL|1ZMB	1LHND|2DUR|3SELL|4ZMB|5CDMG|6ASPD|7VULN|8aRCR|9BBNT
7	53521 26333	 * 	252.34	ACR|DCR|2DMG|1VULN|2ASPD	17AELOIC|27ASPD|3NUKE|47DMG|5aRCR|6MDPS|7BPWR|8TBNT|9VULN
8	24612 42624	   	251.72	DCR|DCR|1VULN|1MLV|1RPLT	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9VULN|aNUKE
9	12315 15112	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aFEWX
10	12315 15113	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aRMIN
11	12315 15114	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aBBNT
12	12315 15111	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aAME
13	12315 15116	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1CGEN|2AAC|3VULN|4CDMG|5MLV|6DUST|79RCR|8LIT|aZMB
14	12332 15111	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4AME|5CDMG|6DUST|79RCR|8LIT|aMLV
15	12342 15111	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2AAC|3VULN|4ERES|5CDMG|6DUST|79RCR|8LIT|aMLV
16	16262 15111	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2VULN|3ERES|4AAC|5CDMG|6DUST|79RCR|8LIT|aMLV
17	13252 52242	 * 	247.99	DCR|4VULN|1DMG|1MLV|1ASPD	1CGEN|2MDPS|3458VULN|6DMG|7ASPD|9RCR|aMLV
18	33252 52242	   	247.99	DCR|4VULN|1DMG|1MLV|1ASPD	1TLV|2MDPS|3458VULN|6DMG|7ASPD|9RCR|aMLV
19	16612 31452	 * 	246.95	DCR|3VULN|3MLV|1ASPD	18CGEN|258VULN|3DUR|4MBVNT|6ASPD|78aMLV|8BPWR|9RCR
20	51122 53622	   	245.86	DCR|DCR|1VULN|1DMG	1AELOIC|2BELT|3ERES|45LHND|6DMG|79RCR|8VULN|aDUR
21	24612 42621	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9VULN|aSNIFST
22	24612 42623	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT|1MSE	15LHND|2RPLT|3MBVNT|4BEXP|68RCR|7MLV|9VULN|aMSE
