0	Index      	 *	Score 	Summary	Detail	
1	11356 21522	 * 	285.35	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9TBNT|aCDMG
2	11312 21561	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aRPLT
3	11356 21521	   	281.36	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9TBNT|aRPLT
4	11312 21563	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7VULN|9DMG|aDUR
5	11356 21523	   	280.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1AME|2MLV|3LSRICY|4DMG|5ASPD|68RCR|7VULN|9TBNT|aDUR
6	11312 21555	 * 	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1AME|2MLV|3LSRICY|4ASPD|5AAC|68RCR|7aVULN|9FEWX
7	11352 21543	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AME|2MLV|3LSRICY|4DMG|5AAC|68RCR|7VULN|9RPLT|aDUR
8	11352 21561	 * 	275.63	DCR|DCR|2DMG|1VULN|1MLV	1AME|2MLV|3LSRICY|49DMG|5AAC|68RCR|7VULN|aLHND
9	11352 21562	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	1AME|2MLV|3LSRICY|49DMG|5AAC|68RCR|7VULN|aFEWX
10	11352 21563	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	1AME|2MLV|3LSRICY|49DMG|5AAC|68RCR|7VULN|aBEXP
11	24713 67441	   	275.52	DCR|DCR|2VULN|1MLV|1RPLT	1MBVNT|2DUST|3MSLREG|4RPLT|5MLV|68RCR|7aVULN|9TBNT
12	27384 35124	 * 	274.79	DCR|3VULN|2DMG|2ASPD|1MLV|1RPLT	1MBVNT|2RMIN|37ASPD|4RPLT|57DMG|678VULN|7BPWR|9MLV|aRCR
13	21336 21646	   	274.07	DCR|DCR|2VULN|1MLV	1MBVNT|2AELOIC|35MSLTOX|4DUR|68RCR|79VULN|aMLV
14	11352 21515	 * 	273.56	DCR|DCR|1VULN|2MLV|1DMG	19AME|2aMLV|3LSRICY|4DMG|5AAC|68RCR|7VULN
15	22774 23641	 * 	271.89	DCR|DCR|3VULN	1MBVNT|26FEWX|3MSLREG|459VULN|78RCR|aLWND
16	22774 23642	   	271.89	DCR|DCR|3VULN	1MBVNT|26aFEWX|3MSLREG|459VULN|78RCR
17	22774 23643	   	271.79	DCR|DCR|3VULN	1MBVNT|26FEWX|3MSLREG|459VULN|78RCR|aERES
18	22774 23644	   	271.79	DCR|DCR|3VULN|1MSE	1MBVNT|26FEWX|3MSLREG|459VULN|78RCR|aMSE
19	26144 53362	   	271.75	DCR|DCR|2DMG|1VULN|3ZMB	1MBVNT|24DMG|346ZMB|46BPWR|56LIT|7VULN|8LWND|9aRCR
