0	Index      	 *	Score 	Summary	Detail	
1	12262 34115	 * 	275.31	DCR|DCR|3ASPD|1VULN|1DMG	14LWND|234ASPD|4BPWR|5ERES|6BBNT|7aRCR|8DMG|9VULN
2	21223 31266	 * 	267.08	DCR|DCR|1VULN|3DUR|1DMG|1AART	1ERES|2MDPS|34aDUR|5VULN|6DMG|7AART|89RCR
3	51233 12728	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5DUST|6VULN|7MBVNT|8MLV|9aRCR
4	21223 31261	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1AART	1ERES|2MDPS|34DUR|5VULN|6DMG|7AART|89RCR|aLWND
5	21223 31262	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1AART	1ERES|2MDPS|34DUR|5VULN|6DMG|7AART|89RCR|aCGEN
6	21223 31263	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1AART	1ERES|2MDPS|34DUR|5VULN|6DMG|7AART|89RCR|aLIT
7	65113 12232	 * 	262.05	ACR|DCR|1VULN|2ASPD|1DMG|1MLV|1AART	13ASPD|27RCR|3BPWR|4MLV|5RCVC|6AME|8DMG|9AART|aVULN
8	65322 12232	   	262.05	ACR|DCR|1VULN|2ASPD|1DMG|1MLV|1AART	15ASPD|27RCR|3ERES|4RCVC|6MLV|8DMG|9AART|aVULN
9	21223 31264	   	261.97	DCR|DCR|1VULN|1DMG|2DUR|1AART|1MSE	1ERES|2MDPS|34DUR|5VULN|6DMG|7AART|89RCR|aMSE
10	21223 31265	   	261.97	DCR|DCR|1VULN|1DMG|2DUR|1AART	1ERES|2MDPS|34DUR|5VULN|6DMG|7AART|89RCR|aSPLJET
11	12334 13433	 * 	257.35	DCR|DCR|2VULN|1ASPD	1LWND|2ASPD|3ERES|4CANTOX|5aVULN|6BELT|79RCR|8TBNT
12	12334 13633	   	257.35	DCR|DCR|2VULN|1ASPD	1LWND|2ASPD|3ERES|4CANTOX|5aVULN|6BELT|79RCR|8BBNT
13	12354 13433	   	257.35	DCR|DCR|2VULN|1ASPD	1LWND|2ASPD|3ERES|4aVULN|5CANARM|6BELT|79RCR|8TBNT
14	12354 13633	   	257.35	DCR|DCR|2VULN|1ASPD	1LWND|2ASPD|3ERES|4aVULN|5CANARM|6BELT|79RCR|8BBNT
15	65113 12161	   	255.64	ACR|DCR|1VULN|2ASPD|1MLV|1CDMG|1RPLT	13ASPD|27RCR|3BPWR|4MLV|5RCVC|6AME|8RPLT|9CDMG|aVULN
16	65322 12131	   	255.64	ACR|DCR|1VULN|2ASPD|1MLV|1CDMG|1RPLT	15ASPD|27RCR|3ERES|4RCVC|6MLV|8RPLT|9CDMG|aVULN
17	51235 12228	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5DUR|6VULN|7MBVNT|8TLV|9aRCR
18	51235 12328	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5DUR|6VULN|7MBVNT|8CGEN|9aRCR
19	65113 12241	   	252.39	ACR|DCR|1VULN|2ASPD|1DMG|1MLV	13ASPD|27RCR|3BPWR|4MLV|5RCVC|6AME|8DMG|9FEWX|aVULN
20	65322 12241	   	252.39	ACR|DCR|1VULN|2ASPD|1DMG|1MLV	15ASPD|27RCR|3ERES|4RCVC|6MLV|8DMG|9FEWX|aVULN
21	12334 13434	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2ASPD|3ERES|4CANTOX|5VULN|6BELT|79RCR|8TBNT|aDMG
22	12334 13634	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2ASPD|3ERES|4CANTOX|5VULN|6BELT|79RCR|8BBNT|aDMG
23	65323 12232	   	249.60	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1ASPD|27RCR|3ERES|45RCVC|6MLV|8DMG|9AART|aVULN
24	65113 12233	 * 	247.54	ACR|DCR|2DMG|2ASPD|1MLV|1AART	13ASPD|27RCR|3BPWR|4MLV|5RCVC|6AME|8aDMG|9AART
25	65322 12233	   	247.54	ACR|DCR|2DMG|2ASPD|1MLV|1AART	15ASPD|27RCR|3ERES|4RCVC|6MLV|8aDMG|9AART
26	51231 12228	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5LHND|6VULN|7MBVNT|8TLV|9aRCR
27	51231 12328	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5LHND|6VULN|7MBVNT|8CGEN|9aRCR
28	51231 12628	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5LHND|6VULN|7MBVNT|8RMIN|9aRCR
29	51233 12228	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5DUST|6VULN|7MBVNT|8TLV|9aRCR
30	51233 12328	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1TBNT|2BELT|3DMG|4RPLT|5DUST|6VULN|7MBVNT|8CGEN|9aRCR
31	22134 13434	   	245.76	DCR|DCR|1VULN|1DMG	1ERES|2DUR|3NUKE|4CANTOX|5VULN|6BELT|79RCR|8TBNT|aDMG
32	22134 13634	   	245.76	DCR|DCR|1VULN|1DMG	1ERES|2DUR|3NUKE|4CANTOX|5VULN|6BELT|79RCR|8BBNT|aDMG
