0	Index      	 *	Score 	Summary	Detail	
1	14332 32462	 * 	267.13	ACR|DCR|2VULN|2DMG|1AART	1aCGEN|2AME|3aVULN|48RCR|5AART|6LWND|7LIT|9aDMG|aBPWR
2	12433 53334	 * 	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aASPD
3	22433 53334	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aASPD
4	12433 53331	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aDUR
5	22433 53331	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aDUR
6	53322 21154	 * 	258.29	DCR|DCR|2VULN|1RPLT	1LHND|2DMSP|37VULN|4AAC|5TBNT|6RPLT|8TLV|9aRCR
7	41423 43331	   	255.75	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|4LIT|5AELOIC|69RCR|7MLV|8VULN|aDUR
8	14332 32432	 * 	255.59	ACR|DCR|2VULN|2ASPD|1AART	1aCGEN|2AME|3aVULN|48RCR|5AART|6LWND|7LIT|9aASPD|aBPWR
9	24332 32432	   	255.39	ACR|DCR|2VULN|2ASPD|1AART	1aERES|2AME|3aVULN|48RCR|5AART|6LWND|7LIT|9aASPD|aBPWR
10	12433 53332	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aLHND
11	12433 53335	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aLWND
12	12433 53336	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aBEXP
13	12433 53333	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2LIT|3CDMG|4MBVNT|5FEWX|69RCR|7MLV|8VULN|aAME
