0	Index      	 *	Score 	Summary	Detail	
1	22551 31336	 * 	277.24	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1DUR|2VULN|3LIT|4DMG|5ASPD|6CGEN|7FEWX|8MLV|9aRCR
2	23214 11223	 * 	274.36	ACR|DCR|2VULN|2DMG|1CDMG|1ZMB	1DUR|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9aDMG
3	23214 11213	 * 	274.30	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9MLV|aDMG
4	23216 11223	 * 	274.26	ACR|DCR|2VULN|2DMG|1CDMG|1ZMB	1DUR|28RCR|34VULN|5ERES|6ZMB|7CDMG|9aDMG
5	23216 11213	 * 	274.20	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1DUR|28RCR|34VULN|5ERES|6ZMB|7CDMG|9MLV|aDMG
6	23214 11231	 * 	272.49	ACR|DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUR|28RCR|349VULN|5CGEN|6ZMB|7CDMG|aASPD
7	23216 11231	 * 	272.39	ACR|DCR|3VULN|1ASPD|1CDMG|1ZMB	1DUR|28RCR|349VULN|5ERES|6ZMB|7CDMG|aASPD
8	21234 61337	 * 	269.63	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3CGEN|45VULN|6LIT|7FEWX|8MLV|9aRCR
9	21238 47337	   	269.63	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3CGEN|48VULN|5MLV|6FEWX|7LIT|9aRCR
10	21234 65237	   	269.53	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3CGEN|45VULN|6LIT|7MLV|8DUST|9aRCR
11	34333 61337	   	269.53	DCR|DCR|2VULN|1MLV	1MBVNT|2ERES|3DUR|45VULN|6LIT|7FEWX|8MLV|9aRCR
12	34333 65237	   	269.43	DCR|DCR|2VULN|1MLV	1MBVNT|2ERES|3DUR|45VULN|6LIT|7MLV|8DUST|9aRCR
13	23214 11221	 * 	266.43	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT|1ZMB	1DUR|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9DMG|aRPLT
14	23216 11221	 * 	266.33	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT|1ZMB	1DUR|28RCR|34VULN|5ERES|6ZMB|7CDMG|9DMG|aRPLT
15	13214 11223	 * 	266.05	ACR|DCR|2VULN|2DMG|1CDMG|1ZMB	1BEXP|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9aDMG
16	13214 11213	 * 	265.99	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1BEXP|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9MLV|aDMG
17	13216 11223	 * 	265.95	ACR|DCR|2VULN|2DMG|1CDMG|1ZMB	1BEXP|28RCR|34VULN|5ERES|6ZMB|7CDMG|9aDMG
18	13216 11213	 * 	265.89	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1ZMB	1BEXP|28RCR|34VULN|5ERES|6ZMB|7CDMG|9MLV|aDMG
19	23212 15525	 * 	265.44	ACR|DCR|3VULN|2DUR|1CDMG	18DUR|2aRCR|348VULN|5MDPS|678AME|8BPWR|9CDMG
20	21323 21612	 * 	265.01	DCR|4VULN|2MLV|1DMG|2DUR	18DUR|2MBVNT|3LWND|48MLV|578aVULN|6RCR|8BPWR|9DMG
21	21523 21612	   	265.01	DCR|4VULN|2MLV|1DMG|2DUR	18DUR|2MBVNT|3LHND|48MLV|578aVULN|6RCR|8BPWR|9DMG
22	21477 17443	   	264.66	ACR|DCR|3VULN|1AART|1RPLT	1DUR|2MBVNT|3RPLT|46aVULN|59RCR|7AART|8TLV
23	13214 11231	   	264.19	ACR|DCR|3VULN|1ASPD|1CDMG|1ZMB	1BEXP|28RCR|349VULN|5CGEN|6ZMB|7CDMG|aASPD
24	13216 11231	   	264.09	ACR|DCR|3VULN|1ASPD|1CDMG|1ZMB	1BEXP|28RCR|349VULN|5ERES|6ZMB|7CDMG|aASPD
25	13652 21213	 * 	263.94	ACR|DCR|2DMG|1VULN|2CDMG|1MLV	1BEXP|28RCR|35CDMG|4VULN|6aDMG|7CGEN|9MLV
26	23214 11211	   	263.90	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT|1ZMB	1DUR|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9MLV|aRPLT
27	13652 23213	   	263.84	ACR|DCR|2DMG|1VULN|2CDMG|1MLV	1BEXP|28RCR|35CDMG|4VULN|6aDMG|7ERES|9MLV
28	13652 24213	   	263.84	ACR|DCR|2DMG|1VULN|2CDMG|1MLV	1BEXP|28RCR|35CDMG|4VULN|6aDMG|7AME|9MLV
29	23216 11211	   	263.80	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT|1ZMB	1DUR|28RCR|34VULN|5ERES|6ZMB|7CDMG|9MLV|aRPLT
30	21833 53451	 * 	263.42	DCR|DCR|2VULN|3DUR|1ZMB	167DUR|2MBVNT|3ZMB|45VULN|8aRCR|9LIT
31	32333 53451	 * 	263.42	DCR|DCR|2VULN|3DUR|1ZMB	1MBVNT|2ZMB|367DUR|45VULN|8aRCR|9LIT
32	23214 11224	 * 	263.08	ACR|DCR|2VULN|1DMG|2CDMG|1ZMB	1DUR|28RCR|34VULN|5CGEN|6ZMB|7aCDMG|9DMG
33	23216 11224	 * 	262.98	ACR|DCR|2VULN|1DMG|2CDMG|1ZMB	1DUR|28RCR|34VULN|5ERES|6ZMB|7aCDMG|9DMG
34	23211 63125	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|348VULN|5FEWX|6TBNT|7CGEN|9CDMG
35	23211 64125	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|348VULN|5FEWX|6TBNT|7TLV|9CDMG
36	23213 61525	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|347VULN|5BEXP|6TBNT|8CGEN|9CDMG
37	23213 63125	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|348VULN|5BEXP|6TBNT|7CGEN|9CDMG
38	23213 64125	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|348VULN|5BEXP|6TBNT|7TLV|9CDMG
39	23215 63125	   	259.09	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|348VULN|5LWND|6TBNT|7CGEN|9CDMG
40	23116 63125	   	258.99	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|3DUST|458VULN|6TBNT|7CGEN|9CDMG
41	23224 32125	   	258.99	ACR|DCR|3VULN|1CDMG	1DUR|2aRCR|378VULN|4BBNT|5AME|6LWND|9CDMG
42	23214 11232	   	258.84	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5aCGEN|6ZMB|7CDMG
43	23214 11251	   	258.84	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|34aVULN|5CGEN|6ZMB|7CDMG|9BBNT
44	23214 11233	   	258.74	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5CGEN|6ZMB|7CDMG|aERES
45	23214 11235	   	258.74	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5CGEN|6ZMB|7CDMG|aMDPS
46	23216 11232	   	258.74	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5ERES|6ZMB|7CDMG|aCGEN
47	23216 11235	   	258.74	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5ERES|6ZMB|7CDMG|aLWND
48	23216 11251	   	258.74	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|34aVULN|5ERES|6ZMB|7CDMG|9BBNT
49	23216 11233	   	258.64	ACR|DCR|3VULN|1CDMG|1ZMB	1DUR|28RCR|349VULN|5aERES|6ZMB|7CDMG
50	13214 11221	 * 	258.12	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT|1ZMB	1BEXP|28RCR|34VULN|5CGEN|6ZMB|7CDMG|9DMG|aRPLT
51	13216 11221	 * 	258.02	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT|1ZMB	1BEXP|28RCR|34VULN|5ERES|6ZMB|7CDMG|9DMG|aRPLT
52	13653 21213	   	257.62	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	15BEXP|28RCR|3CDMG|4VULN|6aDMG|7CGEN|9MLV
53	13661 62213	   	257.62	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1BEXP|28RCR|3CDMG|4CGEN|5DMSP|6aDMG|7VULN|9MLV
54	13653 23213	   	257.52	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	15BEXP|28RCR|3CDMG|4VULN|6aDMG|7ERES|9MLV
55	13653 24213	   	257.52	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	15BEXP|28RCR|3CDMG|4VULN|6aDMG|7AME|9MLV
56	22513 63336	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2VULN|3LIT|4AAC|5FEWX|6ERES|7ASPD|8MLV|9aRCR
