0	Index      	 *	Score 	Summary	Detail	
1	21153 15343	 * 	297.12	DCR|DCR|3VULN|1MLV|1ASPD	1DMSP|256VULN|3CGEN|4ASPD|7MLV|8aRCR|9SNIFST
2	62663 23311	 * 	286.43	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1aDMG|2LWND|3VULN|4MULHEA|5LHND|68RCR|7CDMG|9MLV
3	66423 22331	 * 	277.37	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1DMG|2ASPD|3LHND|4SELL|5aVULN|68RCR|7LIT|9BEXP
4	21231 54342	 * 	277.27	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1DMSP|29VULN|3MULHEA|4LWND|5SELL|6DMG|7aRCR|8CDMG
5	21153 35343	   	274.98	DCR|DCR|2VULN|1MLV|1ASPD	1DMSP|25VULN|36CGEN|4ASPD|7MLV|8aRCR|9SNIFST
6	66132 21331	 * 	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aRCVC
7	66132 21332	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aLIT
8	66132 21335	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aLHND
9	66132 21336	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aBBNT
10	66132 21333	   	273.32	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aDUST
11	66132 21334	   	273.32	DCR|DCR|1VULN|2ASPD|1DMG|1ZMB	1DMG|28ASPD|3CGEN|4RPLT|5VULN|69RCR|7TSLARM|aZMB
12	63152 21362	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2DMSP|3DUR|4RPLT|5VULN|69RCR|7AIRARM|8MDPS|aCDMG
13	63152 23362	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2DMSP|3DUR|4RPLT|5VULN|69RCR|7LSRHEA|8MDPS|aCDMG
14	61152 21362	   	269.07	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2AELOIC|3DUR|4RPLT|5VULN|69RCR|7AIRARM|8MDPS|aCDMG
15	61152 23362	   	269.07	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2AELOIC|3DUR|4RPLT|5VULN|69RCR|7LSRHEA|8MDPS|aCDMG
16	54513 23311	   	268.94	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1AAC|2FRZICY|3LWND|4VULN|5LHND|68RCR|7CDMG|9MLV|aDMG
17	62663 23312	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DMG|2LWND|3VULN|4MULHEA|5LHND|68RCR|7CDMG|9MLV|aLIT
18	62663 23313	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DMG|2LWND|3VULN|4MULHEA|5LHND|68RCR|7CDMG|9MLV|aDUST
