0	Index      	 *	Score 	Summary	Detail	
1	24512 35221	 * 	266.67	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1RPLT|27VULN|3aRCR|4DUR|5LWND|6BBNT|8DMG|9ASPD
2	45312 12225	 * 	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1SPLREG|2RPLT|3MLV|4LIT|5DMG|6DUST|79RCR|8BELT|aVULN
3	24116 31151	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2VULN|3MDPS|4DMG|5ASPD|6LWND|7DUST|8FEWX|9aRCR
4	21111 32321	   	260.77	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|248ERES|3RCVC|5ASPD|6aRCR|7VULN|9DMG
5	21131 32321	   	260.77	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|248ERES|3RCVC|4BPWR|5ASPD|6aRCR|7VULN|9DMG
6	24142 84113	 * 	258.55	DCR|DCR|2VULN|2RPLT	19RPLT|28VULN|3MDPS|4MBVNT|5BBNT|6BEXP|7aRCR
7	24143 34113	   	258.55	DCR|DCR|2VULN|2RPLT	19RPLT|28VULN|3MDPS|4MBVNT|5LHND|6BBNT|7aRCR
8	24323 52121	   	255.72	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2VULN|3DUR|4AAC|5DMSP|6aRCR|7DMG|8LHND|9TBNT
9	54137 23124	 * 	255.24	DCR|DCR|2DMG|1VULN	1LHND|2MBVNT|3CGEN|49DMG|5BELT|6VULN|7aRCR|8LIT
10	45311 32513	   	254.35	DCR|DCR|1VULN|1MLV|1RPLT|1AART	1SPLREG|2RPLT|3MLV|4LIT|5FEWX|6VULN|7ERES|89RCR|aAART
11	24552 32321	   	252.68	ACR|DCR|2VULN|1DMG|1RPLT|1ZMB	1RPLT|25VULN|3aRCR|4ZMB|6DUST|7DMG|8DUR|9TBNT
12	24553 32321	   	252.53	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	1RPLT|25VULN|3aRCR|45ZMB|5BPWR|6DUST|7DMG|8DUR|9TBNT
13	35437 16233	   	251.80	DCR|DCR|2VULN	1AME|2MBVNT|3LIT|4VENTOX|5DUR|6aVULN|7SPLARM|89RCR
14	35437 18233	   	251.80	DCR|DCR|2VULN	1AME|2MBVNT|3LIT|4VENTOX|5DUR|6aVULN|7FLTFST|89RCR
15	34351 12431	   	248.78	DCR|DCR|1VULN|1MLV|1ASPD	1AME|2MLV|36LIT|4BELT|5ASPD|7BEXP|89RCR|aVULN
16	24531 46332	   	247.86	ACR|DCR|2VULN|1ASPD|1AART|1RPLT	1RPLT|29VULN|3aRCR|4FRZARM|5MBVNT|6TBNT|7AART|8ASPD
17	24133 11663	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2VULN|3MDPS|4TLV|5CGEN|6BBNT|7aRCR|8DMG|9AAC
18	36323 33641	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1AME|2RPLT|3BBNT|4VULN|5ERES|6TBNT|7aRCR|8DMG|9CGEN
19	25612 12225	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2TLV|3TSLFST|4LIT|5DMG|6DUST|79RCR|8BELT|aVULN
20	31232 32321	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1AME|2BBNT|3LWND|4ERES|5VULN|6DMG|7RPLT|8AAC|9aRCR
21	36325 33621	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1AME|2RPLT|3BBNT|4VULN|5TLV|6TBNT|7aRCR|8DMG|9ERES
22	42162 12225	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1SPLREG|2LIT|3CGEN|4RPLT|5DMG|6DUST|79RCR|8BELT|aVULN
23	21612 12225	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2ERES|3TSLFST|4LIT|5DMG|6DUST|79RCR|8BELT|aVULN
24	36612 12225	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1AME|2RPLT|3TSLFST|4LIT|5DMG|6DUST|79RCR|8BELT|aVULN
25	42262 12225	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1SPLREG|2LIT|3ERES|4RPLT|5DMG|6DUST|79RCR|8BELT|aVULN
26	21612 12334	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2ERES|3TSLFST|4LIT|5DMG|6DUST|7aRCR|8LHND|9VULN
27	42262 12334	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1SPLREG|2LIT|3ERES|4RPLT|5DMG|6DUST|7aRCR|8LHND|9VULN
28	24133 11653	   	247.07	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2VULN|3MDPS|4TLV|5CGEN|6BBNT|7aRCR|8DMG|9ZMB
29	32232 36351	   	247.07	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1AME|2ZMB|3BBNT|4BEXP|5VULN|6DMG|7TLV|8RPLT|9aRCR
30	32232 32251	   	246.97	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1AME|2ZMB|3BBNT|4BEXP|5VULN|6DMG|7RPLT|8ERES|9aRCR
31	45311 32512	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT	1SPLREG|2RPLT|3MLV|4LIT|5aFEWX|6VULN|7ERES|89RCR
32	45311 32511	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT	1SPLREG|2RPLT|3MLV|4LIT|5FEWX|6VULN|7ERES|89RCR|aDUST
33	24552 32121	   	244.37	ACR|DCR|2VULN|1DMG|1RPLT|1ZMB	1RPLT|25VULN|3aRCR|4ZMB|6DUST|7DMG|8LHND|9TBNT
34	24553 32121	   	244.23	ACR|DCR|2VULN|1DMG|1RPLT|2ZMB	1RPLT|25VULN|3aRCR|45ZMB|5BPWR|6DUST|7DMG|8LHND|9TBNT
35	35211 31232	   	243.60	DCR|DCR|2VULN	1aAME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7aLWND|89RCR|aBPWR
36	35211 34232	   	243.60	DCR|DCR|2VULN	1aAME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7aLHND|89RCR|aBPWR
37	35211 37232	   	243.60	DCR|DCR|2VULN	1aAME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7aBEXP|89RCR|aBPWR
38	35211 31233	   	243.50	DCR|DCR|2VULN	1AME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7LWND|89RCR
39	35211 34233	   	243.50	DCR|DCR|2VULN	1AME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7LHND|89RCR
40	35211 37233	   	243.50	DCR|DCR|2VULN	1AME|2MBVNT|3TSLARM|4aVULN|5MULHEA|6LIT|7BEXP|89RCR
41	35436 16233	   	243.50	DCR|DCR|2VULN	1AME|2MBVNT|3LIT|4VENTOX|5FEWX|6aVULN|7SPLARM|89RCR
42	35436 18233	   	243.50	DCR|DCR|2VULN	1AME|2MBVNT|3LIT|4VENTOX|5FEWX|6aVULN|7FLTFST|89RCR
43	21266 23621	 * 	241.13	DCR|DCR|2ASPD|1DMG|1RPLT	1RPLT|248ERES|3LWND|57ASPD|6DMG|9aRCR
44	36325 33241	   	240.90	DCR|DCR|1VULN|1ASPD|1RPLT	1AME|2RPLT|3BBNT|4VULN|5TLV|6TBNT|7aRCR|8ASPD|9CGEN
45	36323 33241	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1AME|2RPLT|3BBNT|4VULN|5ERES|6TBNT|7aRCR|8ASPD|9CGEN
46	21611 62225	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1RPLT|2ERES|3TSLFST|4LIT|5FEWX|6ASPD|79RCR|8BELT|aVULN
47	21611 62334	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1RPLT|2ERES|3TSLFST|4LIT|5FEWX|6ASPD|7aRCR|8LHND|9VULN
48	31232 52321	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1AME|2BBNT|3LWND|4ERES|5VULN|6ASPD|7RPLT|8AAC|9aRCR
49	36321 15321	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1AME|2RPLT|3BBNT|4VULN|5LWND|6ASPD|7ERES|8AAC|9aRCR
50	36325 33221	   	240.80	DCR|DCR|1VULN|1ASPD|1RPLT	1AME|2RPLT|3BBNT|4VULN|5TLV|6TBNT|7aRCR|8ASPD|9ERES
51	32232 56351	   	240.66	DCR|DCR|1VULN|1ASPD|1RPLT|1ZMB	1AME|2ZMB|3BBNT|4BEXP|5VULN|6ASPD|7TLV|8RPLT|9aRCR
52	24143 24161	   	240.65	DCR|DCR|1VULN|2RPLT	17RPLT|2VULN|3MDPS|4MBVNT|5LHND|6DUR|8FEWX|9aRCR
53	32232 52251	   	240.56	DCR|DCR|1VULN|1ASPD|1RPLT|1ZMB	1AME|2ZMB|3BBNT|4BEXP|5VULN|6ASPD|7RPLT|8ERES|9aRCR
54	24512 31221	   	240.47	ACR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2VULN|3aRCR|4DUR|5LWND|6BBNT|7RCVC|8DMG|9ASPD
