0	Index      	 *	Score 	Summary	Detail	
1	22423 42353	 * 	294.77	橙橙2易伤1矿等2时间1攻速	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8攻速9矿等
2	42361 32612	 * 	292.15	橙橙3易伤1伤害	1敌人爆炸246易伤3基地爆炸5雷电7金币生成8a核9伤害
3	21313 14233	 * 	291.59	橙橙3伤害1易伤1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7金币生成89核a易伤
4	21313 15233	   	291.59	橙橙3伤害1易伤1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7等级89核a易伤
5	21313 13233	   	291.49	橙橙3伤害1易伤1矿等	145基地爆炸245伤害3随机矿45序列升级6矿等7技能点89核a易伤
6	31356 23241	   	286.46	橙橙2易伤1伤害1全技能	1技能点2雷电3基础对甲48易伤5伤害6全技能7a核9时间
7	41331 21218	   	283.84	橙橙2伤害1易伤1矿等	1敌人爆炸2a伤害3毒液对冰4加一5时间69核7矿等8易伤
8	22423 42623	   	283.55	橙橙2易伤1伤害2时间	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8伤害9掉矿
9	41331 21212	 * 	281.86	橙橙1易伤2矿等1伤害	1敌人爆炸2伤害3毒液对冰4加一5时间69核7a矿等8易伤
10	22423 42253	   	281.11	橙橙2易伤1矿等2时间	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8技能9矿等
11	52323 42353	   	279.91	橙橙2易伤1矿等1攻速	1低血量敌人25易伤35基地爆炸4赏金邻近5序列升级6a核7雷电8攻速9矿等
12	51312 23231	   	278.25	橙橙2易伤1伤害1全技能	1低血量敌人2伤害3毒液对冰4等级5雷电6全技能7a核89易伤
13	31356 21231	   	278.15	橙橙2易伤1伤害1全技能	1技能点2雷电3基础对甲49易伤5伤害6全技能7基地爆炸8a核
14	31356 26231	   	278.15	橙橙2易伤1伤害1全技能	1技能点2雷电3基础对甲49易伤5伤害6全技能7敌人爆炸8a核
15	31356 22231	   	278.05	橙橙2易伤1伤害1全技能	1技能点2雷电3基础对甲49易伤5伤害6全技能7挖尘8a核
16	22423 42363	   	277.23	橙橙2易伤2时间1攻速	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8攻速9金币生成
17	22423 42323	   	277.13	橙橙2易伤2时间1攻速	1基地爆炸25易伤35时间4赏金邻近5序列升级6a核7雷电8攻速9掉矿
18	42253 33612	   	277.00	橙橙2易伤1伤害	1敌人爆炸26易伤34雷电5时间7金币生成8a核9伤害
19	41337 21218	   	275.43	橙橙2伤害1易伤1矿等	1敌人爆炸2a伤害3毒液对冰4加一5挖尘69核7矿等8易伤
20	41113 33542	 * 	274.91	紫橙2易伤2伤害1矿等	1敌人爆炸26伤害3基地爆炸48易伤5a核7矿等9雷电
21	21313 22233	   	274.05	橙橙3伤害1易伤	145基地爆炸245伤害36随机矿45序列升级7低血量敌人89核a易伤
22	21313 24233	   	273.95	橙橙3伤害1易伤	145基地爆炸245伤害36随机矿45序列升级7挖尘89核a易伤
23	21313 63233	   	273.95	橙橙3伤害1易伤	145基地爆炸245伤害3随机矿45序列升级6金币生成7技能点89核a易伤
24	41337 21212	   	273.46	橙橙1易伤2矿等1伤害	1敌人爆炸2伤害3毒液对冰4加一5挖尘69核7a矿等8易伤
25	21112 22523	 * 	273.11	橙3易伤3伤害3暴击1平台	138基地爆炸259伤害489暴击689易伤7平台89序列升级a核
26	22132 12243	   	270.28	橙橙2易伤1暴击	1基地爆炸25易伤3双倍物品4掉矿6暴击7双倍秒伤8a核9时间
27	42132 12243	   	270.28	橙橙2易伤1暴击	1敌人爆炸25易伤3双倍物品4掉矿6暴击7双倍秒伤8a核9时间
28	22246 32612	   	268.69	橙橙2易伤1伤害	14基地爆炸26易伤3雷电5敌人爆炸7金币生成8a核9伤害
29	42242 32612	   	268.69	橙橙2易伤1伤害	1敌人爆炸26易伤3雷电45基地爆炸7金币生成8a核9伤害
30	42351 32612	   	268.69	橙橙2易伤1伤害	1敌人爆炸26易伤3基地爆炸4立即金币5雷电7金币生成8a核9伤害
31	42223 61612	   	268.59	橙橙2易伤1伤害	1敌人爆炸26易伤3雷电4挖尘57金币生成8a核9伤害
32	42225 32612	   	268.59	橙橙2易伤1伤害	1敌人爆炸26易伤3雷电4挖尘5双倍矿7金币生成8a核9伤害
33	42361 12612	   	268.59	橙橙2易伤1伤害	1敌人爆炸24易伤3基地爆炸5雷电6激光减费7金币生成8a核9伤害
34	41113 36263	 * 	268.26	紫橙3伤害1易伤1暴击1平台	1敌人爆炸268伤害3基地爆炸4易伤5a核7暴击9平台
35	21413 36263	   	268.16	紫橙3伤害1易伤1暴击1平台	1基地爆炸268伤害3挖尘4易伤5a核7暴击9平台
36	51312 23211	   	267.76	橙橙2伤害1易伤1全技能	1低血量敌人29伤害3毒液对冰4等级5雷电6全技能7a核8易伤
37	31356 21211	   	267.66	橙橙2伤害1易伤1全技能	1技能点2雷电3基础对甲4易伤59伤害6全技能7基地爆炸8a核
38	31356 26211	   	267.66	橙橙2伤害1易伤1全技能	1技能点2雷电3基础对甲4易伤59伤害6全技能7敌人爆炸8a核
39	31356 22211	   	267.56	橙橙2伤害1易伤1全技能	1技能点2雷电3基础对甲4易伤59伤害6全技能7挖尘8a核
40	41331 25218	   	266.31	橙橙2伤害1易伤	1敌人爆炸2a伤害3毒液对冰4加一5时间69核7等级8易伤
41	41331 27218	   	266.31	橙橙2伤害1易伤	1敌人爆炸2a伤害3毒液对冰4加一5时间69核7随机矿8易伤
42	21313 14234	   	266.30	橙橙3伤害1矿等1平台	145基地爆炸245伤害3随机矿45序列升级6矿等7金币生成89核a平台
43	21313 14236	   	266.30	橙橙3伤害1矿等1全技能	145基地爆炸245伤害3随机矿45序列升级6矿等7金币生成89核a全技能
44	21313 15234	   	266.30	橙橙3伤害1矿等1平台	145基地爆炸245伤害3随机矿45序列升级6矿等7等级89核a平台
45	21313 15236	   	266.30	橙橙3伤害1矿等1全技能	145基地爆炸245伤害3随机矿45序列升级6矿等7等级89核a全技能
46	52323 42253	   	266.26	橙橙2易伤1矿等	1低血量敌人25易伤35基地爆炸4赏金邻近5序列升级6a核7雷电8技能9矿等
47	41331 21211	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a基地爆炸
48	41331 21214	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a赏金邻近
49	41331 21215	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a低血量敌人
50	41331 21216	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7矿等8易伤a金币生成
51	41331 25212	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7等级8易伤a矿等
52	41331 27212	   	266.25	橙橙1易伤1伤害1矿等	1敌人爆炸2伤害3毒液对冰4加一5时间69核7随机矿8易伤a矿等
