0	Index      	 *	Score 	Summary	Detail	
1	53313 25231	 * 	207.37	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	1aCDMG|2aLIT|3AART|459VULN|6DUR|7RCR|8aDMG|aBPWR
2	12235 13162	   	204.31	DCR|3VULN|2DMG|1AART|1CDMG|2DUR|1SELL	12aVULN|3aDUR|4LHND|5CDMG|6AART|7RCR|8SELL|9aDMG|aBPWR
3	12133 16125	 * 	203.80	ACR|5VULN|2DMG|1CDMG|2DUR	12379VULN|4ERES|5RCR|69DMG|89DUR|9BPWR|aCDMG
4	12133 11552	 * 	201.74	ACR|4VULN|2DMG|1AART|2ASPD	1239VULN|47ERES|5RCR|69DMG|89ASPD|9BPWR|aAART
5	12133 14452	   	201.74	ACR|4VULN|2DMG|1AART|2ASPD	1239VULN|48ERES|5RCR|69DMG|79ASPD|9BPWR|aAART
6	12133 16264	 * 	200.77	ACR|5VULN|2DMG|1AART|1SELL	12378VULN|48ERES|5RCR|68DMG|8BPWR|9SELL|aAART
7	53313 15251	   	200.43	DCR|3VULN|2DMG|1AART|2CDMG	1aCDMG|2aLIT|3AART|459VULN|6BEXP|7RCR|8aDMG|aBPWR
8	53313 25211	   	197.01	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1aCDMG|2aLIT|3AART|45VULN|69DUR|7RCR|8aDMG|aBPWR
9	15225 61222	   	195.68	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|28DMG|3ERES|4CGEN|58CDMG|6RCR|7AART|8BPWR|9MLV|aZMB
10	15225 61212	   	195.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	18VULN|28DMG|3ERES|4CGEN|58CDMG|6RCR|7AART|8BPWR|9TLV|aZMB
11	12133 11216	   	195.03	ACR|4VULN|2DMG|1AART|1DUR	1238VULN|478ERES|5RCR|68DMG|8BPWR|9DUR|aAART
12	13322 26616	   	193.51	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	16aVULN|2ZMB|3BELT|4CGEN|56DMG|6BPWR|7AART|8RCR|9DUR
13	13322 26653	   	193.51	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	16aVULN|2ZMB|3BELT|4CGEN|56DMG|6BPWR|7AART|8RCR|9ASPD
14	13332 26616	   	193.41	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	16aVULN|2ZMB|3BELT|4TLV|56DMG|6BPWR|7AART|8RCR|9DUR
15	13332 26653	   	193.41	DCR|3VULN|2DMG|1AART|1ZMB|1ASPD	16aVULN|2ZMB|3BELT|4TLV|56DMG|6BPWR|7AART|8RCR|9ASPD
16	53313 25221	   	191.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1aCDMG|2aLIT|3AART|45VULN|6DUR|7RCR|8aDMG|9RCVC|aBPWR
17	12133 16425	   	191.56	ACR|5VULN|2DMG|1CDMG	12379VULN|4ERES|5RCR|69DMG|89LHND|9BPWR|aCDMG
18	15225 61231	   	191.52	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	18VULN|28DMG|3ERES|4CGEN|58CDMG|6RCR|7AART|8BPWR|9DUST|aDUR
