0	Index      	 *	Score 	Summary	Detail	
1	41111 23362	 * 	190.63	DCR|2VULN|2DMG|1AART|2CDMG|2ZMB	1RCVC|29ZMB|34VULN|5BELT|6AART|79CDMG|89DMG|9BPWR|aRCR
2	41331 23451	 * 	179.64	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5VULN|6AART|7DUR|8aDMG|9FLTHEA
3	41311 23451	   	179.54	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4VULN|5ERES|6AART|7DUR|8aDMG|9FLTHEA
4	64143 12333	 * 	178.35	ACR|3VULN|1AART|1DMG|2ZMB	13aERES|2AART|4RCR|59aVULN|6DMG|7LSRREG|8aZMB|aBPWR
5	41331 23452	 * 	175.70	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|5VULN|6AART|7DUR|8DMG|9FLTHEA|aCDMG
6	41331 23164	 * 	175.68	ACR|4VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4MLV|589aVULN|6AART|7DUR
7	41311 23452	   	175.60	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|3RCR|4VULN|5ERES|6AART|7DUR|8DMG|9FLTHEA|aCDMG
8	41311 23163	   	175.58	ACR|4VULN|1AART|1ZMB|1DUR	1RCVC|2ZMB|3RCR|489aVULN|5ERES|6AART|7DUR
9	41324 33223	 * 	175.38	ACR|2VULN|1AART|2ZMB|2ASPD|1FLTHEA|1DUR	1RCVC|2aZMB|3RCR|4DUR|5aVULN|6FLTHEA|7LHND|8aASPD|9AART|aBPWR
10	41324 34223	   	175.28	ACR|2VULN|1AART|2ZMB|2ASPD|1FLTHEA|1DUR	1RCVC|2aZMB|3RCR|4DUR|5aVULN|6FLTHEA|7DUST|8aASPD|9AART|aBPWR
11	32361 23836	 * 	175.12	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4AART|578VULN|6DUR|9RCR|aDMG
12	32361 23838	 * 	174.65	DCR|4VULN|1AART|2DUR|1ZMB	1aFEWX|2ZMB|3MBVNT|4AART|578aVULN|6aDUR|9RCR|aBPWR
13	41111 34322	   	174.06	DCR|4VULN|1AART|1ZMB|1ASPD	1RCVC|2ZMB|347aVULN|5BELT|6RCR|8AART|9ASPD
14	14322 16226	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|3ZMB|4RPLT|5ERES|69DMG|7aVULN|8RCR
15	31125 12622	 * 	173.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2CGEN|3CDMG|4ASPD|5aAART|6RCR|7ZMB|8VULN|9DMG
16	41111 34342	 * 	173.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|347VULN|5BELT|6RCR|8AART|9CDMG|aDUR
17	41111 34343	   	173.61	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCVC|2ZMB|347VULN|5BELT|6RCR|8AART|9CDMG|aASPD
18	32115 13622	   	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4TLV|5aAART|6RCR|7ASPD|8VULN|9DMG
19	32155 13622	   	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ZMB|3CDMG|4ERES|5aAART|6RCR|7ASPD|8VULN|9DMG
20	36125 12622	   	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1FEWX|2ERES|3CDMG|4ASPD|5aAART|6RCR|7ZMB|8VULN|9DMG
21	51125 12622	   	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2CGEN|3CDMG|4ASPD|5aAART|6RCR|7ZMB|8VULN|9DMG
22	52115 13622	   	173.48	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2ZMB|3CDMG|4TLV|5aAART|6RCR|7ASPD|8VULN|9DMG
23	14331 12248	   	172.87	DCR|2VULN|2DMG|1AART|2ZMB	17CGEN|2AART|37ZMB|49VULN|5TLV|67DMG|7BPWR|8MBVNT|aRCR
24	14336 12248	   	172.87	DCR|2VULN|2DMG|1AART|2ZMB	17CGEN|2AART|37ZMB|49VULN|5ERES|67DMG|7BPWR|8MBVNT|aRCR
25	33135 12621	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aMLV
26	33135 12623	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aCGEN
27	33135 12624	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aBEXP
28	33135 12625	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aRCVC
29	33135 12626	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1FEWX|2TLV|3CDMG|49DMG|5AART|6RCR|7ZMB|8VULN|aCANSTR
