0	Index      	 *	Score 	Summary	Detail	
1	15413 12431	 * 	218.67	ACR|4VULN|3DMG|3ZMB	139aVULN|2AIRHEL|4RCR|59aZMB|6DUR|7LWND|89aDMG|9aBPWR
2	15411 12431	 * 	210.14	ACR|4VULN|3DMG|3ASPD	139aVULN|2AIRHEL|4RCR|59aASPD|6DUR|7LWND|89aDMG|9aBPWR
3	31344 61131	   	208.53	ACR|3VULN|3DMG|3ASPD|2DUR	1RCR|29aVULN|3VENICY|49aASPD|58DUR|6LWND|79aDMG|9aBPWR
4	24322 32483	 * 	207.69	ACR|3DMG|2VULN|1AART|2CDMG	1RPLT|269DMG|3AART|4RCR|5MBVNT|69BPWR|79VULN|89CDMG|aASPD
5	24322 32485	   	207.69	ACR|3DMG|2VULN|1AART|2CDMG	1RPLT|269DMG|3AART|4RCR|5MBVNT|69BPWR|79VULN|89CDMG|aDUR
6	24322 52483	   	207.69	ACR|3DMG|2VULN|1AART|2CDMG	1RPLT|269DMG|3AART|4RCR|5MBVNT|79VULN|89CDMG|9BPWR|aASPD
7	31221 52661	 * 	206.88	ACR|3VULN|2DMG|1AART|2ASPD	1RCR|289VULN|39ASPD|4LIT|5DUR|6RCVC|79DMG|9BPWR|aAART
8	31341 12431	   	206.04	ACR|3VULN|3DMG|3ASPD	1RCR|29aVULN|3VENICY|49aASPD|5RCVC|6DUR|7LWND|89aDMG|9aBPWR
9	33633 12364	 * 	204.99	ACR|4VULN|1AART|1DMG|1CDMG	1RCR|2CDMG|3AART|4LHND|5789VULN|6ASPD|aDMG
10	33612 12364	   	204.89	ACR|4VULN|1AART|1DMG|1CDMG	1RCR|2CDMG|3AART|4DUST|5789VULN|6ASPD|aDMG
11	31462 84424	   	204.74	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|28VULN|3AART|4RCVC|5MBVNT|689DMG|78LIT|8BPWR|aCDMG
12	31252 12431	   	204.52	ACR|4VULN|3DMG	1RCR|249aVULN|3ASPD|59aLSRICY|6DUR|7LWND|89aDMG|9aBPWR
13	31221 32661	   	204.38	ACR|3VULN|2DMG|1AART|2ASPD	1RCR|289VULN|39ASPD|4LIT|5DUR|6DMSP|79DMG|9BPWR|aAART
14	31351 43431	   	204.19	ACR|4VULN|3DMG|2ASPD	1RCR|269aVULN|3VENICY|49aLWND|56ASPD|69aBPWR|7BEXP|89aDMG
15	31421 15151	 * 	203.94	ACR|3VULN|3DMG|1AART	1RCR|289VULN|3AART|4LHND|589FEWX|689DMG|7BELT|89BPWR|aLIT
16	31421 15152	   	203.84	ACR|3VULN|3DMG|1AART	1RCR|289VULN|3AART|4LHND|589FEWX|689DMG|7BELT|89BPWR|aERES
17	31551 22331	   	203.43	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|239VULN|48DMG|5FEWX|6DUR|7AART|aZMB
18	31344 61231	   	203.24	ACR|3VULN|3DMG|3ASPD	1RCR|29aVULN|3VENICY|49aASPD|5DUR|68LWND|79aDMG|9aBPWR
