0	Index      	 *	Score 	Summary	Detail	
1	22232 14154	 * 	187.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19ERES|29CDMG|36DMG|4ZMB|5AART|7RPLT|89VULN|9BPWR|aRCR
2	33123 43236	 * 	182.62	DCR|3DMG|1AART|2ASPD|1CDMG|1ZMB	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aZMB
3	33123 43246	   	182.62	DCR|3DMG|1AART|2ASPD|1CDMG|1ZMB	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9ZMB|aCDMG
4	33123 43231	   	178.56	DCR|3DMG|1AART|2ASPD|1CDMG|1DUR	17DUST|27ASPD|3RPLT|4AART|578DMG|6RCR|7BPWR|9CDMG|aDUR
5	22212 62531	 * 	177.84	DCR|2VULN|2AART|1DMG|2CDMG	19ERES|29CDMG|3DMG|4LHND|59VULN|6RCR|7BELT|8aAART|9BPWR
6	11127 41478	   	177.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1aLHND|2DUST|3MBVNT|4AART|5aCDMG|6ZMB|7RCR|8VULN|9aDMG|aBPWR
7	22246 12141	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ERES|2CDMG|36DMG|47VULN|5TLV|8AART|9RCR|aASPD
8	33123 42236	   	175.91	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9CDMG|aZMB
9	33123 42246	   	175.91	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RPLT|4AART|578DMG|6RCR|9ZMB|aCDMG
10	13222 12343	 * 	175.53	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1LHND|2DUR|38CDMG|4RCR|56DMG|7ZMB|9aVULN
11	11423 31254	 * 	174.59	ACR|3DMG|2VULN|1AART	1LHND|2DUST|38VULN|46aDMG|5RCR|7BEXP|9AART
12	13222 12543	   	174.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1LHND|28DUR|3CDMG|4RCR|56DMG|7ZMB|9aVULN
13	22222 64115	 * 	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1ERES|2CDMG|3DMG|4FEWX|579VULN|6RCR|8CGEN|aAART
14	11222 16515	 * 	174.38	ACR|2VULN|2DMG|1AART|1CDMG	17LHND|2DUST|3CDMG|4RCR|56DMG|89VULN|aAART
15	22256 26333	   	173.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2CDMG|3DMG|4RPLT|57AART|6RCR|8ZMB|9ASPD|aVULN
16	11423 26162	   	173.13	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LHND|2DUST|3aVULN|4aDMG|5RCR|6ZMB|7aCDMG|8BASHEA|9ASPD|aBPWR
17	11423 25251	   	172.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2DUST|38VULN|4DMG|5RCR|6ZMB|7ASPD|9AART|aCDMG
18	13225 13344	 * 	172.67	ACR|3DMG|2AART|1CDMG|1DUR	1LHND|2DUR|3CDMG|4RCR|5RMIN|69aDMG|78AART
19	13222 26632	   	172.47	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LHND|2DUR|3CDMG|4RCR|5DMG|6ERES|7AART|8aVULN|9ASPD
20	22212 64613	 * 	172.27	DCR|4VULN|1DMG|1CDMG|1ASPD	1ERES|2CDMG|3DMG|4LHND|579aVULN|6RCR|8ASPD
