0	Index      	 *	Score 	Summary	Detail	
1	14322 61321	 * 	211.60	DCR|5VULN|3DMG|1CDMG	19aERES|2DMSP|3CDMG|4589aVULN|6RCR|79aDMG|9aBPWR
2	14322 61324	 * 	206.22	DCR|4VULN|2DMG|1AART|1CDMG	19ERES|2DMSP|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aAART
3	61533 23611	 * 	205.53	ACR|4VULN|2DMG|1AART|1DUR	1AART|2aBEXP|3RCR|458aVULN|6DUR|7LWND|9aDMG|aBPWR
4	14321 61321	 * 	205.08	DCR|4VULN|3DMG|2CDMG	19aERES|2DMSP|35CDMG|489aVULN|6RCR|79aDMG|9aBPWR
5	61533 21253	 * 	204.88	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6DUR|79aDMG|8CDMG
6	61531 23611	   	198.59	ACR|4VULN|2DMG|1AART	1AART|2aBEXP|3RCR|468aVULN|5LHND|7LWND|9aDMG|aBPWR
7	61532 23611	   	198.59	ACR|4VULN|2DMG|1AART	1AART|2aBEXP|3RCR|468aVULN|5FEWX|7LWND|9aDMG|aBPWR
8	61533 13611	   	198.59	ACR|4VULN|2DMG|1AART	1AART|2aBEXP|3RCR|458aVULN|6FEWX|7LWND|9aDMG|aBPWR
9	14321 61324	 * 	198.43	DCR|3VULN|2DMG|1AART|2CDMG	19ERES|2DMSP|35CDMG|489VULN|6RCR|79DMG|9BPWR|aAART
10	61531 21253	   	197.94	ACR|3DMG|2VULN|1AART|1CDMG	1AART|2BEXP|3RCR|46VULN|5LHND|79aDMG|8CDMG
11	61533 24231	   	196.72	ACR|3VULN|2DMG|1AART|2DUR	1AART|2aBEXP|3RCR|45aVULN|69DUR|7FEWX|8aDMG|aBPWR
12	61533 25231	   	196.62	ACR|3VULN|2DMG|1AART|2DUR	1AART|2aBEXP|3RCR|45aVULN|69DUR|7DUST|8aDMG|aBPWR
13	61531 26311	 * 	195.83	ACR|3VULN|2AART|2DMG	17AART|2aBEXP|3RCR|46aVULN|5LHND|8DUST|9aDMG|aBPWR
14	61543 21141	   	195.83	ACR|3VULN|2AART|2DMG	19AART|2aBEXP|3RCR|4LWND|56aVULN|7aDMG|8MBVNT|aBPWR
15	24417 43511	   	194.19	ACR|4VULN|2DMG|1AART	1aLWND|2MBVNT|3RCR|46DUST|567aVULN|6aBPWR|8AART|9aDMG
16	61533 21113	 * 	193.70	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|2aBEXP|3RCR|45aVULN|6DUR|7DMG|8MBVNT|9aCDMG|aBPWR
17	61533 35233	 * 	192.15	ACR|4VULN|2AART|1DMG	17AART|2BEXP|3RCR|4568VULN|9TLV|aDMG
18	12342 21364	 * 	192.01	DCR|2AART|2VULN|2DMG|1CDMG	1ERES|2LWND|35AART|4CDMG|6RCR|7aDMG|89VULN
19	21342 21346	   	192.01	DCR|2AART|2VULN|2DMG|1CDMG	1LWND|2TLV|35AART|4CDMG|6RCR|78DMG|9aVULN
20	23165 32263	   	191.80	ACR|4VULN|1AART|1DMG|1ZMB	14LWND|2RCR|3678VULN|5AART|9ZMB|aDMG
21	61533 24221	   	191.43	ACR|3VULN|2DMG|1AART|1DUR	1AART|2aBEXP|3RCR|45aVULN|6DUR|7FEWX|8aDMG|9RCVC|aBPWR
22	61533 25221	   	191.33	ACR|3VULN|2DMG|1AART|1DUR	1AART|2aBEXP|3RCR|45aVULN|6DUR|7DUST|8aDMG|9RCVC|aBPWR
23	61533 26311	   	191.33	ACR|3VULN|2DMG|1AART|1DUR	1AART|2aBEXP|3RCR|45aVULN|6DUR|7DMSP|8DUST|9aDMG|aBPWR
24	61533 23613	   	191.23	ACR|3VULN|2DMG|1AART|1DUR	1AART|2BEXP|3RCR|458VULN|6DUR|7LWND|9aDMG
25	12342 21366	 * 	190.08	DCR|3VULN|2AART|1DMG|1CDMG	1ERES|2LWND|35AART|4CDMG|6RCR|7DMG|89aVULN
26	21342 21344	 * 	190.08	DCR|3DMG|2AART|1VULN|1CDMG	1LWND|2TLV|35AART|4CDMG|6RCR|78aDMG|9VULN
27	14322 61323	   	189.95	DCR|4VULN|2DMG|1CDMG|1DUR	19ERES|2DMSP|3CDMG|4589VULN|6RCR|79DMG|9BPWR|aDUR
28	23121 13465	   	189.43	ACR|3VULN|2DMG|1AART|1DUR	1aLWND|2RCR|36aVULN|4ERES|5DUR|7aDMG|8AART|9MBVNT|aBPWR
29	23131 13465	   	189.43	ACR|3VULN|2DMG|1AART|1DUR	1aLWND|2RCR|36aVULN|4TLV|5DUR|7aDMG|8AART|9MBVNT|aBPWR
30	61533 11252	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6FEWX|79DMG|8CDMG|aDUR
31	61533 21226	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6DUR|7aDMG|8CDMG|9LIT
32	61533 21251	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6DUR|79DMG|8CDMG|aMLV
33	61533 21252	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6DUR|79DMG|8CDMG|aRCVC
34	61533 21333	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28BEXP|3RCR|45VULN|6DUR|7aDMG|9CDMG
35	61533 21533	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|45VULN|6DUR|7aDMG|8DMSP|9CDMG
36	61532 21252	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2BEXP|3RCR|46VULN|5FEWX|79DMG|8CDMG|aDUR
37	23141 13415	   	189.18	ACR|2VULN|2DMG|2AART|1ZMB	1LWND|2RCR|36VULN|4LEGI|5ZMB|79DMG|8aAART
38	61533 21236	   	187.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2BEXP|3RCR|45aVULN|6DUR|7DMG|8CDMG|9CGEN
39	23165 21253	   	187.29	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	14LWND|2RCR|3VULN|5AART|6DUR|79aDMG|8CDMG
40	23165 26311	   	187.12	ACR|2AART|2DMG|2VULN|1DUR	14aLWND|2RCR|3aVULN|57AART|6DUR|8DUST|9aDMG|aBPWR
41	61533 32231	 * 	187.12	ACR|5VULN|1AART|1CDMG	1AART|2BEXP|3RCR|45678VULN|9DUST|aCDMG
42	61533 21326	   	187.02	ACR|2AART|2VULN|2DMG|1DUR	19AART|28BEXP|3RCR|45VULN|6DUR|7aDMG
43	61531 21113	   	186.76	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2aBEXP|3RCR|46aVULN|5LHND|7DMG|8MBVNT|9aCDMG|aBPWR
44	61532 21113	   	186.76	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2aBEXP|3RCR|46aVULN|5FEWX|7DMG|8MBVNT|9aCDMG|aBPWR
45	61533 11113	   	186.76	ACR|3VULN|1AART|1DMG|2CDMG	1AART|2aBEXP|3RCR|45aVULN|6FEWX|7DMG|8MBVNT|9aCDMG|aBPWR
46	61533 35213	   	185.84	ACR|4VULN|2AART|1CDMG	17AART|2BEXP|3RCR|4568VULN|9LHND|aCDMG
47	61533 35223	   	185.84	ACR|4VULN|2AART|1CDMG	17AART|2BEXP|3RCR|4568VULN|9FEWX|aCDMG
48	12342 21365	   	185.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1ERES|2LWND|35AART|4CDMG|6RCR|7DMG|89VULN|aZMB
49	21342 21345	   	185.43	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1LWND|2TLV|35AART|4CDMG|6RCR|78DMG|9VULN|aZMB
50	61533 32363	   	185.29	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|2BEXP|3RCR|4567VULN|8ERES|9ZMB|aCDMG
51	23121 13415	   	185.12	ACR|2VULN|2DMG|2AART|1DUR	1LWND|2RCR|36VULN|4ERES|5DUR|79DMG|8aAART
52	23131 13415	   	185.12	ACR|2VULN|2DMG|2AART|1DUR	1LWND|2RCR|36VULN|4TLV|5DUR|79DMG|8aAART
53	61533 32321	 * 	184.91	ACR|5VULN|2AART	19AART|2BEXP|3RCR|4567aVULN|8ERES
54	61533 21131	 * 	184.78	ACR|2VULN|2DMG|1AART|3DUR	1AART|2aBEXP|3RCR|45VULN|69aDUR|7aDMG|8MBVNT|aBPWR
55	23111 53411	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aLWND|2RCR|37VULN|4aDUST|5ZMB|6ASPD|8AART|9aDMG|aBPWR
56	23111 53413	   	184.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2RCR|37VULN|4DUST|5ZMB|6ASPD|8AART|9aDMG
57	23131 13366	   	184.64	ACR|4VULN|1AART|1DMG|1DUR	1LWND|2RCR|3689VULN|4TLV|5DUR|7DMG|aAART
58	61533 32242	   	184.57	ACR|5VULN|1AART|1ZMB	1AART|2BEXP|3RCR|45678VULN|9CGEN|aZMB
59	61533 32262	   	184.57	ACR|5VULN|1AART|1ZMB	1AART|2BEXP|3RCR|45678VULN|9RMIN|aZMB
60	61531 23211	   	184.49	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|46aVULN|58LHND|7LWND|9aDMG|aBPWR
61	61531 24221	   	184.49	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|46aVULN|5LHND|7FEWX|8aDMG|9RCVC|aBPWR
62	61532 23221	   	184.49	ACR|3VULN|2DMG|1AART	1AART|2aBEXP|3RCR|46aVULN|5FEWX|7LWND|8aDMG|9RCVC|aBPWR
