0	Index      	 *	Score 	Summary	Detail	
1	13152 51343	 * 	192.75	ACR|4VULN|2AART|1DMG	1ERES|2RCR|3LIT|49AART|568aVULN|7DMG
2	11624 63212	 * 	192.38	ACR|4VULN|3DMG|1DUR	178ERES|278aVULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9TLV
3	11624 63213	 * 	191.93	ACR|3VULN|3DMG|1CDMG|1DUR	178ERES|278VULN|3RCR|4DUR|5LHND|678DMG|78BPWR|9TLV|aCDMG
4	11622 52214	 * 	191.43	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	1ERES|2aVULN|3RCR|4DUR|5BEXP|6aCDMG|7LIT|8AART|9aDMG|aBPWR
5	11635 12161	   	187.88	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	14ERES|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9ZMB|aDUR
6	13152 51321	 * 	187.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9DUR|aCDMG
7	11635 12623	 * 	187.53	ACR|3VULN|2DMG|1AART|1ASPD	14ERES|24aVULN|3RCR|4BPWR|5ASPD|68DMG|7AART|9RPLT
8	11635 12631	   	187.53	ACR|3VULN|2DMG|1AART|1ASPD	14ERES|249VULN|3RCR|4BPWR|5ASPD|68DMG|7AART|aBEXP
9	11635 12633	   	187.53	ACR|3VULN|2DMG|1AART|1ASPD	14ERES|249VULN|3RCR|4BPWR|5ASPD|68DMG|7AART|aRCVC
10	13161 34214	   	187.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|2RCR|3aLIT|4FEWX|5DUR|6aVULN|7CDMG|8AART|9aDMG|aBPWR
11	11625 22633	   	187.28	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	19ERES|279VULN|3RCR|4DUR|5ZMB|6RPLT|89DMG|9BPWR|aCDMG
12	13152 51363	 * 	187.16	ACR|3VULN|1AART|1DMG|2CDMG	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9aCDMG
13	11621 42214	   	187.03	ACR|3VULN|2DMG|1AART|1DUR	1aERES|26aVULN|3RCR|4DUR|5RPLT|7LIT|8AART|9aDMG|aBPWR
14	11624 63121	   	186.43	ACR|3VULN|2DMG|1AART|1DUR	17ERES|27aVULN|3RCR|4DUR|5LHND|67DMG|7BPWR|8LWND|9AART
15	11624 63321	   	186.33	ACR|3VULN|2DMG|1AART|1DUR	17ERES|27aVULN|3RCR|4DUR|5LHND|67DMG|7BPWR|8DUST|9AART
16	13135 22243	 * 	185.24	ACR|4VULN|2AART|2ZMB	17ERES|2RCR|3LIT|467aVULN|57ZMB|7BPWR|89AART
17	63223 35324	 * 	185.09	ACR|3VULN|2DMG|2CDMG|1DUR	1aCGEN|2RCR|3VENICY|46aVULN|57CDMG|8DUR|9aDMG|aBPWR
18	13223 35324	   	184.89	ACR|3VULN|2DMG|2CDMG|1DUR	1aERES|2RCR|3VENICY|46aVULN|57CDMG|8DUR|9aDMG|aBPWR
19	61635 12131	   	184.24	ACR|4VULN|1AART|1DMG|1ASPD	14CGEN|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aBEXP
20	61635 12133	   	184.24	ACR|4VULN|1AART|1DMG|1ASPD	14CGEN|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aRCVC
21	11635 12123	   	184.04	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|248aVULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9RPLT
22	11635 12131	   	184.04	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aBEXP
23	11635 12133	   	184.04	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aRCVC
24	11635 12134	   	184.04	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aFEWX
25	11635 12135	   	183.94	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aNUKE
26	11635 12136	   	183.94	ACR|4VULN|1AART|1DMG|1ASPD	14ERES|2489VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|aDLOT
27	11635 12313	   	183.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	14ERES|24aVULN|3RCR|4BPWR|5ASPD|6DMG|7AART|8LWND|9CDMG
28	13155 36331	 * 	183.58	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1ERES|2RCR|3LIT|46AART|5DMG|7DUR|89VULN|aCDMG
29	11635 12513	   	183.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	14ERES|249VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|8CANSTR|aCDMG
30	13135 35214	   	183.09	ACR|4VULN|2DMG|1ZMB	1ERES|2RCR|3LIT|479aVULN|5ZMB|68DMG
31	63125 36331	   	183.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3LIT|4DMG|56AART|7DUR|89VULN|aCDMG
32	13125 36331	   	182.98	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1ERES|2RCR|3LIT|4DMG|56AART|7DUR|89VULN|aCDMG
33	11541 62144	   	182.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ERES|26VULN|3MBVNT|4ZMB|5RCR|7CDMG|89DMG|aAART
34	63125 26311	   	182.38	ACR|2VULN|2DMG|1AART|1CDMG	19CGEN|2RCR|3LIT|49DMG|5AART|6MLV|7ERES|89VULN|9BPWR|aCDMG
35	13135 22514	 * 	182.28	ACR|5VULN|1DMG|2ZMB	17ERES|2RCR|3LIT|4679aVULN|57ZMB|7BPWR|8DMG
36	13152 51353	   	181.20	ACR|4VULN|1AART|1DMG	19ERES|2RCR|3LIT|4AART|568aVULN|7DMG
37	11541 62184	   	180.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|269VULN|3MBVNT|4ZMB|5RCR|7CDMG|8DMG|aAART
38	11635 12162	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	14ERES|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9ZMB|aBEXP
39	11635 12163	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	14ERES|248VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|9ZMB|aLWND
40	13152 51311	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9LHND|aCDMG
41	13152 51361	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9CDMG|aCGEN
42	13152 51362	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2RCR|3LIT|4AART|568VULN|7DMG|9CDMG|aFEWX
43	11635 12511	   	180.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	14ERES|249VULN|3RCR|4BPWR|5ASPD|6DMG|7AART|8CANSTR|aZMB
44	13534 88411	 * 	180.77	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ASPD	17ERES|2RCR|3MBVNT|4FLTHEA|57VULN|67DUR|7BPWR|8ASPD|9DMG|aAART
45	13366 14435	   	180.68	ACR|3VULN|3DMG|1ASPD	19aERES|2RCR|3RCVC|4MBVNT|5ASPD|69aDMG|79aVULN|8RPLT|9aBPWR
46	63135 22221	 * 	180.48	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	17CGEN|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9DUR|aCDMG
47	13135 22221	   	180.28	ACR|3VULN|1AART|2ZMB|1CDMG|1DUR	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9DUR|aCDMG
48	63125 26313	 * 	180.18	ACR|2VULN|2DMG|2AART	19CGEN|2RCR|3LIT|49DMG|5aAART|6MLV|7ERES|89VULN|9BPWR
49	13152 25131	   	180.06	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	17ERES|2RCR|3LIT|4AART|579VULN|67DUR|7BPWR|8ASPD|aCDMG
50	13153 55131	   	180.06	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	17ERES|2RCR|3LIT|4AART|57DUR|679VULN|7BPWR|8ASPD|aCDMG
51	13135 22263	 * 	179.65	ACR|3VULN|1AART|2CDMG|2ZMB	17ERES|2RCR|3LIT|467VULN|57ZMB|7BPWR|8AART|9aCDMG
52	13155 36312	 * 	179.64	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR	1ERES|2RCR|3LIT|46AART|5DMG|7DUR|8VULN|9FLTHEA|aCDMG
53	11614 63321	   	179.49	ACR|3VULN|2DMG|1AART	17ERES|27aVULN|3RCR|4LWND|5LHND|67DMG|7BPWR|8FEWX|9AART
