0	Index      	 *	Score 	Summary	Detail	
1	53321 22315	 * 	189.85	ACR|4VULN|1AART|1DMG|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aDMG
2	23244 11114	 * 	180.14	ACR|2VULN|2DMG|1AART|1ZMB	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|79VULN|aZMB
3	23244 11214	   	178.20	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2RCR|3LHND|4AART|5RCVC|6DMG|789VULN|aZMB
4	53321 22312	   	176.73	ACR|4VULN|1AART|1CDMG|1DUR	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aDUR
5	54421 22312	   	176.73	ACR|4VULN|1AART|1CDMG|1DUR	1BELT|267LWND|3679VULN|4RCR|5AART|67BPWR|8CDMG|aDUR
6	23533 41621	   	176.08	ACR|4VULN|1AART|1ZMB|1DUR	1TLV|2RCR|3ZMB|4DUST|5DUR|678aVULN|9AART
7	23244 11151	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|7aVULN|9DUR
8	23244 14111	   	176.07	ACR|2VULN|2DMG|1AART|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|7DUR|9aVULN
9	53622 22631	 * 	176.05	DCR|3VULN|3DMG|2DUR	1BELT|28aVULN|37aDMG|4RMIN|5aDUR|6LEGI|9RCR|aBPWR
10	53326 42222	 * 	174.32	ACR|4VULN|2DMG|1DUR	1BELT|2689VULN|3LWND|4RCR|5DUR|7aDMG
11	23662 21141	   	174.18	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1TLV|2RCR|36DUR|4RMIN|5AART|7VULN|89DMG|aZMB
12	23662 21151	   	174.18	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1TLV|2RCR|36DUR|4RMIN|5AART|7aVULN|8DMG|9ZMB
13	23244 11251	   	174.14	ACR|3VULN|1AART|1DMG|1DUR	1TLV|2RCR|3LHND|4AART|5RCVC|6DMG|78aVULN|9DUR
14	23161 52611	   	173.68	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	19TLV|2RCR|3RPLT|49DUR|5LHND|6AART|7ZMB|89DMG|9BPWR|aVULN
15	53321 22331	   	173.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1BELT|267VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|9ASPD|aZMB
16	54421 22331	   	173.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1BELT|267LWND|367VULN|4RCR|5AART|67BPWR|8CDMG|9ASPD|aZMB
17	53325 14313	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|29aVULN|3LWND|4RCR|5DMG|6ZMB|7AART|8DUST
18	61242 26311	 * 	170.76	DCR|2VULN|3ZMB|1AART|1CDMG|1SELL	18VULN|28FEWX|38aZMB|4AART|5RMIN|6RCR|7SELL|8BPWR|9CDMG
19	62242 26311	 * 	170.56	DCR|2VULN|3ZMB|1AART|1CDMG|1SELL	18VULN|28DUST|38aZMB|4AART|5RMIN|6RCR|7SELL|8BPWR|9CDMG
20	23243 35533	 * 	170.06	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1TLV|2RCR|3LHND|49AART|5FEWX|6DMG|7ZMB|8CDMG|aVULN
21	53321 22313	   	169.79	ACR|4VULN|1AART|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aLHND
22	54421 22313	   	169.79	ACR|4VULN|1AART|1CDMG	1BELT|267LWND|3679VULN|4RCR|5AART|67BPWR|8CDMG|aLHND
23	53321 22311	   	169.69	ACR|4VULN|1AART|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aERES
24	53321 22314	   	169.69	ACR|4VULN|1AART|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aTLV
25	53321 22316	   	169.69	ACR|4VULN|1AART|1CDMG	1BELT|2679VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|aDUST
26	54421 22311	   	169.69	ACR|4VULN|1AART|1CDMG	1BELT|267LWND|3679VULN|4RCR|5AART|67BPWR|8CDMG|aERES
27	23243 65111	   	169.23	ACR|2VULN|2DMG|1AART	1TLV|2RCR|36LHND|4AART|56FEWX|6BPWR|78DMG|9aVULN
28	23243 31111	   	169.13	ACR|2VULN|2DMG|1AART	1TLV|2RCR|3LHND|4AART|57FEWX|68DMG|9aVULN
29	23243 34243	   	169.13	ACR|2VULN|2DMG|1AART	1TLV|2RCR|3LHND|4AART|5FEWX|6aDMG|7RPLT|89VULN
30	23244 11111	   	169.13	ACR|2VULN|2DMG|1AART	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|79VULN|aCGEN
31	23244 11113	   	169.13	ACR|2VULN|2DMG|1AART	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|79VULN|aMLV
32	23244 11116	   	169.13	ACR|2VULN|2DMG|1AART	1TLV|2RCR|3LHND|4AART|5RCVC|68DMG|79VULN|aBEXP
33	53321 22111	 * 	169.07	ACR|5VULN|1AART	1BELT|2678aVULN|367LWND|4RCR|5AART|67aBPWR|9aMLV
34	53321 22131	   	169.07	ACR|5VULN|1AART	1BELT|2678aVULN|367LWND|4RCR|5AART|67aBPWR|9aCGEN
35	54421 22111	   	169.07	ACR|5VULN|1AART	1BELT|267LWND|3678aVULN|4RCR|5AART|67aBPWR|9aMLV
36	54421 22131	   	169.07	ACR|5VULN|1AART	1BELT|267LWND|3678aVULN|4RCR|5AART|67aBPWR|9aCGEN
37	53321 22143	   	168.97	ACR|5VULN|1AART	1aBELT|26789VULN|367LWND|4RCR|5AART|67BPWR
38	53321 22145	   	168.97	ACR|5VULN|1AART	1BELT|26789VULN|367LWND|4RCR|5AART|67BPWR|aBEXP
39	53321 22146	   	168.97	ACR|5VULN|1AART	1BELT|26789VULN|367LWND|4RCR|5AART|67BPWR|aCGEN
40	53321 22351	 * 	168.94	ACR|3VULN|1AART|2CDMG|1DUR	1BELT|267VULN|367LWND|4RCR|5AART|67BPWR|8aCDMG|9DUR
41	23532 32212	 * 	168.89	ACR|3VULN|2AART|1ZMB	1TLV|2RCR|3ZMB|4DUST|58AART|6LIT|79aVULN
42	53321 22141	   	168.87	ACR|5VULN|1AART	1BELT|26789VULN|367LWND|4RCR|5AART|67BPWR|aDLOT
43	53321 22142	   	168.87	ACR|5VULN|1AART	1BELT|26789VULN|367LWND|4RCR|5AART|67BPWR|aDUST
44	42142 32263	 * 	168.80	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LIT|2CDMG|3DUR|48DMG|59VULN|6LWND|7RCR|aZMB
45	23242 35253	 * 	168.20	ACR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1DUR	1TLV|2RCR|3LHND|4AART|5RMIN|6FLTHEA|7DUR|8VULN|9CDMG|aDMG
46	53321 22352	   	167.92	ACR|3VULN|1AART|1CDMG|2DUR	1BELT|267VULN|367LWND|4RCR|5AART|67BPWR|8CDMG|9aDUR
47	23665 13121	   	167.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1TLV|2RCR|36DUR|4RMIN|56DMG|6BPWR|7ASPD|8LHND|9AART|aVULN
48	23665 13221	   	167.82	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1TLV|2RCR|36DUR|4RMIN|56DMG|6BPWR|7ASPD|8LWND|9AART|aVULN
49	52425 12112	 * 	167.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BELT|2DUST|3VULN|4RCR|57DMG|6ZMB|8RMIN|9CDMG|aAART
50	53326 42212	   	167.29	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1BELT|268VULN|3LWND|4RCR|5DUR|7DMG|9CDMG|aZMB
51	52322 42222	   	167.28	ACR|4VULN|2DMG	1BELT|2DUST|3LWND|4RCR|5689VULN|7aDMG
52	53322 42222	   	167.28	ACR|4VULN|2DMG	1BELT|2689VULN|3LWND|4RCR|5DUST|7aDMG
