0	Index      	 *	Score 	Summary	Detail	
1	36522 15222	 * 	218.93	DCR|4VULN|3DMG|2CDMG|3DUR	189DMG|258aVULN|3DUST|4aCDMG|68aDUR|7RCR|8aBPWR
2	33422 24324	 * 	217.47	DCR|4VULN|2DMG|3CDMG|1AART	1aDMG|2DUST|359aVULN|46aCDMG|7RCR|8AART|aBPWR
3	36363 51321	 * 	216.33	DCR|4VULN|3DMG|1AART|1ZMB	146DMG|2456VULN|3AART|46BPWR|7ERES|8ZMB|9RCR|aCGEN
4	36363 51323	   	216.33	DCR|4VULN|3DMG|1AART|1ZMB	146DMG|2456VULN|3AART|46BPWR|7ERES|8ZMB|9RCR|aBEXP
5	36363 51322	   	216.23	DCR|4VULN|3DMG|1AART|1ZMB	146DMG|2456VULN|3AART|46BPWR|7aERES|8ZMB|9RCR
6	31164 25222	 * 	215.19	ACR|3VULN|3DMG|3ZMB|3ASPD	189DMG|2RPLT|37aVULN|48aZMB|5RCR|68aASPD|8aBPWR
7	36523 15222	 * 	210.87	DCR|3VULN|3DMG|3CDMG|3DUR	189DMG|28aVULN|3DUST|45aCDMG|68aDUR|7RCR|8aBPWR
8	36363 31324	   	209.06	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7ERES|8ZMB|9RCR|aASPD
9	16126 43213	 * 	206.81	ACR|3DMG|2VULN|2FLTHEA|2CDMG|1ZMB	19FLTHEA|28aDMG|3RCR|49CDMG|5LIT|6ZMB|79VULN|9BPWR
10	31161 23252	 * 	206.13	DCR|3VULN|3DMG|3ASPD|1FLTHEA|1ZMB	178DMG|2RPLT|378VULN|4ZMB|5DUST|678ASPD|78BPWR|9FLTHEA|aRCR
11	36323 53431	 * 	205.39	DCR|4VULN|3AART|2DMG	16DMG|2567VULN|348AART|6BPWR|9RCR|aMLV
12	36323 53432	   	205.39	DCR|4VULN|3AART|2DMG	16DMG|2567VULN|348AART|6BPWR|9RCR|aCGEN
13	36323 53433	   	205.39	DCR|4VULN|3AART|2DMG	16DMG|2567VULN|348AART|6BPWR|9RCR|aRCVC
14	33132 15254	   	204.41	DCR|3VULN|3DMG|1AART|2DUR|1SELL	18aDMG|2DUST|3SELL|458VULN|68DUR|7RCR|8BPWR|9AART
15	16123 21627	 * 	203.50	ACR|4VULN|2DMG|2FLTHEA|1CDMG	1aFLTHEA|2aDMG|3RCR|4CDMG|5LHND|6MBVNT|789aVULN|aBPWR
16	36221 25236	   	202.98	DCR|4VULN|3DMG|2CDMG	18aDMG|289aVULN|3LHND|46CDMG|58aLWND|7RCR|8aBPWR
17	16122 21427	 * 	202.65	ACR|3VULN|2DMG|2CDMG|2FLTHEA	18FLTHEA|28DMG|3RCR|4aCDMG|5DUR|6MBVNT|789VULN|8BPWR
18	16121 22163	 * 	202.38	ACR|3VULN|2DMG|3CDMG|1FLTHEA	1FLTHEA|26DMG|3RCR|456CDMG|6BPWR|789VULN|aASPD
19	36363 35321	   	202.22	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7MLV|8ZMB|9RCR|aCGEN
20	36363 35323	   	202.22	DCR|3VULN|3DMG|1AART|1ZMB	146DMG|245VULN|3AART|4BPWR|7MLV|8ZMB|9RCR|aBELT
