0	Index      	 *	Score 	Summary	Detail	
1	31526 11216	 * 	212.63	DCR|4VULN|2DMG|1AART|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aAART
2	31526 11233	 * 	205.08	DCR|4VULN|3DMG|3ASPD	1RMIN|247aVULN|378ASPD|57aDMG|6RCR|7aBPWR|9aDUST
3	31526 11243	   	205.08	DCR|4VULN|3DMG|3ASPD	1RMIN|247aVULN|378ASPD|57aDMG|6RCR|7aBPWR|9LEGI
4	31526 11633	   	205.08	DCR|4VULN|3DMG|3ASPD	1RMIN|247aVULN|37aASPD|578DMG|6RCR|7aBPWR|9aDUST
5	62124 11531	 * 	203.82	DCR|3VULN|3ZMB|1AART|1DMG|1CDMG	127ZMB|257BPWR|357VULN|457LWND|6RCR|8DMG|9AART|aCDMG
6	31526 11612	   	198.77	DCR|4VULN|3DMG|2ASPD	1RMIN|2479VULN|37ASPD|578DMG|6RCR|7BPWR|aLWND
7	31526 11611	   	198.67	DCR|4VULN|3DMG|2ASPD	1RMIN|2479VULN|37ASPD|578DMG|6RCR|7BPWR|aDUST
8	31526 11613	   	198.67	DCR|4VULN|3DMG|2ASPD	1RMIN|2479VULN|37ASPD|578DMG|6RCR|7BPWR|aSNIHEL
9	31516 11214	 * 	198.43	DCR|3DMG|2VULN|1AART|3ASPD	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9DUST|aAART
10	31516 11235	   	198.43	DCR|3DMG|2VULN|1AART|3ASPD	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9MBVNT|aAART
11	31526 11236	   	198.43	DCR|3VULN|2DMG|1AART|3ASPD	1RMIN|247VULN|378ASPD|57DMG|6RCR|7BPWR|9DUST|aAART
12	21526 11216	   	198.33	DCR|3VULN|2DMG|1AART|3ASPD	17ERES|249VULN|378ASPD|57DMG|6RCR|7BPWR|aAART
13	62116 11243	 * 	197.60	DCR|3VULN|2DMG|3ZMB|2ASPD	127ZMB|27aBPWR|37aVULN|47FEWX|5DMSP|6RCR|8aASPD|9aDMG
14	62124 11532	   	197.11	DCR|3VULN|3ZMB|1AART|1DMG|1DUR	127ZMB|257BPWR|357VULN|457LWND|6RCR|8DMG|9AART|aDUR
15	31526 11161	   	194.12	DCR|4VULN|2DMG|2ASPD|1ZMB	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8FEWX|aZMB
16	31526 11361	   	194.12	DCR|4VULN|2DMG|2ASPD|1ZMB	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8BEXP|aZMB
17	62114 11363	 * 	193.29	DCR|5VULN|3ZMB|1DMG	127ZMB|257BPWR|35789VULN|457FEWX|6RCR|aDMG
18	31516 11226	   	190.98	DCR|3VULN|3DMG|3ASPD	1RMIN|27aVULN|347ASPD|578DMG|6RCR|7BPWR|9DMSP
19	31516 11533	   	190.98	DCR|3VULN|3DMG|3ASPD	18RMIN|27aVULN|347ASPD|57aDMG|6RCR|7aBPWR|9aDUST
20	31556 11233	   	190.98	DCR|3VULN|3DMG|3ASPD	1RMIN|27aVULN|378ASPD|4RCVC|57aDMG|6RCR|7aBPWR|9aDUST
21	31516 11216	   	190.88	DCR|3VULN|3DMG|3ASPD	1RMIN|27aVULN|347ASPD|578DMG|6RCR|7BPWR|9DUST
22	31516 11237	   	190.88	DCR|3VULN|3DMG|3ASPD	1RMIN|27aVULN|347ASPD|578DMG|6RCR|7BPWR|9MBVNT
23	62124 11533	   	190.17	DCR|3VULN|3ZMB|1AART|1DMG	127ZMB|257BPWR|357VULN|457LWND|6RCR|8DMG|9AART|aRCVC
24	31526 11212	   	189.43	DCR|4VULN|2DMG|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aLWND
25	31526 11214	   	189.43	DCR|4VULN|2DMG|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aLIT
26	31526 11215	   	189.43	DCR|4VULN|2DMG|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aFEWX
27	31526 11261	   	189.43	DCR|4VULN|2DMG|3ASPD	1RMIN|247aVULN|378ASPD|57DMG|6RCR|7BPWR|9CGEN
28	31526 11211	   	189.33	DCR|4VULN|2DMG|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aDUST
29	31526 11213	   	189.33	DCR|4VULN|2DMG|3ASPD	1RMIN|2479VULN|378ASPD|57DMG|6RCR|7BPWR|aSNIHEL
30	31516 11241	   	188.98	DCR|3DMG|2VULN|3ASPD|1CDMG	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9CDMG|aLWND
31	31516 11242	   	188.88	DCR|3DMG|2VULN|3ASPD|1CDMG	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9CDMG|aBASICY
32	31516 11243	   	188.88	DCR|3DMG|2VULN|3ASPD|1CDMG	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9CDMG|aDUST
33	33511 33156	 * 	188.20	ACR|3VULN|2DMG|2CDMG|2ZMB	1RMIN|2aCDMG|367VULN|4RCR|5MBVNT|8aZMB|9aDMG|aBPWR
34	31526 11531	   	186.96	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1RMIN|247VULN|37ASPD|57DMG|6RCR|7BPWR|8DUR|9DMSP|aZMB
35	31526 11511	   	186.86	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1RMIN|247VULN|37ASPD|57DMG|6RCR|7BPWR|8DUR|9ERES|aZMB
36	21526 11511	   	186.76	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	17ERES|249VULN|37ASPD|57DMG|6RCR|7BPWR|8DUR|aZMB
37	31516 11223	   	186.33	DCR|3DMG|2VULN|3ASPD|1ZMB	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9DMSP|aZMB
38	31526 11224	   	186.33	DCR|3VULN|2DMG|3ASPD|1ZMB	1RMIN|247VULN|378ASPD|57DMG|6RCR|7BPWR|9LHND|aZMB
39	31516 11261	   	186.23	DCR|3DMG|2VULN|3ASPD|1ZMB	1RMIN|27VULN|347ASPD|578DMG|6RCR|7BPWR|9SNIHEL|aZMB
40	31526 11234	   	186.23	DCR|3VULN|2DMG|3ASPD|1ZMB	1RMIN|247VULN|378ASPD|57DMG|6RCR|7BPWR|9DUST|aZMB
41	21536 11252	   	185.93	DCR|3DMG|1AART|1VULN|2ASPD|1ZMB	147ERES|2VULN|37ASPD|57aDMG|6RCR|7BPWR|8ZMB|9AART
42	31526 11621	   	184.67	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|578DMG|6RCR|7BPWR|9aLHND
43	31526 11622	   	184.67	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|578DMG|6RCR|7BPWR|9LHND|aLWND
44	31526 11423	   	184.57	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|57aDMG|6RCR|7BPWR|8TLV|9MLV
45	31526 11623	   	184.57	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|578DMG|6RCR|7BPWR|9LHND|aSNIHEL
46	31526 11631	   	184.57	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|578DMG|6RCR|7BPWR|9DUST|aLHND
47	21526 11612	   	184.47	DCR|3VULN|3DMG|2ASPD	17ERES|249VULN|37ASPD|578DMG|6RCR|7BPWR|aLWND
48	31526 11632	   	184.47	DCR|3VULN|3DMG|2ASPD	1RMIN|247VULN|37ASPD|578DMG|6RCR|7BPWR|9DUST|aTLV
49	21526 11611	   	184.37	DCR|3VULN|3DMG|2ASPD	17ERES|249VULN|37ASPD|578DMG|6RCR|7BPWR|aDUST
50	21526 11613	   	184.37	DCR|3VULN|3DMG|2ASPD	17ERES|249VULN|37ASPD|578DMG|6RCR|7BPWR|aVENICY
51	62124 11222	   	183.95	DCR|3VULN|2DMG|3ZMB	127ZMB|257BPWR|357VULN|457LWND|6RCR|8FEWX|9aDMG
52	62124 11512	   	183.95	DCR|3VULN|2DMG|3ZMB	127ZMB|257BPWR|357VULN|457LWND|6RCR|8aDMG|9BEXP
53	62114 11341	 * 	183.51	DCR|4VULN|3ZMB|1AART	127ZMB|257BPWR|3578VULN|457FEWX|6RCR|9VENICY|aAART
54	62114 11334	   	183.36	DCR|4VULN|3ZMB|1AART|1SELL	127ZMB|257BPWR|3578VULN|457FEWX|6RCR|9SELL|aAART
55	31526 11162	   	183.02	DCR|4VULN|2DMG|2ASPD	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8FEWX|aTLV
56	31526 11163	   	183.02	DCR|4VULN|2DMG|2ASPD	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8FEWX|aDUST
57	31526 11362	   	183.02	DCR|4VULN|2DMG|2ASPD	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8BEXP|aTLV
58	31526 11363	   	183.02	DCR|4VULN|2DMG|2ASPD	1RMIN|2479VULN|37ASPD|57DMG|6RCR|7BPWR|8BEXP|aDUST
59	21526 11236	   	182.68	DCR|2VULN|2DMG|1AART|3ASPD	17ERES|24VULN|378ASPD|57DMG|6RCR|7BPWR|9DMSP|aAART
