0	Index      	 *	Score 	Summary	Detail	
1	63323 35341	 * 	192.32	ACR|2VULN|2DMG|3ZMB|3CDMG	1RMIN|25aCDMG|358ZMB|4RCR|5aBPWR|6LIT|7aDMG|9aVULN
2	23124 44816	 * 	182.90	DCR|2AART|2VULN|2DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9aDMG
3	25136 12331	 * 	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	1DUR|2aDMG|3FEWX|4LWND|5aCDMG|6RCR|7LIT|89aVULN|aBPWR
4	35436 12331	   	182.37	DCR|3VULN|2DMG|2CDMG|1DUR	1FEWX|2aDMG|3DUR|4LWND|5aCDMG|6RCR|7LIT|89aVULN|aBPWR
5	23124 44871	 * 	180.97	DCR|3VULN|2AART|1DMG|1DUR	1DUR|2LWND|35AART|4MBVNT|689VULN|7RCR|aDMG
6	23121 84764	 * 	180.96	DCR|2VULN|2DMG|1AART|3DUR	18aDUR|2aLWND|3AART|4MBVNT|58CGEN|68DMG|7RCR|8aBPWR|9aVULN
7	15461 31333	   	179.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2aDMG|3DUR|4AART|5ZMB|6aVULN|7LIT|8RCR|9aFEWX|aBPWR
8	23163 24315	   	179.25	DCR|2VULN|2DMG|1AART|2DUR	17DUR|2LWND|3AART|4LHND|58VULN|6RCR|9aDMG
9	63323 32612	 * 	179.07	ACR|2DMG|3ZMB|3CDMG|1AART	1RMIN|25aCDMG|35aZMB|4RCR|5aBPWR|6LIT|7LWND|8AART|9aDMG
10	23163 24361	   	177.31	DCR|3VULN|1AART|1DMG|2DUR	17DUR|2LWND|3AART|4LHND|589VULN|6RCR|aDMG
11	23123 44816	   	176.75	DCR|2VULN|2DMG|1AART|2DUR	16DUR|2LWND|3AART|4MBVNT|58VULN|7RCR|9aDMG
12	23125 44816	   	176.75	DCR|2VULN|2DMG|1AART|2DUR	15DUR|2LWND|3AART|4MBVNT|68VULN|7RCR|9aDMG
13	23144 13411	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3AART|4ZMB|5BELT|67aVULN|8DMG|9RCR
14	15136 12331	   	175.33	DCR|3VULN|2DMG|2CDMG	1DUST|2aDMG|3FEWX|4LWND|5aCDMG|6RCR|7LIT|89aVULN|aBPWR
15	35636 12331	   	175.33	DCR|3VULN|2DMG|2CDMG	1FEWX|2aDMG|3DUST|4LWND|5aCDMG|6RCR|7LIT|89aVULN|aBPWR
16	23123 44871	   	174.81	DCR|3VULN|1AART|1DMG|2DUR	16DUR|2LWND|3AART|4MBVNT|589VULN|7RCR|aDMG
17	23125 44871	   	174.81	DCR|3VULN|1AART|1DMG|2DUR	15DUR|2LWND|3AART|4MBVNT|689VULN|7RCR|aDMG
18	23123 54816	   	173.96	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|3AART|4MBVNT|58VULN|6RCVC|7RCR|9aDMG
19	23124 43225	   	173.92	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7ZMB|8RCR|9aDMG
20	53224 81232	 * 	173.42	DCR|3DMG|2VULN|1AART|1SELL	169DMG|2SELL|36VULN|4MBVNT|5RPLT|6BPWR|7LHND|8RCR|aAART
21	13143 41343	   	173.32	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2aLWND|3AART|4ZMB|5LIT|6aDMG|7FEWX|8RCR|9aVULN|aBPWR
22	15561 31333	   	172.72	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2aDMG|3LWND|4AART|5ZMB|6aVULN|7LIT|8RCR|9aFEWX|aBPWR
23	26145 32311	   	172.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|2LHND|3AART|4ZMB|58VULN|6RCR|7ERES|9DMG
24	23124 44866	   	172.25	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9ASPD|aDMG
25	23123 54871	   	172.02	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2LWND|3AART|4MBVNT|589VULN|6RCVC|7RCR|aDMG
26	25136 12351	   	172.01	DCR|2VULN|2DMG|2CDMG|2DUR	19DUR|2aDMG|3FEWX|4LWND|5aCDMG|6RCR|7LIT|8aVULN|aBPWR
27	13113 24234	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2LWND|3AART|4BEXP|589VULN|6RCR|7DUR|aDMG
28	16113 24234	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1DUST|2LHND|3AART|4BEXP|589VULN|6RCR|7DUR|aDMG
29	13124 27224	 * 	171.53	DCR|3DMG|2AART|1VULN	1DUST|2LWND|35AART|4MBVNT|69aDMG|7VULN|8RCR
30	16124 27224	   	171.53	DCR|3DMG|2AART|1VULN	1DUST|2LHND|35AART|4MBVNT|69aDMG|7VULN|8RCR
31	23123 64816	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26LWND|3AART|4MBVNT|58VULN|7RCR|9aDMG
32	23123 74816	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|3AART|4MBVNT|58VULN|6DMSP|7RCR|9aDMG
33	23126 44816	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1DUR|25LWND|3AART|4MBVNT|68VULN|7RCR|9aDMG
34	23124 44624	   	170.71	DCR|2AART|2DMG|1VULN|2DUR	1aDUR|2aLWND|35AART|4MBVNT|6VULN|7RCR|8ERES|9aDMG|aBPWR
35	23124 44811	   	170.61	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|2LWND|35AART|4MBVNT|68VULN|7RCR|9DMG
36	15161 31324	   	170.58	DCR|3DMG|1AART|1VULN|1ZMB	1DUST|29aDMG|3FEWX|4AART|5ZMB|6VULN|7LIT|8RCR
37	53224 32684	   	170.47	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1aDMG|2SELL|39VULN|4MBVNT|5RPLT|6ZMB|7AART|8RCR
38	54136 12331	   	170.07	DCR|3VULN|1DMG|2CDMG|2DUR	1DMG|2aDUR|3FEWX|4LWND|5aCDMG|6RCR|7LIT|89aVULN|aBPWR
39	25421 14131	   	170.01	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	134DUR|2aDMG|5FEWX|6RCR|7AART|8VULN|9ASPD
40	23124 43227	 * 	169.98	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2LWND|35AART|4MBVNT|6VULN|7ZMB|8RCR|9DMG|aCDMG
41	25423 14131	   	169.91	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	134DUR|2aDMG|5DUST|6RCR|7AART|8VULN|9ASPD
42	23124 44347	 * 	169.90	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|2LWND|35AART|4MBVNT|69VULN|7RCR|8CDMG|aZMB
43	55222 41122	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	12DMG|2BPWR|34DUR|58VULN|6LIT|7AART|9RCR|aFEWX
44	55222 41123	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	12DMG|2BPWR|34DUR|58VULN|6LIT|7AART|9RCR|aRMIN
45	55222 41121	   	169.55	DCR|2VULN|2DMG|1AART|2DUR	12DMG|2BPWR|34DUR|58VULN|6LIT|7AART|9RCR|aTLV
46	23123 64871	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1DUR|26LWND|3AART|4MBVNT|589VULN|7RCR|aDMG
47	23123 74871	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2LWND|3AART|4MBVNT|589VULN|6DMSP|7RCR|aDMG
48	23126 44871	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	1DUR|25LWND|3AART|4MBVNT|689VULN|7RCR|aDMG
49	63323 43121	 * 	169.32	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB|1ASPD	1RMIN|25CDMG|35ZMB|4RCR|5BPWR|6VULN|7AART|8RPLT|9ASPD|aDMG
50	25114 22341	   	169.27	ACR|2VULN|2DMG|2CDMG|1ASPD|1DUR	1DUR|2aDMG|3FEWX|4ASPD|5RCR|6aVULN|7RMIN|8LIT|9aCDMG|aBPWR
51	63321 13144	 * 	169.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2CDMG|3ZMB|4RCR|5VULN|6LHND|7aDMG|8AART|9RPLT
52	63321 13155	 * 	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2CDMG|3ZMB|4RCR|5aVULN|6LHND|7DMG|8AART|9DMSP
53	26113 24326	   	168.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	17DUR|2LHND|3AART|4BEXP|5aVULN|6RCR|8ASPD|9DMG
54	53224 32624	   	168.54	DCR|3DMG|1AART|1VULN|1ZMB|1SELL	19aDMG|2SELL|3VULN|4MBVNT|5RPLT|6ZMB|7AART|8RCR
55	63321 23534	   	168.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2CDMG|3ZMB|4RCR|5VULN|6LIT|7RPLT|8aDMG|9AART
56	23124 47224	   	168.41	DCR|2AART|2DMG|1VULN|2DUR	1aDUR|2aLWND|35AART|4MBVNT|6VULN|7CGEN|8RCR|9aDMG|aBPWR
57	26124 47224	   	168.41	DCR|2AART|2DMG|1VULN|2DUR	1aDUR|2aLHND|35AART|4MBVNT|6VULN|7CGEN|8RCR|9aDMG|aBPWR
58	23124 46224	   	168.31	DCR|2AART|2DMG|1VULN|2DUR	1aDUR|2aLWND|35AART|4MBVNT|6VULN|7ERES|8RCR|9aDMG|aBPWR
59	26124 46224	   	168.31	DCR|2AART|2DMG|1VULN|2DUR	1aDUR|2aLHND|35AART|4MBVNT|6VULN|7ERES|8RCR|9aDMG|aBPWR
60	21633 11244	 * 	168.26	DCR|3VULN|3DMG|1DUR	1DUR|2MGNSTR|369DMG|478VULN|5CGEN|aRCR
61	63323 34341	 * 	168.22	ACR|2VULN|3ZMB|3CDMG|2ASPD	1RMIN|25aCDMG|358ZMB|4RCR|5aBPWR|6LIT|7aASPD|9aVULN
62	63124 23313	 * 	167.79	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	13RMIN|25CDMG|4DUR|6RCR|7aAART|8DMG|9VULN
63	23123 43225	   	167.76	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	16DUR|2LWND|3AART|4MBVNT|5VULN|7ZMB|8RCR|9aDMG
64	23125 43225	   	167.76	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	15DUR|2LWND|3AART|4MBVNT|6VULN|7ZMB|8RCR|9aDMG
65	21646 22323	   	167.52	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2MGNSTR|3DMG|5AART|6RCR|7VULN|8LWND|9CDMG|aZMB
66	23128 84341	 * 	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3AART|4MBVNT|5ERES|6DMG|7RCR|8CDMG|9aVULN
67	23113 26253	   	167.37	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4BEXP|5VULN|6RCR|7CGEN|8ZMB|9aDMG
68	23163 26253	   	167.37	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3AART|4LHND|5VULN|6RCR|7CGEN|8ZMB|9aDMG
69	53311 12331	   	167.35	DCR|3VULN|2DMG|2DUR|1SELL	1aDMG|2SELL|3DUST|4aDUR|5FEWX|6RCR|7LIT|89aVULN|aBPWR
