0	Index      	 *	Score 	Summary	Detail	
1	24541 31222	 * 	214.94	DCR|4VULN|2DMG|1AART|2FLTHEA	1RCVC|28DMG|348aVULN|58FLTHEA|6RPLT|7RCR|8BPWR|9AART
2	24541 31223	 * 	212.28	DCR|3VULN|2DMG|2AART|2FLTHEA	1RCVC|28DMG|348VULN|58FLTHEA|6RPLT|7RCR|8BPWR|9aAART
3	24531 31241	 * 	206.79	DCR|4VULN|3DMG|2FLTHEA	1RCVC|248DMG|389aVULN|58FLTHEA|6RPLT|7RCR|8BPWR
4	24541 31231	   	206.79	DCR|4VULN|3DMG|2FLTHEA	1RCVC|289DMG|348aVULN|58FLTHEA|6RPLT|7RCR|8BPWR
5	31314 11133	   	206.58	DCR|4VULN|2DMG|1AART|1CDMG|1SELL	148aVULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9CDMG
6	31664 11133	   	206.58	DCR|4VULN|2DMG|1AART|1CDMG|1SELL	138aVULN|2SELL|48ERES|5AART|68DMG|7RCR|8BPWR|9CDMG
7	24541 31221	   	200.73	DCR|3VULN|2DMG|1AART|2FLTHEA	1RCVC|28DMG|348VULN|58FLTHEA|6RPLT|7RCR|8BPWR|9AART|aDUST
8	31314 11156	   	199.86	DCR|4VULN|2DMG|1AART|1SELL	148aVULN|2SELL|38ERES|5AART|68DMG|7RCR|8BPWR|9DUR
9	24531 31243	   	199.62	DCR|3VULN|3DMG|2FLTHEA	1RCVC|248DMG|389VULN|58FLTHEA|6RPLT|7RCR|8BPWR|aASPD
10	24541 31233	   	199.62	DCR|3VULN|3DMG|2FLTHEA	1RCVC|289DMG|348VULN|58FLTHEA|6RPLT|7RCR|8BPWR|aASPD
11	33521 31232	 * 	196.52	DCR|3VULN|2DMG|3FLTHEA|2ASPD	18aVULN|2RCVC|3DMSP|48ASPD|58aFLTHEA|6RPLT|7RCR|8aBPWR|9aDMG
12	22344 11133	   	196.48	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	1RCVC|28ERES|3SELL|48aVULN|5AART|68DMG|7RCR|8BPWR|9CDMG
