0	Index      	 *	Score 	Summary	Detail	
1	13516 11213	 * 	206.54	ACR|3VULN|2DMG|3CDMG|2ASPD|1ZMB	17aVULN|2ZMB|3RCR|47aCDMG|57ASPD|6RMIN|7aBPWR|8AIRHEA|9aDMG
2	13514 23236	 * 	206.36	ACR|3VULN|3DMG|2CDMG|2ZMB	17aVULN|2aZMB|3RCR|45CDMG|6MGNSTR|89aDMG|aBPWR
3	13514 33236	   	206.26	ACR|3VULN|3DMG|2CDMG|2ZMB	17aVULN|2aZMB|3RCR|45CDMG|6BASHEA|89aDMG|aBPWR
4	13226 13436	 * 	203.95	DCR|5VULN|1AART|1DMG|1ZMB|1DUR	1348aVULN|2ZMB|5DUR|6DMG|7RCR|9AART
5	13226 11136	   	201.55	DCR|5VULN|1AART|1DMG|1ZMB|1DUR	1347aVULN|2ZMB|5DUR|6DMG|8RCR|9AART
6	12316 41584	 * 	201.26	DCR|2VULN|2DMG|2AART|2CDMG|1DUR	19VULN|29CDMG|3BEXP|4DUR|5MBVNT|6aAART|7RCR|89DMG|9BPWR
7	13223 13436	   	196.91	DCR|5VULN|1AART|1DMG|1ZMB	1348aVULN|2ZMB|5DUST|6DMG|7RCR|9AART
8	13513 21213	 * 	196.84	ACR|3VULN|2DMG|3CDMG|2ZMB	17aVULN|26ZMB|3RCR|47aCDMG|57BEXP|7aBPWR|8AIRHEA|9aDMG
9	13514 43223	 * 	196.80	ACR|2VULN|2AART|1DMG|2CDMG|1ZMB|1ASPD	19VULN|2ZMB|3RCR|45CDMG|6DMG|7aAART|8ASPD
10	13221 41231	 * 	196.13	DCR|5VULN|3ZMB|1AART	13479VULN|289ZMB|59ERES|6RCR|9BPWR|aAART
11	13224 41231	   	196.13	DCR|5VULN|3ZMB|1AART	13479VULN|289ZMB|59TLV|6RCR|9BPWR|aAART
12	13512 32242	 * 	195.79	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19aVULN|2ZMB|3RCR|4CDMG|5AART|6DLOT|7DMG|8DUR
13	13226 13636	 * 	194.98	DCR|4VULN|1AART|1DMG|2ZMB|1DUR	134aVULN|28ZMB|5DUR|6DMG|7RCR|9AART
14	13214 33543	 * 	194.90	DCR|3VULN|2DMG|3ZMB|2ASPD	13aVULN|256ZMB|45ERES|5aBPWR|7RCR|8aASPD|9aDMG
15	13261 33543	   	194.90	DCR|3VULN|2DMG|3ZMB|2ASPD	13aVULN|246ZMB|5ERES|7RCR|8aASPD|9aDMG|aBPWR
16	13226 13341	 * 	194.61	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	134VULN|2ZMB|5DUR|6aDMG|7RCR|8CGEN|9AART
17	13223 11136	   	194.51	DCR|5VULN|1AART|1DMG|1ZMB	1347aVULN|2ZMB|5DUST|6DMG|8RCR|9AART
18	13226 13241	   	194.51	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	134VULN|2ZMB|5DUR|6aDMG|7RCR|8ERES|9AART
19	13226 13163	   	194.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	134VULN|2ZMB|5DUR|69DMG|7RCR|8FEWX|aAART
20	13514 43113	 * 	193.97	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	18aVULN|2ZMB|3RCR|45CDMG|6DMG|7AART|9DUST
21	13512 16143	 * 	193.21	ACR|3VULN|3ZMB|1AART|1CDMG|1ASPD	169VULN|278ZMB|3RCR|4CDMG|5AART|aASPD
22	13514 23413	   	192.79	ACR|3VULN|2DMG|3CDMG|1ZMB	17aVULN|2ZMB|3RCR|45aCDMG|6MGNSTR|8DUST|9aDMG|aBPWR
23	13514 33413	   	192.69	ACR|3VULN|2DMG|3CDMG|1ZMB	17aVULN|2ZMB|3RCR|45aCDMG|6BASHEA|8DUST|9aDMG|aBPWR
24	13266 11136	   	192.58	DCR|4VULN|1AART|1DMG|2ZMB|1DUR	137aVULN|24ZMB|5DUR|6DMG|8RCR|9AART
25	63322 23436	 * 	191.62	DCR|3VULN|2DMG|1AART|2ZMB	14BEXP|25ZMB|35DMG|5BPWR|68aVULN|7RCR|9AART
26	13226 13431	   	191.12	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1348VULN|2ZMB|5DUR|6DMG|7RCR|9AART|aLHND
