0	Index      	 *	Score 	Summary	Detail	
1	33216 32551	 * 	203.78	ACR|4VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|5ZMB|679aVULN|79BPWR|8RMIN
2	33216 32524	 * 	197.63	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	17CGEN|27aDMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8RMIN|9AART
3	33216 32224	   	197.53	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	17CGEN|27aDMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8TLV|9AART
4	21131 36351	 * 	195.35	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	1AART|2ASPD|3DUR|4DMSP|589DMG|6aVULN|7RCR
5	33356 63113	 * 	194.43	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	1CGEN|26DMG|357VULN|4RCR|8ASPD|9ZMB|aAART
6	33214 32531	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19aCGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN
7	33214 32532	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN|aMLV
8	33214 32533	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN|aLIT
9	33214 32534	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN|aRMIN
10	33214 32535	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN|aDMSP
11	33214 32536	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LWND|7AART|89VULN|aBELT
12	33214 52531	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19aCGEN|259DMG|3RCR|45DUR|59BPWR|6LHND|7AART|89VULN
13	33214 52532	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LHND|7AART|89VULN|aMLV
14	33214 52533	   	193.22	ACR|3DMG|2VULN|1AART|2DUR	19CGEN|259DMG|3RCR|45DUR|59BPWR|6LHND|7AART|89VULN|aLIT
15	23253 11341	 * 	192.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7LHND|8ZMB
16	23253 13341	   	192.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7ZMB|8FEWX
17	23253 13541	   	192.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7ZMB|8LWND
18	23253 13134	 * 	192.84	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CGEN|49aVULN|5CDMG|6RCR|7ZMB|8RCVC
19	33215 62151	   	192.78	ACR|4VULN|3DMG|1DUR	179CGEN|279DMG|3RCR|4DUR|58LWND|679aVULN|79BPWR
20	33356 62311	 * 	192.14	ACR|3VULN|3DMG|1AART	1CGEN|269DMG|358VULN|4RCR|7LIT|aAART
21	23253 13434	   	190.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|38CGEN|49aVULN|5CDMG|6RCR|7ZMB
22	33215 62153	   	189.68	ACR|3VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|58LWND|679VULN|79BPWR|aZMB
23	33216 32552	   	189.68	ACR|3VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|5ZMB|679VULN|79BPWR|8RMIN|aLIT
24	33216 32553	   	189.68	ACR|3VULN|3DMG|1ZMB|1DUR	179CGEN|279DMG|3RCR|4DUR|5ZMB|679VULN|79BPWR|8aRMIN
25	33216 32236	   	189.58	ACR|3VULN|3DMG|1ZMB|1DUR	17CGEN|27aDMG|3RCR|4DUR|5ZMB|67aVULN|7aBPWR|8TLV|9aLIT
26	23253 15341	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2aDMG|3CGEN|49VULN|5CDMG|6RCR|7ASPD|8FEWX
27	23253 15134	   	188.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2DMG|3CGEN|49aVULN|5CDMG|6RCR|7ASPD|8RCVC
28	23113 36352	   	188.76	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9VULN|aASPD
29	23113 36552	   	188.76	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1AART|259DMG|3DUR|4BEXP|6ZMB|7RCR|8VULN|aASPD
30	21331 36351	   	188.41	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|3LWND|4DMSP|589DMG|6aVULN|7RCR
31	33261 42342	 * 	188.34	ACR|3DMG|1AART|1VULN|1CDMG|2DUR|1SELL	1aCGEN|29aDMG|3RCR|4SELL|5CDMG|6VULN|7aDUR|8AART|aBPWR
32	24631 33422	   	187.57	DCR|3DMG|2VULN|1AART	1AART|2RCVC|35aDMG|4MBVNT|6RCR|7aVULN|8NUKE|9aMLV|aBPWR
33	24631 33161	   	187.47	DCR|3DMG|2VULN|1AART	1AART|2RCVC|359DMG|4MBVNT|6RCR|7aVULN|8CGEN
34	24631 33461	   	187.37	DCR|3DMG|2VULN|1AART	1AART|2RCVC|359DMG|4MBVNT|6RCR|7aVULN|8NUKE
35	23113 36311	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|258DMG|39DUR|4BEXP|6ZMB|7RCR|aVULN
36	23113 36353	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|258DMG|3aDUR|4BEXP|6ZMB|7RCR|9VULN
37	23113 36553	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|259DMG|3aDUR|4BEXP|6ZMB|7RCR|8VULN
38	23115 36351	   	187.12	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	1AART|289DMG|35DUR|4BEXP|6ZMB|7RCR|aVULN
39	21131 36242	 * 	186.76	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR|1ASPD	1AART|2ASPD|3DUR|4DMSP|59DMG|6VULN|7RCR|8ZMB|aFLTHEA
40	21131 36243	   	186.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1AART|2ASPD|3DUR|4DMSP|59DMG|6VULN|7RCR|8ZMB|aCDMG
41	33215 62124	   	186.63	ACR|3DMG|2VULN|1AART|1DUR	17CGEN|27aDMG|3RCR|4DUR|58LWND|67VULN|7BPWR|9AART
42	33215 62221	   	186.63	ACR|3VULN|2DMG|1AART|1DUR	17CGEN|27DMG|3RCR|4DUR|5LWND|67aVULN|7BPWR|8BEXP|9AART
43	33215 62621	   	186.63	ACR|3VULN|2DMG|1AART|1DUR	17CGEN|27DMG|3RCR|4DUR|5LWND|67aVULN|7BPWR|8FEWX|9AART
44	33212 32524	   	186.53	ACR|3DMG|2VULN|1AART|1DUR	17CGEN|27aDMG|3RCR|4DUR|5ERES|67VULN|7BPWR|8RMIN|9AART
45	33212 32224	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	17CGEN|27aDMG|3RCR|4DUR|5ERES|67VULN|7BPWR|8TLV|9AART
46	33216 32154	   	186.42	ACR|2VULN|2DMG|1AART|2DUR|1ZMB|1SELL	17CGEN|27DMG|3RCR|49DUR|5ZMB|67VULN|7BPWR|8SELL|aAART
47	23251 34335	   	186.01	DCR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|3CGEN|4aVULN|5LIT|7DUR|8RCR|9aERES|aBPWR
48	24343 23161	 * 	185.94	DCR|3DMG|1AART|3ZMB|2DUR	1AART|2RCVC|37aZMB|479DMG|5RMIN|67DUR|7BPWR|8RCR
49	33235 62151	   	185.84	ACR|4VULN|3DMG	179CGEN|279DMG|3RCR|4FEWX|58LWND|679aVULN|79BPWR
50	33243 62151	   	185.84	ACR|4VULN|3DMG	179CGEN|279DMG|3RCR|48LWND|5BEXP|679aVULN|79BPWR
51	33243 62251	   	185.84	ACR|4VULN|3DMG	179CGEN|279DMG|3RCR|4LWND|58BEXP|679aVULN|79BPWR
52	33216 32526	 * 	185.83	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5aZMB|67VULN|7BPWR|8RMIN|9AART
53	33216 32226	   	185.73	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5aZMB|67VULN|7BPWR|8TLV|9AART
54	33212 32124	   	185.68	ACR|3VULN|2DMG|1AART|1DUR|1SELL	17CGEN|27DMG|3RCR|4DUR|5ERES|679VULN|7BPWR|8SELL|aAART
55	23113 36251	 * 	185.67	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	1AART|259DMG|3DUR|4BEXP|68ZMB|7RCR|aVULN
56	24631 33832	   	185.47	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RCVC|35DMG|4MBVNT|6RCR|79VULN|8CDMG|aCGEN
57	24631 33831	   	185.37	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RCVC|35DMG|4MBVNT|6RCR|79VULN|8CDMG|aDUST
58	24631 33833	   	185.37	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RCVC|35DMG|4MBVNT|6RCR|79VULN|8CDMG|aERES
59	24631 33834	   	185.37	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2RCVC|35DMG|4MBVNT|6RCR|79VULN|8CDMG|aTLV
60	24634 37422	 * 	185.27	DCR|3VULN|2DMG|1AART	1AART|2RCVC|3aDMG|4MBVNT|5CGEN|68aVULN|7RCR|9aMLV|aBPWR
61	23113 36515	   	185.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1AART|25DMG|3aDUR|4BEXP|6ZMB|7RCR|8VULN|9CDMG
62	33214 32516	 * 	184.88	ACR|2DMG|2AART|1VULN|1CDMG|2DUR	1CGEN|25DMG|3RCR|45DUR|5BPWR|6LWND|7aAART|8VULN|9CDMG
63	23132 21631	 * 	184.47	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|28aDMG|3DUR|4DMSP|5CDMG|6BEXP|7RCR|9VULN
64	23132 48431	   	184.37	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|28aDMG|3DUR|4DMSP|5CDMG|6MBVNT|7RCR|9VULN
65	33216 32421	 * 	184.05	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB|1ASPD	17CGEN|27DMG|3RCR|48DUR|5ZMB|67VULN|7BPWR|9ASPD|aCDMG
66	51131 56212	 * 	184.00	ACR|2VULN|2DMG|1AART|2CDMG	18RPLT|2aMLV|36VULN|4RCR|5AART|7aDMG|9aCDMG|aBPWR
67	23326 21314	   	183.87	DCR|3VULN|2DMG|1AART	1AART|29DMG|3LWND|49LIT|5ERES|6RCR|7DUST|89aVULN|9BPWR
68	23134 34162	   	183.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|29DMG|3DUR|4DMSP|57VULN|6RCVC|8RCR|aZMB
69	26651 32132	 * 	183.83	DCR|3VULN|2AART|1DMG|1ZMB	19AART|2RMIN|346VULN|5DMG|7ERES|8RCR|aZMB
70	23113 36461	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8FEWX|9aVULN
71	23113 36521	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8aVULN|9LWND
72	23113 36661	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|25DMG|3DUR|4BEXP|6ZMB|7RCR|8LHND|9aVULN
73	23113 36331	   	183.43	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1AART|258DMG|3DUR|4BEXP|6ZMB|7RCR|9RCVC|aVULN
74	51136 16212	   	183.40	ACR|2VULN|2DMG|1AART|2CDMG	18RPLT|2aMLV|35VULN|4RCR|6AART|7aDMG|9aCDMG|aBPWR
75	33216 32521	   	183.28	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8RMIN|9AART|aRCVC
76	33216 32221	   	183.18	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	17CGEN|27DMG|3RCR|4DUR|5ZMB|67VULN|7BPWR|8TLV|9AART|aRCVC
77	21131 36354	   	183.05	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	1AART|2ASPD|3aDUR|4DMSP|589DMG|6VULN|7RCR
78	33235 62153	   	182.74	ACR|3VULN|3DMG|1ZMB	179CGEN|279DMG|3RCR|4FEWX|58LWND|679VULN|79BPWR|aZMB
79	33243 62153	   	182.74	ACR|3VULN|3DMG|1ZMB	179CGEN|279DMG|3RCR|48LWND|5BEXP|679VULN|79BPWR|aZMB
80	33243 62253	   	182.74	ACR|3VULN|3DMG|1ZMB	179CGEN|279DMG|3RCR|4LWND|58BEXP|679VULN|79BPWR|aZMB
81	33214 23324	   	182.63	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	17CGEN|25DMG|3RCR|45DUR|5BPWR|6ZMB|8CDMG|9VULN|aAART
82	21253 11341	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CGEN|49VULN|5CDMG|6RCR|7LHND|8ZMB|aDMG
83	21253 13341	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CGEN|49VULN|5CDMG|6RCR|7ZMB|8FEWX|aDMG
84	21253 13541	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CGEN|49VULN|5CDMG|6RCR|7ZMB|8LWND|aDMG
85	21253 16341	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3CGEN|49VULN|5CDMG|6RCR|7BEXP|8ZMB|aDMG
