0	Index      	 *	Score 	Summary	Detail	
1	15321 22616	 * 	208.28	DCR|5VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|3RCVC|4579aVULN|6RCR|89DMG|9BPWR
2	33331 22616	 * 	202.36	DCR|5VULN|2DMG|2CDMG	19CDMG|2LWND|3RCVC|4579aVULN|6RCR|89DMG|9BPWR
3	15321 22615	   	201.76	DCR|4VULN|2DMG|2CDMG|2DUR	19DUR|2aCDMG|3RCVC|4579VULN|6RCR|89DMG|9BPWR
4	34111 21435	 * 	200.76	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|258VULN|3aDMG|4ERES|6RCR|7AART|9ASPD
5	12361 16214	   	198.81	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2AART|3ZMB|489VULN|5LHND|6aDMG|7RCR
6	34111 21635	 * 	196.55	DCR|2VULN|2DMG|2AART|1CDMG|1ASPD	1CDMG|25VULN|3aDMG|4ERES|6RCR|78AART|9ASPD
7	34211 22616	 * 	195.57	DCR|4VULN|2DMG|3CDMG	149CDMG|257aVULN|39LHND|6RCR|89DMG|9BPWR
8	33326 22616	   	195.57	DCR|4VULN|2DMG|3CDMG	149CDMG|2LWND|3RCVC|579aVULN|6RCR|89DMG|9BPWR
9	33331 22615	   	195.57	DCR|4VULN|2DMG|3CDMG	19aCDMG|2LWND|3RCVC|4579VULN|6RCR|89DMG|9BPWR
10	15321 22612	   	195.45	DCR|4VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|3RCVC|4579VULN|6RCR|89DMG|9BPWR|aRPLT
11	15321 22613	   	195.45	DCR|4VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|3RCVC|4579VULN|6RCR|89DMG|9BPWR|aBEXP
12	15322 22616	   	195.45	DCR|4VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|35RCVC|479aVULN|6RCR|89DMG|9BPWR
13	15321 22614	   	195.35	DCR|4VULN|2DMG|1CDMG|2DUR	19DUR|2CDMG|3RCVC|4579VULN|6RCR|89DMG|9BPWR|aDUST
14	12361 16212	 * 	195.32	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2AART|3ZMB|489aVULN|5LHND|6DMG|7RCR
15	12366 16212	   	195.32	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2AART|3ZMB|489aVULN|5BEXP|6DMG|7RCR
16	12361 16213	   	194.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2AART|3ZMB|489VULN|5LHND|6DMG|7RCR|aCDMG
17	12366 16213	   	194.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2AART|3ZMB|489VULN|5BEXP|6DMG|7RCR|aCDMG
18	34211 22615	   	192.47	DCR|3VULN|2DMG|3CDMG|1ZMB	149CDMG|257VULN|39LHND|6RCR|89DMG|9BPWR|aZMB
19	33326 22615	   	192.47	DCR|3VULN|2DMG|3CDMG|1ZMB	149CDMG|2LWND|3RCVC|579VULN|6RCR|89DMG|9BPWR|aZMB
20	12322 16364	 * 	190.51	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|2AART|3ZMB|4RCR|5FEWX|6aDMG|7ASPD|89VULN
21	15321 21435	   	190.21	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3RCVC|458VULN|6RCR|7AART|9ASPD|aDMG
22	34111 21433	   	190.11	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|258VULN|3DMG|4ERES|6RCR|7AART|9ASPD|aDUR
23	34111 22636	   	189.85	DCR|4VULN|2DMG|1CDMG|1ASPD	1CDMG|257aVULN|38DMG|4ERES|6RCR|9ASPD
