0	Index      	 *	Score 	Summary	Detail	
1	41344 13111	 * 	182.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2ERES|367VULN|5AART|8CDMG|9RCR|aDMG
2	61313 25633	 * 	181.99	DCR|5VULN|2DMG	1DUST|2ERES|3578aVULN|49DMG|6RCR
3	51216 23412	 * 	178.97	ACR|3VULN|3DMG|2DUR	127LIT|38aVULN|489DMG|5RCR|68DUR|8BPWR
4	33415 33422	 * 	178.71	DCR|3VULN|2DMG|1AART|1DUR	17TLV|237VULN|47DMG|5AART|6NUKE|7BPWR|8DUR|9MLV|aRCR
5	33213 25416	 * 	178.16	DCR|5VULN|1DMG|1CDMG	1TLV|25789VULN|3FEWX|4DMG|6RCR|aCDMG
6	51216 23422	 * 	176.97	ACR|3VULN|2DMG|1CDMG|2DUR	127LIT|38aVULN|48DMG|5RCR|68DUR|8BPWR|9CDMG
7	33412 25432	   	176.10	DCR|4VULN|2DMG|1DUR	1TLV|2378VULN|49DMG|5DUST|6RCR|aDUR
8	31424 21224	 * 	176.10	DCR|3VULN|2DMG|2DUR|1ZMB	1aTLV|2LHND|34aVULN|58DUR|6ZMB|7RCR|9aDMG|aBPWR
9	51216 23411	   	174.32	ACR|3DMG|2VULN|2DUR|1ZMB	127LIT|38VULN|489DMG|5RCR|68DUR|8BPWR|aZMB
10	41344 13112	   	173.40	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	14DUR|2ERES|367VULN|5AART|8CDMG|9RCR|aZMB
11	42114 53311	 * 	173.22	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	12DUR|2BPWR|38VULN|4RMIN|5AART|67CDMG|9RCR|aDMG
12	42132 25433	   	172.91	DCR|3VULN|1AART|1DMG|2DUR	12DUR|2BPWR|378VULN|45DUST|6RCR|9DMG|aAART
13	42162 25333	   	172.91	DCR|3VULN|1AART|1DMG|2DUR	12DUR|2BPWR|347VULN|58DUST|6RCR|9DMG|aAART
14	42112 25324	 * 	171.41	DCR|3VULN|2DMG|3DUR	12aDUR|2aBPWR|37aVULN|4RMIN|5ERES|6RCR|8BEXP|9aDMG
15	21413 55221	   	171.40	DCR|4VULN|2DMG|1DUR	1FEWX|2ERES|357aVULN|49DMG|6DUR|8RCR
16	61313 55221	   	171.30	DCR|4VULN|2DMG|1DUR	1DUST|2ERES|357aVULN|49DMG|6DUR|8RCR
17	21454 13111	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|2ERES|367VULN|4DMSP|5AART|8CDMG|9RCR|aDMG
18	33224 53111	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|247VULN|36FEWX|5AART|8CDMG|9RCR|aDMG
19	35214 13111	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|2CGEN|367VULN|4RMIN|5AART|8CDMG|9RCR|aDMG
20	21464 13111	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|24ERES|367VULN|5AART|8CDMG|9RCR|aDMG
21	33314 13111	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|267VULN|3ERES|4RMIN|5AART|8CDMG|9RCR|aDMG
22	61354 13111	   	170.13	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2ERES|367VULN|4DMSP|5AART|8CDMG|9RCR|aDMG
23	61364 13111	   	170.03	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|24ERES|367VULN|5AART|8CDMG|9RCR|aDMG
24	33421 31642	   	169.37	DCR|3VULN|2DMG|1AART	1TLV|235VULN|4RCVC|68DMG|7BEXP|9AART|aRCR
25	21413 43342	   	169.27	DCR|3VULN|2DMG|1AART	1FEWX|27ERES|358VULN|46DMG|9AART|aRCR
26	21413 25321	   	169.27	DCR|4VULN|2DMG	1FEWX|2ERES|357aVULN|49DMG|6RCR|8BEXP
27	61313 43342	   	169.17	DCR|3VULN|2DMG|1AART	1DUST|27ERES|358VULN|46DMG|9AART|aRCR
28	33412 25433	   	169.17	DCR|4VULN|2DMG	1TLV|2378VULN|49DMG|5DUST|6RCR|aRPLT
29	61311 25633	   	169.17	DCR|4VULN|2DMG	1DUST|2ERES|378aVULN|49DMG|5RCVC|6RCR
30	61313 24633	   	169.17	DCR|4VULN|2DMG	1DUST|2ERES|358aVULN|49DMG|6RCR|7DMSP
31	61313 25321	   	169.17	DCR|4VULN|2DMG	1DUST|2ERES|357aVULN|49DMG|6RCR|8BEXP
32	61313 25632	   	169.17	DCR|4VULN|2DMG	1DUST|2ERES|3578VULN|49DMG|6RCR|aCGEN
33	41346 21231	 * 	169.14	DCR|2VULN|1DMG|2CDMG|3DUR|1ZMB	149DUR|2ERES|39VULN|5MLV|6RCR|7ZMB|89CDMG|9BPWR|aDMG
34	44432 21231	   	169.14	DCR|2VULN|1DMG|2CDMG|3DUR|1ZMB	149DUR|2MLV|39VULN|5ERES|6RCR|7ZMB|89CDMG|9BPWR|aDMG
35	24431 41222	   	169.11	DCR|3VULN|2DMG|3DUR	19FEWX|2MLV|39aVULN|468DUR|59DMG|7RCR|9BPWR
36	44213 41222	   	169.11	DCR|3VULN|2DMG|3DUR	168DUR|29MLV|3FEWX|49DMG|59aVULN|7RCR|9BPWR
37	44221 41222	   	169.11	DCR|3VULN|2DMG|3DUR	168DUR|29MLV|3FEWX|49aVULN|59DMG|7RCR|9BPWR
38	33412 25431	   	169.07	DCR|4VULN|2DMG	1TLV|2378VULN|49DMG|5DUST|6RCR|aERES
39	61313 25133	   	169.07	DCR|4VULN|2DMG	1DUST|28ERES|357aVULN|49DMG|6RCR
40	61313 25631	   	169.07	DCR|4VULN|2DMG	1DUST|2aERES|3578VULN|49DMG|6RCR
41	33421 63111	   	169.03	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|235VULN|4RCVC|6CDMG|7AART|8BEXP|9RCR|aDMG
42	33421 63411	   	169.03	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|235VULN|4RCVC|6CDMG|7AART|8FEWX|9RCR|aDMG
43	21413 25521	   	169.02	DCR|4VULN|2DMG|1SELL	1FEWX|2ERES|357aVULN|49DMG|6RCR|8SELL
44	21441 41222	   	169.01	DCR|3VULN|2DMG|3DUR	19FEWX|2ERES|39aVULN|468DUR|59DMG|7RCR|9BPWR
45	61313 25521	   	168.92	DCR|4VULN|2DMG|1SELL	1DUST|2ERES|357aVULN|49DMG|6RCR|8SELL
46	36431 41222	   	168.91	DCR|3VULN|2DMG|3DUR	19TLV|2BEXP|39aVULN|468DUR|59DMG|7RCR|9BPWR
47	41213 41222	   	168.91	DCR|3VULN|2DMG|3DUR	168DUR|29ERES|3FEWX|49DMG|59aVULN|7RCR|9BPWR
48	41221 41222	   	168.91	DCR|3VULN|2DMG|3DUR	168DUR|29ERES|3FEWX|49aVULN|59DMG|7RCR|9BPWR
49	21413 25324	 * 	168.81	DCR|3VULN|2DMG|1CDMG	1FEWX|2ERES|357VULN|49DMG|6RCR|8BEXP|aCDMG
50	33213 25324	   	168.81	DCR|3VULN|2DMG|1CDMG	1TLV|257VULN|3FEWX|49DMG|6RCR|8BEXP|aCDMG
51	33213 25624	   	168.81	DCR|3VULN|2DMG|1CDMG	1TLV|257VULN|3FEWX|49DMG|6RCR|8LHND|aCDMG
52	34431 41222	   	168.81	DCR|3VULN|2DMG|3DUR	19TLV|2DUST|39aVULN|468DUR|59DMG|7RCR|9BPWR
53	61341 41222	   	168.81	DCR|3VULN|2DMG|3DUR	19DUST|2ERES|39aVULN|468DUR|59DMG|7RCR|9BPWR
54	33412 25224	   	168.71	DCR|3VULN|2DMG|1CDMG	1TLV|237VULN|49DMG|5DUST|6RCR|8FEWX|aCDMG
55	61313 25324	   	168.71	DCR|3VULN|2DMG|1CDMG	1DUST|2ERES|357VULN|49DMG|6RCR|8BEXP|aCDMG
56	25422 32224	   	168.51	DCR|3VULN|2DMG|1ZMB|1DUR	16aFEWX|2ZMB|34aVULN|5ERES|7DUR|8RCR|9aDMG|aBPWR
57	33421 66211	   	168.43	DCR|3VULN|1AART|1DMG|1CDMG	1TLV|235VULN|4RCVC|6CDMG|7FEWX|8AART|9RCR|aDMG
58	21413 42226	 * 	168.31	DCR|3DMG|2VULN|1ZMB|1DUR	1FEWX|2ERES|35VULN|469DMG|7DUR|8RCR|aZMB
59	61313 42226	   	168.21	DCR|3DMG|2VULN|1ZMB|1DUR	1DUST|2ERES|35VULN|469DMG|7DUR|8RCR|aZMB
60	21413 42633	 * 	168.16	DCR|3VULN|3DMG|1DUR	1FEWX|2ERES|358VULN|469DMG|7DUR|aRCR
61	33213 42433	   	168.16	DCR|3VULN|3DMG|1DUR	1TLV|258VULN|3FEWX|469DMG|7DUR|aRCR
62	33412 42433	   	168.06	DCR|3VULN|3DMG|1DUR	1TLV|238VULN|469DMG|5DUST|7DUR|aRCR
63	61313 42633	   	168.06	DCR|3VULN|3DMG|1DUR	1DUST|2ERES|358VULN|469DMG|7DUR|aRCR
64	31414 21313	 * 	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|2LHND|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
65	33614 21313	   	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|29VULN|3LHND|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
66	36414 21313	   	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|2BEXP|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
