0	Index      	 *	Score 	Summary	Detail	
1	55353 12443	 * 	239.74	ACR|3VULN|2BASARM|3BEXP|1AART|1SELL	16aBEXP|2MBVNT|3SELL|4RCR|56aVULN|6aBPWR|7AART|8aBASARM|9NUKE
2	55353 12444	 * 	224.69	ACR|2VULN|1BASARM|2BEXP|1ASPD|1AART|1SELL	16BEXP|2MBVNT|3SELL|4RCR|56VULN|6BPWR|7AART|8BASARM|9NUKE|aASPD
3	36234 23331	 * 	224.41	ACR|3VULN|3BEXP|2ASPD|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|689BEXP|8BPWR|aDMG
4	36334 23331	   	224.41	ACR|3VULN|3BEXP|2ASPD|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|689BEXP|8BPWR|aDMG
5	13234 15321	 * 	216.86	ACR|1BASARM|2DMG|1VULN|1ASPD|1CDMG	1AEMAG|2CDMG|37DMG|4VULN|5RCR|6LHND|8LIT|9BASARM|aASPD
6	36234 15331	   	214.09	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LWND|4RCR|5LIT|6RCVC|789BEXP|8BPWR|aDMG
7	36334 15331	   	214.09	ACR|2VULN|3BEXP|2ASPD|1DMG	18VULN|28ASPD|3LHND|4RCR|5LIT|6RCVC|789BEXP|8BPWR|aDMG
8	36234 23323	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aMLV
9	36234 23324	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aFEWX
10	36234 23325	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aRPLT
11	36234 23326	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LWND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aLHND
12	36334 23323	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aMLV
13	36334 23324	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aFEWX
14	36334 23325	   	213.15	ACR|3VULN|2ASPD|2BEXP|1DMG	178VULN|28ASPD|3LHND|4RCR|5LIT|68BEXP|8BPWR|9DMG|aRPLT
