0	Index      	 *	Score 	Summary	Detail	
1	12366 31421	 * 	214.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1DUST|2ASPD|3AME|4RCR|59aBEXP|6RPLT|7BASARM|8DMG
2	32463 35312	 * 	209.36	ACR|3BEXP|2ASPD|2DMG|1AAC	1RMIN|27aBEXP|3aASPD|4RCR|5ZMB|6AAC|8TLV|9aDMG|aBPWR
3	31462 12315	 * 	208.85	ACR|3ASPD|2DMG|3VULN	1RMIN|26aVULN|37aASPD|4RCR|5ERES|8LHND|9aDMG|aBPWR
4	31462 13315	 * 	204.20	ACR|4VULN|2ASPD|2DMG	1RMIN|267aVULN|3aASPD|4RCR|5ERES|8LHND|9aDMG|aBPWR
5	12514 53122	 * 	202.98	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1DUST|2ASPD|37VULN|49FEWX|5RCR|6AART|8BASARM|aDMG
6	12366 31341	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2ASPD|3AME|4RCR|5aBEXP|6RPLT|7BASARM|8RCVC|9DMG
7	12366 31422	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2ASPD|3AME|4RCR|59BEXP|6RPLT|7BASARM|8DMG|aMLV
8	12366 31423	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2ASPD|3AME|4RCR|59BEXP|6RPLT|7BASARM|8DMG|aCGEN
9	32466 32312	   	201.06	ACR|3BEXP|2ASPD|2DMG	1RMIN|25aBEXP|3aASPD|4RCR|6LWND|7RCVC|8TLV|9aDMG|aBPWR
10	32466 22312	   	200.96	ACR|3BEXP|2ASPD|2DMG	1RMIN|25aBEXP|3aASPD|4RCR|6DUST|7RCVC|8TLV|9aDMG|aBPWR
11	12514 53112	 * 	200.51	ACR|1BASARM|2ASPD|2VULN|1AART	1DUST|2aASPD|37VULN|4FEWX|5RCR|6AART|8BASARM|9LIT
12	32463 32612	   	198.20	ACR|2ASPD|2DMG|2BEXP|1AAC	1RMIN|2aBEXP|3aASPD|4RCR|5ZMB|6AAC|7RCVC|8MLV|9aDMG|aBPWR
13	32463 32312	   	198.10	ACR|2ASPD|2DMG|2BEXP|1AAC	1RMIN|2aBEXP|3aASPD|4RCR|5ZMB|6AAC|7RCVC|8TLV|9aDMG|aBPWR
14	12514 53132	   	196.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1DUST|2ASPD|37VULN|4FEWX|5RCR|6AART|8BASARM|9BEXP|aDUR
