0	Index      	 *	Score 	Summary	Detail	
1	14331 41613	 * 	260.99	ACR|3DMG|1BASARM|2VULN|3BEXP	169BEXP|249DMG|3RCR|5AAC|7RMIN|89VULN|9BPWR|aBASARM
2	14343 41113	   	260.99	ACR|3DMG|2VULN|1BASARM|3BEXP	145BEXP|257DMG|3RCR|5BPWR|68VULN|9FEWX|aBASARM
3	14333 33143	 * 	251.43	ACR|3VULN|3DMG|3BEXP|2CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6MLV|7aCDMG|89aVULN
4	14333 43143	   	251.33	ACR|3VULN|3DMG|3BEXP|2CDMG	15aBEXP|245DMG|3RCR|5aBPWR|6ERES|7aCDMG|89aVULN
5	14343 41131	 * 	248.18	ACR|3VULN|3DMG|3BEXP|1ASPD	145BEXP|257DMG|3RCR|5BPWR|689VULN|aASPD
6	14343 21123	   	247.46	ACR|3DMG|1BASARM|3BEXP|1VULN	145BEXP|257DMG|3RCR|5BPWR|69FEWX|8VULN|aBASARM
7	14333 61333	   	247.46	ACR|3DMG|1BASARM|3BEXP|1VULN	157BEXP|245DMG|3RCR|5BPWR|68LHND|9VULN|aBASARM
8	14333 21123	   	247.46	ACR|3DMG|1BASARM|3BEXP|1VULN	156BEXP|245DMG|3RCR|5BPWR|79FEWX|8VULN|aBASARM
9	14333 51123	   	247.46	ACR|3DMG|1BASARM|3BEXP|1VULN	157BEXP|245DMG|3RCR|5BPWR|69FEWX|8VULN|aBASARM
10	14343 21133	   	247.36	ACR|3DMG|1BASARM|3BEXP|1VULN	145BEXP|257DMG|3RCR|5BPWR|6FEWX|8VULN|9AEMAG|aBASARM
11	14333 21133	   	247.36	ACR|3DMG|1BASARM|3BEXP|1VULN	156BEXP|245DMG|3RCR|5BPWR|7FEWX|8VULN|9AEMAG|aBASARM
12	14333 51133	   	247.36	ACR|3DMG|1BASARM|3BEXP|1VULN	157BEXP|245DMG|3RCR|5BPWR|6FEWX|8VULN|9AEMAG|aBASARM
