0	Index      	 *	Score 	Summary	Detail	
1	11443 21134	 * 	233.85	ACR|1BASARM|2DMG|2BEXP|1ASPD|1AAC	12BEXP|2BPWR|3RCR|4AAC|57DMG|69RCVC|8ASPD|aBASARM
2	45613 31333	 * 	227.92	ACR|1BASARM|2BEXP|2VULN|1ASPD|1DMG	19DUR|2ASPD|3RCR|4DMG|58BEXP|67VULN|aBASARM
3	15143 21135	 * 	225.02	ACR|3DMG|3BEXP|2ASPD|1AAC	15aBEXP|2AME|37aDMG|4RCR|6RCVC|8aASPD|9AAC|aBPWR
4	11424 32361	   	223.50	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG|1AAC	12BEXP|2BPWR|3RCR|4CDMG|5LIT|6LWND|7AART|8AAC|9ASPD|aBASARM
5	45143 31333	   	222.92	ACR|1BASARM|2BEXP|2VULN|1ASPD|1DMG	19DUR|2ASPD|3DMG|4RCR|58BEXP|67VULN|aBASARM
6	11415 23223	 * 	219.22	ACR|1BASARM|3BEXP|1ASPD|1DMG	128BEXP|2BPWR|3RCR|4LHND|56RCVC|7ASPD|9DMG|aBASARM
7	11415 53223	   	219.22	ACR|1BASARM|3BEXP|1ASPD|1DMG	128BEXP|2BPWR|3RCR|47LHND|5RCVC|6ASPD|9DMG|aBASARM
8	11462 23223	   	219.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	128BEXP|2BPWR|3RCR|4AEFBLL|5DUR|6RCVC|7ASPD|9DMG|aBASARM
9	11461 41132	   	219.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	12aBEXP|2BPWR|3RCR|4AEFBLL|5AME|6BASARM|7LIT|8DMG|9ASPD
10	12142 35214	   	217.01	ACR|3DMG|3BEXP|2ASPD	17aBEXP|2MLV|37aDMG|4RCR|57LWND|6RMIN|7aBPWR|8FEWX|9aASPD
11	12142 35314	   	216.91	ACR|3DMG|3BEXP|2ASPD	17aBEXP|2MLV|37aDMG|4RCR|57LWND|6RMIN|7aBPWR|8DUST|9aASPD
12	11424 32631	   	215.19	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LIT|6LWND|7AART|8DMG|9ZMB|aBASARM
13	11443 33214	   	214.46	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|5aDMG|6RMIN|7LHND|8FEWX|9aASPD
14	11443 31214	   	214.36	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|5aDMG|6RMIN|7DUST|8FEWX|9aASPD
15	11443 33314	   	214.36	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|5aDMG|6RMIN|7LHND|8DUST|9aASPD
16	11443 12215	   	214.26	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|5aDMG|6ERES|7MBVNT|8FEWX|9aASPD
17	11443 21115	   	214.26	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|57DMG|6RCVC|8aASPD|9aERES
18	11443 21125	   	214.26	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|57DMG|6RCVC|8aASPD|9aAME
19	11443 12315	   	214.16	ACR|3BEXP|2ASPD|2DMG|1AAC	12aBEXP|2aBPWR|3RCR|4AAC|5aDMG|6ERES|7MBVNT|8DUST|9aASPD
20	34262 26232	 * 	212.65	ACR|1BASARM|2DMG|1BASICY|1AART	1CGEN|2RPLT|3VULN|4RCR|56DMG|7AART|8BASICY|9LWND|aBASARM
21	24262 26232	   	212.55	ACR|1BASARM|2DMG|1BASICY|1AART	1ERES|2RPLT|3VULN|4RCR|56DMG|7AART|8BASICY|9LWND|aBASARM
22	12143 56133	   	211.26	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC	15BEXP|2MLV|3DMG|4RCR|6ASPD|7BELT|8FEWX|9AAC|aBASARM
23	11423 41215	 * 	211.26	ACR|3ASPD|3BEXP|1AART|1CDMG	12aBEXP|2aBPWR|3RCR|4CDMG|5aAEFBLL|69aASPD|7RCVC|8AART
24	11423 45121	 * 	210.72	ACR|2ASPD|2BEXP|1DMG|1BASICY|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5AEFBLL|69ASPD|7BASICY|8DMG|aFEWX
25	45623 23311	 * 	210.71	ACR|1BASARM|2ASPD|1DMG|1AART	14DUR|24ASPD|3RCR|4BPWR|5DMG|6RCVC|7FLTFST|8AART|9BASARM|aRMIN
26	45623 23312	   	210.71	ACR|1BASARM|2ASPD|1DMG|1AART	14DUR|24ASPD|3RCR|4BPWR|5DMG|6RCVC|7FLTFST|8AART|9BASARM|aRPLT
27	11423 45122	   	210.62	ACR|2ASPD|2BEXP|1DMG|1BASICY|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5AEFBLL|69ASPD|7BASICY|8DMG|aERES
28	45623 23313	   	210.61	ACR|1BASARM|2ASPD|1DMG|1AART	14DUR|24ASPD|3RCR|4BPWR|5DMG|6RCVC|7FLTFST|8AART|9BASARM|aAEFBLL
29	11425 13131	   	208.38	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|6ASPD|7VULN|8ZMB|9CGEN|aBASARM
30	11425 13161	   	208.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|6ASPD|7VULN|8ZMB|9TLV|aBASARM
31	11425 23121	   	208.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|6AME|7VULN|8ZMB|9ASPD|aBASARM
32	11425 53121	   	208.28	ACR|1BASARM|2BEXP|1ASPD|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|6TLV|7VULN|8ZMB|9ASPD|aBASARM
33	11461 41131	   	207.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	12BEXP|2BPWR|3RCR|4AEFBLL|5AME|6BASARM|7LIT|8DMG|9ASPD|aLHND
34	11461 41133	   	207.66	ACR|1BASARM|2BEXP|1ASPD|1DMG	12BEXP|2BPWR|3RCR|4AEFBLL|5AME|6BASARM|7LIT|8DMG|9ASPD|aERES
35	11461 42232	 * 	207.66	ACR|1BASARM|2BEXP|1BASICY|1DMG	12BEXP|2BPWR|3RCR|4AEFBLL|5AME|6BASARM|7ERES|8DMG|9DUR|aBASICY
36	11425 14121	 * 	206.31	ACR|3ASPD|2BEXP|1DMG|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|679ASPD|8DMG|aFEWX
37	11425 14122	   	206.31	ACR|3ASPD|2BEXP|1DMG|1CDMG	12BEXP|2BPWR|3RCR|4CDMG|5LSRREG|679ASPD|8DMG|aZMB
38	33142 86413	 * 	206.26	ACR|3ASPD|3DMG|1BEXP	17CGEN|2FEWX|37aDMG|4RCR|5MBVNT|679ASPD|7BPWR|8BEXP
39	45623 33213	   	205.46	ACR|1BASARM|2ASPD|1DMG|1AAC	147DUR|24ASPD|3RCR|4BPWR|5DMG|68RMIN|9AAC|aBASARM
40	12141 15115	   	204.75	ACR|1BASARM|2BEXP|1DMG|1AART|1AAC	17BEXP|2MLV|3DMG|4RCR|5CGEN|6AAC|8AART|9AME|aBASARM
41	12143 15115	   	204.65	ACR|1BASARM|2BEXP|1DMG|1AART|1AAC	15BEXP|2MLV|3DMG|4RCR|6ERES|7AAC|8AART|9AME|aBASARM
42	11425 13212	   	204.45	ACR|3ASPD|3BEXP|1CDMG	128BEXP|2BPWR|3RCR|4CDMG|5LSRREG|69aASPD|7VULN
43	11423 46223	   	204.30	ACR|2DMG|2BEXP|1ASPD|1CDMG|1AART	12BEXP|2BPWR|3RCR|4CDMG|5AEFBLL|6ASPD|7aDMG|8LWND|9AART
