0	Index      	 *	Score 	Summary	Detail	
1	14642 32621	 * 	218.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|7BEXP|8AART|9VULN|aBASARM
2	14524 32233	 * 	216.13	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1ERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8BEXP|9BASARM|aVULN
3	14524 21233	   	216.03	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1ERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8BEXP|9BASARM|aVULN
4	14424 23221	 * 	215.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	178ERES|2RCR|3CGEN|4CDMG|56ASPD|9BASARM|aDMG
5	14524 23221	   	215.41	ACR|1BASARM|2ASPD|1DMG|1CDMG	178ERES|2RCR|3MLV|4CDMG|56ASPD|9BASARM|aDMG
6	14363 22532	 * 	212.56	ACR|1BASARM|2BEXP|2VULN|2CDMG	1ERES|2RCR|36VULN|4aCDMG|5MSLREG|79BEXP|8BASARM
7	14363 22522	 * 	211.37	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MDPS|aDMG
8	14524 32232	   	209.19	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1ERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8BEXP|9BASARM|aLIT
9	14524 21232	   	209.09	ACR|1BASARM|2ASPD|1CDMG|1BEXP	1ERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8BEXP|9BASARM|aLIT
10	14524 32231	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1aERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8BEXP|9BASARM
11	14524 21231	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1aERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8BEXP|9BASARM
12	14363 22533	   	206.24	ACR|1BASARM|2BEXP|2VULN|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|79BEXP|8BASARM|aCGEN
13	14363 22531	   	206.14	ACR|1BASARM|2BEXP|2VULN|1CDMG	1aERES|2RCR|36VULN|4CDMG|5MSLREG|79BEXP|8BASARM
14	14642 34121	   	204.76	ACR|1BASARM|1DMG|1ASPD|1BEXP	1ERES|2RCR|3MBVNT|4ZMB|5DMG|6ASPD|7VULN|8BEXP|9DLOT|aBASARM
15	14363 22523	 * 	203.24	ACR|1BASARM|3VULN|1BEXP|1CDMG	1ERES|2RCR|36aVULN|4CDMG|5MSLREG|7BEXP|8BASARM|9MDPS
16	14524 32133	   	202.48	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8LHND|9BASARM|aVULN
17	14524 21133	   	202.38	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8LHND|9BASARM|aVULN
18	14524 22133	   	202.38	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|56ASPD|7LHND|8LEGI|9BASARM|aVULN
19	14432 31512	 * 	202.28	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3CGEN|4BEXP|5aDMG|6MSLREG|7MSLFST|8BASARM|9VULN
20	65211 12316	 * 	200.81	DCR|3ASPD|3DMG|4VULN	1489VULN|2MLV|3BELT|589DMG|6RMIN|789ASPD|89BPWR|aRCR
21	14326 41221	 * 	199.53	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|3VULN|4DUST|5ASPD|68BEXP|7DUR|9DLOT|aBASARM
22	14326 43221	   	199.53	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|3VULN|4DUST|5ASPD|68BEXP|7FEWX|9DLOT|aBASARM
23	14213 42532	   	199.53	ACR|1BASARM|2BEXP|2CDMG	1ERES|2RCR|3RCVC|4VULN|5MSLTOX|6aCDMG|79BEXP|8BASARM
24	14216 32121	   	199.53	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|3RCVC|4VULN|57BEXP|6ASPD|8MDPS|9DLOT|aBASARM
25	14333 42532	   	199.43	ACR|1BASARM|2BEXP|2CDMG	14ERES|2RCR|3VULN|5MSLTOX|6aCDMG|79BEXP|8BASARM
26	14336 32121	   	199.43	ACR|1BASARM|2BEXP|1ASPD	14ERES|2RCR|3VULN|57BEXP|6ASPD|8MDPS|9DLOT|aBASARM
27	14262 32226	 * 	198.85	ACR|2BASARM|2CDMG|1DMG	168ERES|2RCR|3RCVC|4aMLV|5DMG|7aCDMG|9aBASARM|aBPWR
28	14363 33513	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2RCR|3VULN|4CDMG|5MSLREG|6LWND|7BEXP|8BASARM|9ASPD|aFEWX
29	14163 23512	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2RCR|3DUST|4CDMG|5VENFST|6VULN|7BEXP|8BASARM|9ASPD|aLHND
30	14163 23513	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2RCR|3DUST|4CDMG|5VENFST|6VULN|7BEXP|8BASARM|9ASPD|aRCVC
31	14163 23522	   	198.35	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3DUST|4CDMG|5VENFST|6VULN|7BEXP|8BASARM|9DUR|aDMG
32	14213 42522	   	198.35	ACR|1BASARM|1DMG|1BEXP|1CDMG	1ERES|2RCR|3RCVC|4VULN|5MSLTOX|6CDMG|7BEXP|8BASARM|9MDPS|aDMG
33	14363 33511	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2RCR|3VULN|4CDMG|5MSLREG|6LWND|7BEXP|8BASARM|9ASPD|aDUST
34	14163 23511	   	198.25	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2RCR|3aDUST|4CDMG|5VENFST|6VULN|7BEXP|8BASARM|9ASPD
35	14333 42522	   	198.25	ACR|1BASARM|1DMG|1BEXP|1CDMG	14ERES|2RCR|3VULN|5MSLTOX|6CDMG|7BEXP|8BASARM|9MDPS|aDMG
36	14312 62252	 * 	198.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1ERES|2RCR|38VULN|4LWND|5CDMG|6DMG|7ASPD|9aBEXP
37	14363 21522	   	197.72	ACR|1BASARM|2VULN|1DMG|1CDMG	1ERES|2RCR|36VULN|4CDMG|5MSLREG|7LWND|8BASARM|9MDPS|aDMG
38	14352 53333	 * 	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1ERES|2RCR|39VULN|4AIRARM|5DUR|6BASARM|7TLV|8ASPD|aAART
39	14611 47143	   	197.68	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1ERES|2RCR|3MBVNT|4LWND|5LIT|6ASPD|7DMG|8SELL|9BASARM|aBEXP
40	14532 32422	 * 	197.56	ACR|3DMG|2BEXP|1ASPD	1ERES|2RCR|3MLV|47BEXP|59aDMG|6ASPD|8DUST
41	14642 32122	   	197.56	ACR|3DMG|2BEXP|1ASPD	1ERES|2RCR|3MBVNT|4ZMB|59aDMG|6ASPD|78BEXP
42	14524 32132	   	195.54	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8LHND|9BASARM|aLIT
43	14132 62511	   	195.44	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3DUST|4CGEN|56DMG|7DMSP|8BASARM|9RMIN|aBEXP
44	14132 62531	   	195.44	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3DUST|4CGEN|56DMG|7DMSP|8BASARM|9LHND|aBEXP
45	14524 21132	   	195.44	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8LHND|9BASARM|aLIT
46	14524 22132	   	195.44	ACR|1BASARM|2ASPD|1CDMG	1ERES|2RCR|3MLV|4CDMG|56ASPD|7LHND|8LEGI|9BASARM|aLIT
47	14524 32131	   	195.44	ACR|1BASARM|2ASPD|1CDMG	1aERES|2RCR|3MLV|4CDMG|57ASPD|6DUR|8LHND|9BASARM
48	14232 32221	   	195.34	ACR|1BASARM|2DMG|1CDMG	168ERES|2RCR|3RCVC|4CGEN|5aDMG|7CDMG|9BASARM
49	14262 32221	   	195.34	ACR|1BASARM|2DMG|1CDMG	168ERES|2RCR|3RCVC|4MLV|5aDMG|7CDMG|9BASARM
50	14424 23222	   	195.34	ACR|1BASARM|2ASPD|1CDMG	178ERES|2RCR|3CGEN|4CDMG|56ASPD|9BASARM|aDUR
51	14424 23223	   	195.34	ACR|1BASARM|2ASPD|1CDMG	178ERES|2RCR|3CGEN|4CDMG|56ASPD|9BASARM|aRPLT
52	14432 31522	   	195.34	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3CGEN|4BEXP|5aDMG|6MSLREG|7MSLFST|8BASARM|9DUR
53	14432 31532	   	195.34	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3CGEN|4BEXP|5aDMG|6MSLREG|7MSLFST|8BASARM|9LWND
54	14452 32221	   	195.34	ACR|1BASARM|2DMG|1CDMG	168ERES|2RCR|34CGEN|5aDMG|7CDMG|9BASARM
55	14524 21131	   	195.34	ACR|1BASARM|2ASPD|1CDMG	1aERES|2RCR|3MLV|4CDMG|56ASPD|7DUST|8LHND|9BASARM
56	14524 22131	   	195.34	ACR|1BASARM|2ASPD|1CDMG	1aERES|2RCR|3MLV|4CDMG|56ASPD|7LHND|8LEGI|9BASARM
57	14524 23222	   	195.34	ACR|1BASARM|2ASPD|1CDMG	178ERES|2RCR|3MLV|4CDMG|56ASPD|9BASARM|aDUR
58	14524 23223	   	195.34	ACR|1BASARM|2ASPD|1CDMG	178ERES|2RCR|3MLV|4CDMG|56ASPD|9BASARM|aRPLT
59	14132 31542	   	195.24	ACR|1BASARM|2DMG|1BEXP	1ERES|2RCR|3DUST|4CGEN|5aDMG|6MSLREG|7MSLFST|8BASARM|9BEXP
60	14242 32221	   	195.24	ACR|1BASARM|2DMG|1CDMG	168ERES|2RCR|3RCVC|4TLV|5aDMG|7CDMG|9BASARM
61	14213 42533	   	193.22	ACR|1BASARM|2BEXP|1CDMG	1ERES|2RCR|3RCVC|4VULN|5MSLTOX|6CDMG|79BEXP|8BASARM|aCGEN
62	14333 42533	   	193.12	ACR|1BASARM|2BEXP|1CDMG	14ERES|2RCR|3VULN|5MSLTOX|6CDMG|79BEXP|8BASARM|aCGEN
63	14213 42531	   	193.12	ACR|1BASARM|2BEXP|1CDMG	1aERES|2RCR|3RCVC|4VULN|5MSLTOX|6CDMG|79BEXP|8BASARM
64	14333 42531	   	193.02	ACR|1BASARM|2BEXP|1CDMG	14aERES|2RCR|3VULN|5MSLTOX|6CDMG|79BEXP|8BASARM
65	14432 31511	   	193.00	ACR|1BASARM|1DMG|1BEXP|1AAC	1ERES|2RCR|3CGEN|4BEXP|5DMG|6MSLREG|7MSLFST|8BASARM|9VULN|aAAC
66	14232 52511	 * 	192.79	ACR|1BASARM|2BEXP|1DMG	1ERES|2RCR|3RCVC|4CGEN|5DMG|6aBEXP|7DMSP|8BASARM|9RMIN
67	14232 52531	   	192.79	ACR|1BASARM|2BEXP|1DMG	1ERES|2RCR|3RCVC|4CGEN|5DMG|6aBEXP|7DMSP|8BASARM|9LHND
68	14236 12511	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|3RCVC|45CGEN|6aBEXP|7ASPD|8BASARM|9RMIN
69	14236 12531	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|3RCVC|45CGEN|6aBEXP|7ASPD|8BASARM|9LHND
70	14433 32511	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|36CGEN|4aBEXP|5RCVC|7ASPD|8BASARM|9RMIN
71	14433 32531	   	192.79	ACR|1BASARM|2BEXP|1ASPD	1ERES|2RCR|36CGEN|4aBEXP|5RCVC|7ASPD|8BASARM|9LHND
72	14532 22511	   	192.69	ACR|1BASARM|2BEXP|1DMG	16ERES|2RCR|3MLV|4aBEXP|5DMG|7DMSP|8BASARM|9RMIN
