0	Index      	 *	Score 	Summary	Detail	
1	11226 42623	 * 	188.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2LIT|3AART|4aVULN|58DMG|6RCR|7DUR|9ZMB
2	11226 42212	 * 	185.47	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1RCVC|2LIT|39AART|4aVULN|5DMG|6RCR|7DUR|8CDMG
3	11226 42611	 * 	185.47	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCVC|2LIT|39AART|4VULN|58DMG|6RCR|7DUR|aCDMG
4	26226 42212	   	185.17	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|2RCVC|39AART|4aVULN|5DMG|6RCR|7DUR|8CDMG
5	53322 35322	 * 	185.06	DCR|2VULN|3ZMB|1AART|1DMG|3DUR	13aZMB|23aDUR|3aBPWR|4MBVNT|5DMG|6AART|7LWND|8aVULN|9RCR
6	55212 13263	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|2AART|3RPLT|4CDMG|5ASPD|6aVULN|7DUR|8RCR|9DMG
7	55233 51332	 * 	183.47	ACR|2VULN|3ZMB|1AART|2CDMG|1DUR	16aZMB|2AART|3RPLT|4RCR|5aVULN|7DUR|8LWND|9aCDMG|aBPWR
8	11226 42152	 * 	182.96	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1RCVC|2LIT|3AART|4VULN|59aDMG|6RCR|7DUR|8ASPD
9	51322 52831	 * 	182.40	DCR|2VULN|2DMG|3ZMB|1AART	138ZMB|237LWND|38BPWR|4MBVNT|58DMG|68VULN|9AART|aRCR
10	11226 41623	   	182.02	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2LIT|3AART|4aVULN|58DMG|6RCR|7FEWX|9ZMB
11	52322 33353	   	180.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2ASPD|3MLV|48VULN|5aDMG|6AART|7RCR|9RMIN
12	52322 33323	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ZMB|2ASPD|3MLV|48VULN|5aDMG|6AART|7RCR|9ERES
13	52324 22423	 * 	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2ASPD|3MLV|458VULN|6RCR|7AART|9DUST|aDMG
14	55316 12231	 * 	179.04	DCR|3VULN|3ZMB|1AART|2DUR	137ZMB|2AART|37BPWR|47DUST|567VULN|8aDUR|9RCR
15	52322 33311	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|2ASPD|3MLV|48aVULN|5DMG|6AART|7RCR|9RPLT
16	11226 41212	   	178.53	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|39AART|4aVULN|5DMG|6RCR|7FEWX|8CDMG
17	11226 41611	   	178.53	DCR|2AART|2DMG|1VULN|1CDMG	1RCVC|2LIT|39AART|4VULN|58DMG|6RCR|7FEWX|aCDMG
18	11226 43212	   	178.53	DCR|2AART|2VULN|1DMG|1CDMG	1RCVC|2LIT|39AART|4aVULN|5DMG|6RCR|7LWND|8CDMG
19	11226 42622	   	178.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1RCVC|2LIT|3AART|4VULN|58DMG|6RCR|7DUR|9ZMB|aASPD
20	26226 41212	   	178.23	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2RCVC|39AART|4aVULN|5DMG|6RCR|7FEWX|8CDMG
21	26226 43212	   	178.23	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2RCVC|39AART|4aVULN|5DMG|6RCR|7LWND|8CDMG
22	11226 42633	   	177.86	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2LIT|3AART|4aVULN|58DMG|6RCR|7DUR|9TLV
23	12224 43362	   	177.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2ZMB|3ASPD|46VULN|5LWND|78DMG|9RCR|aAART
24	52322 32354	   	176.75	DCR|2VULN|2AART|1DMG|1ZMB|1DUR|1ASPD	1ZMB|2ASPD|3MLV|48VULN|5DMG|6aAART|7DUR|9RCR
25	12226 63363	 * 	176.62	DCR|3DMG|2VULN|2ASPD|1ZMB	1RCVC|2ZMB|35ASPD|45VULN|5BPWR|6DUST|78aDMG|9RCR
26	52354 21312	   	176.60	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	1ZMB|29ASPD|3MLV|4FEWX|59VULN|6RCR|7aDUR|89DMG|9BPWR
27	55233 53121	 * 	176.43	ACR|2VULN|3ZMB|1AART|1DMG	167ZMB|2AART|3RPLT|4RCR|59VULN|8DMG|aBELT
28	55233 53122	   	176.43	ACR|2VULN|3ZMB|1AART|1DMG	167ZMB|2AART|3RPLT|4RCR|59VULN|8DMG|aLWND
29	55233 53123	   	176.43	ACR|2VULN|3ZMB|1AART|1DMG	167ZMB|2AART|3RPLT|4RCR|59VULN|8DMG|aCGEN
