0	Index      	 *	Score 	Summary	Detail	
1	26121 22233	 * 	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8BEXP|9aVULN
2	26116 23312	 * 	185.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DUST|2CDMG|37DMG|4RCR|5MLV|6ZMB|89VULN|aAART
3	26121 22336	   	183.66	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8DUR|9VULN|aASPD
4	12435 52114	   	182.55	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38DMG|4AART|58DUST|6RCR|7MBVNT|8BPWR|9aVULN
5	26121 22335	 * 	180.57	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1DUST|2CDMG|35DMG|4aZMB|6AART|7RCR|8DUR|9VULN
6	26113 33524	 * 	180.06	ACR|3VULN|1AART|1DMG|2CDMG	19DUST|29CDMG|3DMG|4RCR|57aVULN|69LHND|8AART|9BPWR
7	16412 32334	   	178.46	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCVC|2CDMG|3AART|4ASPD|5DMG|6aVULN|7RCR|8DUR|9TLV
8	26116 23632	 * 	178.06	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	18DUST|28CDMG|37DMG|4RCR|5MLV|68ZMB|8BPWR|9VULN|aAART
9	31331 25313	 * 	176.87	ACR|3DMG|2VULN|1CDMG|2DUR	1ERES|29aDMG|3LWND|4LHND|5RCR|6aDUR|7CDMG|8aVULN|aBPWR
10	31331 25353	 * 	176.87	ACR|3VULN|2DMG|1CDMG|2DUR	1ERES|2aDMG|3LWND|4LHND|5RCR|6aDUR|7CDMG|89aVULN|aBPWR
11	26121 22236	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8BEXP|9VULN|aASPD
12	26121 22332	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8DUR|9VULN|aBEXP
13	26121 22333	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8DUR|9VULN|aMLV
14	26121 22343	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8DUR|9BEXP|aVULN
15	26121 22514	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ASPD|9BEXP|aVULN
16	26121 22533	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ASPD|9LIT|aVULN
17	26121 22636	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8FEWX|9VULN|aASPD
18	26121 22331	   	176.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8DUR|9VULN
19	26141 22335	   	176.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2CDMG|35DMG|4TLV|6AART|7RCR|8DUR|9VULN|aZMB
20	26125 22335	 * 	176.51	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG|1DUR	15DUST|2CDMG|3DMG|45aZMB|5BPWR|6AART|7RCR|8DUR|9VULN
21	26126 22335	   	176.51	DCR|3ZMB|1AART|1VULN|1DMG|1CDMG|1DUR	1DUST|2CDMG|3DMG|45aZMB|6AART|7RCR|8DUR|9VULN
22	26116 53312	   	174.28	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2CDMG|37DMG|4RCR|5MLV|6TLV|89VULN|aAART
23	26113 33511	   	173.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|4RCR|57aVULN|6LHND|8AART|9BEXP
24	26113 33531	   	173.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|4RCR|57aVULN|6LHND|8AART|9LWND
25	26125 22233	 * 	173.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	15DUST|2CDMG|3DMG|45ZMB|5BPWR|6AART|7RCR|8BEXP|9aVULN
26	26126 22233	   	173.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DUST|2CDMG|3DMG|45ZMB|6AART|7RCR|8BEXP|9aVULN
27	26121 22235	   	173.63	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1DUST|2CDMG|35DMG|4aZMB|6AART|7RCR|8BEXP|9VULN
28	26121 22635	   	173.63	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1DUST|2CDMG|35DMG|4aZMB|6AART|7RCR|8FEWX|9VULN
29	26113 33541	   	173.55	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2CDMG|3DMG|4RCR|57aVULN|6LHND|8AART|9LEGI
30	26112 36233	   	172.95	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	19DUST|2CDMG|39DMG|4RCR|5BEXP|6LHND|79ZMB|8AART|9BPWR|aVULN
31	26121 22523	 * 	172.41	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1aDUST|2CDMG|35aDMG|4ZMB|6AART|7RCR|8ASPD|9aMLV|aBPWR
32	26113 33412	   	172.35	ACR|3VULN|1AART|1DMG|1CDMG	18DUST|2CDMG|3DMG|4RCR|579VULN|6LHND|aAART
33	16412 22335	   	171.97	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2CDMG|3AART|4ASPD|5DMG|6BEXP|7RCR|8DUR|9VULN|aZMB
34	16412 32315	   	171.97	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2CDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8DUR|9LWND|aZMB
35	26122 21633	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4ZMB|58BEXP|6RCR|7AART|9aVULN
36	16412 32121	   	171.52	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2CDMG|3AART|4ASPD|5DMG|6aVULN|7RCR|8ERES|9MLV
37	26122 21233	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18DUST|2CDMG|3DMG|4ZMB|5BEXP|6RCR|7AART|9aVULN
38	16412 32151	 * 	171.25	DCR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1RCVC|29CDMG|3AART|4ASPD|5DMG|6VULN|7RCR|8ERES|aZMB
39	11126 13351	   	171.04	ACR|3DMG|2VULN|1DUR|1ASPD|2RCVC	17RCVC|2aMLV|34aDMG|5RCR|6ASPD|8DUR|9aVULN|aBPWR
40	26122 24211	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4ZMB|5BEXP|6RCR|7aVULN|8AART|9RMIN
41	26122 24223	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4ZMB|59BEXP|6RCR|7aVULN|8AART
42	26122 24251	   	170.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2CDMG|3DMG|4ZMB|5BEXP|6RCR|7aVULN|8AART|9CGEN
43	31121 56421	 * 	170.85	ACR|3DMG|2VULN|3ASPD	17aERES|27aDMG|38VULN|49LWND|5RCR|67aASPD|7aBPWR
44	11126 31386	 * 	170.64	ACR|3VULN|3DMG	1RCVC|29MLV|349DMG|5RCR|6BELT|7MBVNT|89aVULN|9BPWR
45	33126 13351	   	170.54	ACR|3DMG|2VULN|1DUR|1ASPD	1aERES|27RCVC|34aDMG|5RCR|6ASPD|8DUR|9aVULN|aBPWR
46	26121 22531	 * 	170.30	DCR|2DMG|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ASPD|9LIT|aFLTHEA
47	21152 43351	 * 	170.12	DCR|3VULN|2DMG|2ZMB	1aDUST|2RPLT|3aDMG|457VULN|6RCR|8LIT|9aZMB|aBPWR
48	26125 22336	   	169.92	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	15DUST|2CDMG|3DMG|45ZMB|5BPWR|6AART|7RCR|8DUR|9VULN|aASPD
49	26126 22336	   	169.92	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1ASPD|1DUR	1DUST|2CDMG|3DMG|45ZMB|6AART|7RCR|8DUR|9VULN|aASPD
50	26121 22213	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8BEXP|9LWND|aVULN
51	26121 22232	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8aBEXP|9VULN
52	26121 22443	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8LWND|9BEXP|aVULN
53	26121 22632	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8FEWX|9VULN|aBEXP
54	26121 22633	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8FEWX|9VULN|aMLV
55	26121 22643	   	169.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8FEWX|9BEXP|aVULN
56	26116 23432	   	169.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|37DMG|4RCR|5MLV|6ZMB|8RCVC|9VULN|aAART
57	26121 22114	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ERES|9BEXP|aVULN
58	26121 22121	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2CDMG|35DMG|4ZMB|6AART|7RCR|8ERES|9MLV|aVULN
