0	Index      	 *	Score 	Summary	Detail	
1	61621 33222	 * 	184.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36aVULN|4RCR|5ZMB|7LIT|8DMG|9AART
2	61623 43313	 * 	180.09	ACR|3DMG|2VULN|2CDMG|1ASPD	15CDMG|2ERES|36VULN|4RCR|79aDMG|8ASPD
3	61621 33223	 * 	179.85	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|8DMG|9aAART
4	61332 33525	 * 	176.79	ACR|2VULN|1AART|2CDMG|2ZMB|2ASPD|1DUR	1aCDMG|2ERES|3aZMB|4DUR|5RCR|67VULN|8aASPD|9AART|aBPWR
5	34123 33612	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3DUR|4RCR|56VULN|7ZMB|8AART|9CDMG|aDMG
6	23123 33612	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|4RCR|56VULN|7ZMB|8AART|9CDMG|aDMG
7	61621 33225	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|36VULN|4RCR|5ZMB|7LIT|8DMG|9AART|aDUR
8	61621 63222	 * 	174.71	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	16CDMG|2ERES|3aVULN|4RCR|5ZMB|7LIT|8DMG|9AART
9	61623 53222	   	174.71	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	15CDMG|2ERES|3aVULN|4RCR|6ZMB|7LIT|8DMG|9AART
10	14431 32242	 * 	174.13	DCR|3DMG|1AART|1VULN|3DUR	167DUR|2LHND|3AART|47BEXP|567DMG|67BPWR|8DUST|9RCR|aVULN
11	23116 33612	   	173.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|46VULN|5RCR|7ZMB|8AART|9CDMG|aDMG
12	26126 33612	   	173.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|26VULN|3DUR|4DUST|5RCR|7ZMB|8AART|9CDMG|aDMG
13	34123 24612	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2LHND|3DUR|4RCR|57VULN|6AART|8ASPD|9CDMG|aDMG
14	23123 24612	   	173.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|4RCR|57VULN|6AART|8ASPD|9CDMG|aDMG
15	61625 33222	   	173.05	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2ERES|36aVULN|4RCR|5RMIN|7LIT|8DMG|9AART
16	34123 35324	 * 	172.70	ACR|5VULN|1AART|1DUR	1BEXP|2LHND|3DUR|4RCR|56789VULN|aAART
17	23123 35324	   	172.60	ACR|5VULN|1AART|1DUR	1LHND|2DUST|3DUR|4RCR|56789VULN|aAART
18	61321 11514	 * 	171.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3ZMB|48AART|5VULN|6BEXP|7RCR|9DMG|aDUR
19	61321 21214	   	171.78	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3ZMB|48AART|5VULN|6LHND|7RCR|9DMG|aDUR
20	25234 11512	 * 	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2CGEN|3AART|4aDMG|5CDMG|6BEXP|7RCR|8VULN|9ZMB
21	25234 31512	   	171.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2CGEN|3AART|4aDMG|5CDMG|6FEWX|7RCR|8VULN|9ZMB
22	61321 31514	   	171.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2ERES|3ZMB|48AART|5VULN|6DUST|7RCR|9DMG|aDUR
23	34123 33615	   	171.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2LHND|3DUR|4RCR|56aVULN|7ZMB|8AART|9CDMG
24	22234 11512	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2TLV|3AART|4aDMG|5CDMG|6BEXP|7RCR|8VULN|9ZMB
25	22234 11515	 * 	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2TLV|3AART|4DMG|5CDMG|6BEXP|7RCR|8aVULN|9ZMB
26	22234 31512	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2TLV|3AART|4aDMG|5CDMG|6FEWX|7RCR|8VULN|9ZMB
27	22234 31515	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2TLV|3AART|4DMG|5CDMG|6FEWX|7RCR|8aVULN|9ZMB
28	23123 33615	   	171.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1LHND|2DUST|3DUR|4RCR|56aVULN|7ZMB|8AART|9CDMG
29	26623 41121	 * 	171.20	DCR|3VULN|1AART|1DMG|1DUR	1LHND|259VULN|3aRCVC|4DMG|6DUR|7RCR|8AART
30	61623 43311	 * 	171.04	ACR|2VULN|2DMG|2CDMG|2ASPD	15CDMG|2ERES|36VULN|4RCR|79DMG|8aASPD
31	23116 24612	   	170.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DUST|3DUR|47VULN|5RCR|6AART|8ASPD|9CDMG|aDMG
32	11411 12134	 * 	170.57	ACR|2VULN|2DMG|1AART|2DUR	12DUR|3AIRHEA|4LIT|5RCR|69DMG|78VULN|aAART
33	15411 12134	   	170.57	ACR|2VULN|2DMG|1AART|2DUR	12DUR|2BPWR|3AIRHEA|4LIT|5RCR|69DMG|78VULN|aAART
34	23116 35324	   	170.20	ACR|5VULN|1AART|1DUR	1LHND|2DUST|3DUR|46789VULN|5RCR|aAART
35	26623 41122	   	170.02	DCR|3VULN|1AART|1DMG|1DUR	1LHND|259VULN|3RCVC|4DMG|6DUR|7RCR|8AART|aBEXP
36	26623 41132	   	170.02	DCR|3VULN|1AART|1DMG|1DUR	1aLHND|25aVULN|3RCVC|4DMG|6DUR|7RCR|8AART|9aDUST|aBPWR
37	26623 41123	   	169.92	DCR|3VULN|1AART|1DMG|1DUR	1LHND|259VULN|3RCVC|4DMG|6DUR|7RCR|8AART|aERES
38	11133 14632	 * 	169.25	DCR|2VULN|2DMG|3DUR|1FLTHEA|1ASPD	128DUR|3MLV|48DMG|5LWND|6ASPD|78VULN|8BPWR|9RCR|aFLTHEA
