0	Index      	 *	Score 	Summary	Detail	
1	22162 46213	 * 	204.76	ACR|4VULN|2DMG|2CDMG|2ZMB|1SELL	178aVULN|2SELL|3RCR|4aCDMG|58DMG|68ZMB|8aBPWR|9aCGEN
2	22162 43211	 * 	197.68	ACR|3VULN|2DMG|3ZMB|1CDMG|1SELL	18aVULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9CGEN
3	22162 43251	 * 	197.68	ACR|3VULN|2DMG|3ZMB|1CDMG|1SELL	18aVULN|2SELL|3RCR|4CDMG|58DMG|678ZMB|8BPWR|9MLV
4	22162 46221	 * 	191.08	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR|1SELL	178VULN|2SELL|3RCR|4CDMG|58DMG|68ZMB|8BPWR|9DUR|aLIT
5	22162 46222	 * 	191.08	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR|1SELL	178VULN|2SELL|3RCR|4CDMG|58DMG|68ZMB|8BPWR|9DUR|aRMIN
6	22162 46223	 * 	191.08	ACR|3VULN|2DMG|2ZMB|1CDMG|1DUR|1SELL	178VULN|2SELL|3RCR|4CDMG|58DMG|68ZMB|8BPWR|9DUR|aLHND
7	22125 31321	 * 	184.15	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	18VULN|2SELL|3RCR|4RCVC|5AART|68MLV|78ZMB|8BPWR|9aDMG
8	22162 46211	 * 	184.15	ACR|3VULN|2DMG|2ZMB|1CDMG|1SELL	178VULN|2SELL|3RCR|4CDMG|58DMG|68ZMB|8BPWR|9CGEN|aLWND
9	22162 46212	 * 	184.15	ACR|3VULN|2DMG|2ZMB|1CDMG|1SELL	178VULN|2SELL|3RCR|4CDMG|58DMG|68ZMB|8BPWR|9CGEN|aLHND
10	22111 16661	 * 	184.03	ACR|3VULN|2DMG|3ZMB|1SELL	169VULN|2SELL|3RCR|4LWND|579ZMB|89DMG|9BPWR|aMLV
11	22111 16662	 * 	183.93	ACR|3VULN|2DMG|3ZMB|1SELL	169VULN|2SELL|3RCR|4LWND|579ZMB|89DMG|9BPWR|aERES
12	22111 16663	 * 	183.93	ACR|3VULN|2DMG|3ZMB|1SELL	169VULN|2SELL|3RCR|4LWND|579ZMB|89DMG|9BPWR|aDLOT
13	11561 51221	 * 	183.62	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|25VULN|38LIT|48DMG|6NUKE|7AART|8BPWR|9CDMG|aRCR
14	22162 26633	 * 	183.39	ACR|4VULN|2DMG|1CDMG|1SELL	178aVULN|2SELL|3RCR|4CDMG|5aDMG|6aCGEN|9RMIN|aBPWR
