0	Index      	 *	Score 	Summary	Detail	
1	62243 52418	 * 	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CGEN|2MBVNT|3ASPD|4aVULN|59DMG|6RCR|7CDMG|8AART
2	24523 21622	 * 	182.88	DCR|2VULN|2DMG|1AART|2CDMG	19LSRICY|2AART|39VULN|45DMG|6ERES|79CDMG|8RCR|9BPWR|aLHND
3	24523 21621	   	182.78	DCR|2VULN|2DMG|1AART|2CDMG	19LSRICY|2AART|39VULN|45DMG|6ERES|79CDMG|8RCR|9BPWR|aDUST
4	43123 21315	 * 	181.81	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|267VULN|3LHND|4ASPD|5AART|8DMG|9CDMG|aRCR
5	23425 16232	 * 	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|27VULN|3MLV|4RCR|5AART|6ZMB|8aDMG|9ASPD
6	22525 16232	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LSRICY|2TLV|37VULN|4RCR|5AART|6ZMB|8aDMG|9ASPD
7	23425 16211	 * 	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LSRICY|279VULN|3MLV|4RCR|5AART|6ZMB|8DMG|aASPD
8	22525 16211	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LSRICY|2TLV|379VULN|4RCR|5AART|6ZMB|8DMG|aASPD
9	13153 21145	 * 	179.47	DCR|3VULN|2DMG|1AART	1LWND|246VULN|3LHND|5RCVC|7RCR|8aDMG|9AART
10	24525 31213	   	179.06	DCR|2VULN|2DMG|1AART|1CDMG	18LSRICY|2AART|38VULN|49DMG|5LWND|68LHND|7RCR|8BPWR|aCDMG
11	24521 31213	   	178.96	DCR|2VULN|2DMG|1AART|1CDMG	18LSRICY|2AART|38VULN|49DMG|5DUST|68LHND|7RCR|8BPWR|aCDMG
12	52121 53212	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2ERES|3CDMG|459VULN|6DUR|7AART|8RCR|aDMG
13	13433 31231	 * 	177.93	ACR|3DMG|3ZMB|1VULN|1FLTHEA	19LWND|2VULN|379ZMB|4RCR|5LIT|6FLTHEA|89aDMG|9BPWR
14	23425 15113	 * 	177.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LSRICY|2VULN|3MLV|4RCR|5AART|6ZMB|79DMG|8DUR|aCDMG
15	23525 15113	   	177.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LSRICY|2VULN|3CGEN|4RCR|5AART|6ZMB|79DMG|8DUR|aCDMG
16	23425 16221	 * 	177.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LSRICY|27VULN|3MLV|4RCR|5AART|6ZMB|8DMG|9CDMG|aASPD
17	22525 16221	   	177.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LSRICY|2TLV|37VULN|4RCR|5AART|6ZMB|8DMG|9CDMG|aASPD
18	22525 15113	   	177.74	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LSRICY|2TLV|3VULN|4RCR|5AART|6ZMB|79DMG|8DUR|aCDMG
19	23324 53152	 * 	177.62	DCR|3VULN|2DMG|2ASPD|1ZMB	1LSRICY|23aVULN|4ZMB|5LHND|6aDMG|7RCR|8CGEN|9aASPD|aBPWR
20	24611 22362	 * 	176.67	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LSRICY|2AART|3CGEN|489DMG|5VULN|6ASPD|7CDMG|aRCR
21	13151 21145	   	176.67	DCR|3VULN|2DMG|1AART	1LWND|246VULN|35LHND|7RCR|8aDMG|9AART
22	24523 21362	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LSRICY|2AART|3VULN|459DMG|6ERES|7CDMG|8ASPD|aRCR
23	11151 21145	   	176.57	DCR|3VULN|2DMG|1AART	1LWND|2TLV|346VULN|5RMIN|7RCR|8aDMG|9AART
24	11152 21145	   	176.47	DCR|3VULN|2DMG|1AART	1LWND|25TLV|345VULN|5BPWR|6ERES|7RCR|8aDMG|9AART
25	31152 21145	   	176.47	DCR|3VULN|2DMG|1AART	1BEXP|25TLV|345VULN|5BPWR|6ERES|7RCR|8aDMG|9AART
26	13412 21145	 * 	175.87	DCR|2VULN|2DMG|1AART|2ZMB	14LWND|25VULN|35ZMB|5BPWR|6ERES|7RCR|8aDMG|9AART
27	13432 55212	 * 	175.32	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18LWND|28VULN|3ZMB|4RCR|5LSRREG|68DUR|7AART|8BPWR|9DMG|aASPD
28	13523 21515	   	174.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|267VULN|3LEGI|4ASPD|5AART|8DMG|9CDMG|aRCR
29	43163 21315	   	174.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|267VULN|3LHND|4NUKE|5AART|8DMG|9CDMG|aRCR
30	16112 21145	 * 	174.56	DCR|2VULN|2DMG|1AART|2ASPD	14LWND|25ASPD|35VULN|5BPWR|6ERES|7RCR|8aDMG|9AART
31	11132 43145	   	174.54	ACR|2VULN|2DMG|1AART|1ZMB	1LWND|25TLV|35VULN|4RCR|5BPWR|6ZMB|7RCVC|8aDMG|9AART
32	24242 41232	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	1LSRICY|2AART|35ERES|45VULN|5BPWR|6RCR|7CGEN|8aDMG|9ASPD
33	24521 16231	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LSRICY|2AART|38VULN|4DMG|5DUST|6ZMB|7CDMG|9RCR|aASPD
34	24521 16232	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LSRICY|2AART|38VULN|4DMG|5DUST|6ZMB|7CDMG|9RCR|aDUR
35	52121 53262	 * 	174.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1MLV|2ERES|3CDMG|45VULN|6DUR|79AART|8RCR|aDMG
36	13452 21141	 * 	173.94	DCR|3VULN|1AART|1DMG|2ZMB	1LWND|245VULN|35ZMB|5BPWR|6ERES|7RCR|8DMG|9AART|aFEWX
37	13452 21143	   	173.94	DCR|3VULN|1AART|1DMG|2ZMB	1LWND|245VULN|35ZMB|5BPWR|6ERES|7RCR|8DMG|9AART|aCGEN
38	62243 52413	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CGEN|2MBVNT|3ASPD|4VULN|59DMG|6RCR|7CDMG|8AART|aDUR
39	62213 52418	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1CGEN|2MBVNT|3ASPD|4DUR|59DMG|6RCR|7CDMG|8AART|aVULN
40	13452 21142	   	173.84	DCR|3VULN|1AART|1DMG|2ZMB	1LWND|245VULN|35ZMB|5BPWR|6ERES|7RCR|8DMG|9AART|aDUST
41	11132 22445	 * 	173.50	ACR|4VULN|1AART|1DMG	1LWND|25TLV|3568VULN|4RCR|5BPWR|7BEXP|9AART|aDMG
42	11132 23445	   	173.50	ACR|4VULN|1AART|1DMG	1LWND|25TLV|3568VULN|4RCR|5BPWR|7FEWX|9AART|aDMG
43	13332 22445	   	173.50	ACR|4VULN|1AART|1DMG	1LWND|2568VULN|35ERES|4RCR|5BPWR|7BEXP|9AART|aDMG
44	13332 23345	   	173.50	ACR|4VULN|1AART|1DMG	1LWND|2568VULN|35ERES|4RCR|5BPWR|7FEWX|9AART|aDMG
45	23256 43331	   	173.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LSRICY|27VULN|3LHND|4AART|5ZMB|6CDMG|8DMG|9RCR|aASPD
46	16135 31351	   	173.17	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3VULN|4RCR|5BEXP|6AART|78DMG|9DUR|aCDMG
47	16131 31351	   	173.07	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1LWND|2ASPD|3VULN|4RCR|5DUST|6AART|78DMG|9DUR|aCDMG
48	23234 55212	   	173.02	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18LSRICY|28VULN|3LHND|4ZMB|5RCR|68DUR|7AART|8BPWR|9DMG|aASPD
49	13153 21245	   	172.89	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|246VULN|3LHND|5RCVC|7RCR|8ZMB|9AART|aDMG
