0	Index      	 *	Score 	Summary	Detail	
1	23212 41451	 * 	191.40	DCR|3VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38aVULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART
2	61311 14235	 * 	189.61	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59VULN|6ZMB|79ASPD|8RCR|9BPWR|aAART
3	11231 42512	   	184.87	DCR|3VULN|2DMG|1AART|1ZMB	18FEWX|2AART|3LWND|489VULN|5ZMB|6BEXP|78DMG|8BPWR|aRCR
4	11234 52512	   	184.87	DCR|3VULN|2DMG|1AART|1ZMB	18FEWX|2AART|3LWND|489VULN|5LHND|6ZMB|78DMG|8BPWR|aRCR
5	11236 52512	   	184.77	DCR|3VULN|2DMG|1AART|1ZMB	18FEWX|2AART|3LWND|489VULN|5DUST|6ZMB|78DMG|8BPWR|aRCR
6	56734 42222	 * 	182.17	DCR|3DMG|2VULN|2CDMG|1ASPD	1ASPD|2MBVNT|35CDMG|457DMG|5BPWR|6RCR|8DMSP|9aVULN
7	61311 14231	 * 	182.06	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1BASICY|29DMG|3LHND|4DUR|59aVULN|6ZMB|79ASPD|8RCR|9BPWR
8	23133 41462	 * 	181.70	DCR|4VULN|2DMG|2DUR	1RCVC|28DUR|3LEGI|4LWND|589aVULN|6RCR|78DMG|8BPWR
9	11211 62512	   	181.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18FEWX|2AART|3LWND|48DUR|5ZMB|69VULN|78DMG|8BPWR|aRCR
10	14212 21451	   	179.17	DCR|3VULN|2DMG|1AART	18FEWX|2RCVC|38aVULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART
11	22233 33624	 * 	179.04	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	15RCVC|29CDMG|3MLV|49DMG|69ZMB|7RCR|8AART|9BPWR|aVULN
12	23232 41453	 * 	178.96	DCR|2VULN|2DMG|1AART|3DUR	1RCVC|289DUR|38VULN|4LHND|5DUST|6RCR|78DMG|8BPWR|aAART
13	22143 33624	   	178.94	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	15RCVC|29CDMG|3ERES|49ZMB|69DMG|7RCR|8AART|9BPWR|aVULN
14	56741 11214	 * 	178.94	DCR|3VULN|3CDMG|3ASPD|1DMG	179ASPD|2MBVNT|347CDMG|5RMIN|679VULN|79BPWR|8RCR|aDMG
15	12661 62323	 * 	177.56	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1FEWX|2DUR|34VULN|5DMG|6CDMG|7RCR|8ERES|9AART|aFLTHEA
16	56734 41423	 * 	176.12	DCR|2DMG|1VULN|2CDMG|2ASPD|1FLTHEA|1DUR	19ASPD|2MBVNT|35CDMG|45DMG|5BPWR|6RCR|7FLTHEA|8DUR|aVULN
17	22331 11455	 * 	175.98	DCR|2VULN|3CDMG|1AART|1DMG|2ASPD	1RCVC|278CDMG|37ASPD|4DMG|5BEXP|67VULN|7BPWR|9AART|aRCR
18	12661 62121	   	175.82	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1aFEWX|2aDUR|34VULN|5DMG|6aCDMG|7RCR|8RMIN|9AART|aBPWR
19	23212 41452	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART|aDLOT
20	23212 41453	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38VULN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9AART|aERES
