0	Index      	 *	Score 	Summary	Detail	
1	32226 41361	 * 	230.95	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ASPD|aMDPS
2	32226 41362	 * 	226.35	DCR|2VULN|2DMG|2ASPD|1AART	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9aASPD
3	31226 41361	   	224.02	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1TLV|2AME|3AART|47VULN|58DMG|6RCR|9ASPD|aMDPS
4	31226 41362	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	1TLV|2AME|3AART|47VULN|58DMG|6RCR|9aASPD
5	35212 14124	 * 	219.32	1SPLARM|2VULN|1MDPS|2DMG|1AART|1ASPD	1TLV|2SPLARM|36DMG|4ASPD|5RMIN|7AART|89VULN|aMDPS
6	42226 43332	 * 	218.15	DCR|3DMG|2VULN|1AART|1ZMB	1CGEN|2RMIN|3AART|49VULN|578DMG|6RCR|aZMB
7	52226 43332	   	218.15	DCR|3DMG|2VULN|1AART|1ZMB	1MLV|2RMIN|3AART|49VULN|578DMG|6RCR|aZMB
8	32226 43332	   	218.05	DCR|3DMG|2VULN|1AART|1ZMB	1TLV|2RMIN|3AART|49VULN|578DMG|6RCR|aZMB
9	32226 43362	   	218.05	DCR|3DMG|2VULN|1AART|1ZMB	19TLV|2RMIN|3AART|49VULN|578DMG|6RCR|9BPWR|aZMB
10	42226 41322	   	212.23	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aASPD
11	52226 41322	   	212.23	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aASPD
12	32226 41116	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|59DMG|6RCR|8LHND|aASPD
13	32226 41322	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9AME|aASPD
14	32226 41363	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ASPD|aLHND
15	42226 41312	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
16	52226 41312	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
17	32226 41312	   	212.03	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|2RMIN|3AART|47VULN|58DMG|6RCR|9ERES|aASPD
18	41226 43332	   	211.21	DCR|3DMG|2VULN|1AART|1ZMB	1CGEN|2AME|3AART|49VULN|578DMG|6RCR|aZMB
19	51226 43332	   	211.21	DCR|3DMG|2VULN|1AART|1ZMB	1MLV|2AME|3AART|49VULN|578DMG|6RCR|aZMB
