0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12316 11631	1	 * 	281.90	橙4易伤3时间1等级1暴击	178敌人爆炸2等级378时间478a易伤5平台6核78序列升级9暴击
2	22242 11426	6	 * 	277.98	橙5易伤2时间2等级	1随机矿2加一34789易伤58等级68时间8序列升级a核
3	22242 13426	7	   	277.98	橙5易伤2时间2等级	1随机矿2加一34789易伤58等级68时间8序列升级a核
4	12316 11625	1	 * 	273.98	橙3易伤3时间1伤害1等级	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9雷电a伤害
5	12316 11615	1	 * 	272.16	橙4易伤3时间2等级	178敌人爆炸2a等级378时间478a易伤5平台6核78a序列升级9a最后敌人
6	22242 11316	7	 * 	269.73	橙3易伤2伤害2时间1等级	1随机矿2加一34a易伤5等级6a时间7a伤害8平台9核a序列升级
7	25316 31132	10	 * 	269.24	橙3易伤3伤害2时间	1随机矿2额外掉落349伤害49序列升级5平台689易伤79时间a核
8	12316 11551	1	   	268.25	橙4易伤3时间1等级	17a敌人爆炸2等级37a时间478a易伤5平台6核7a序列升级9立即金币
9	12316 11611	1	   	268.25	橙4易伤3时间1等级	178敌人爆炸2等级378时间478a易伤5平台6核78序列升级9最后敌人
10	12316 13651	1	   	268.25	橙4易伤3时间1等级	18a敌人爆炸2等级38a时间478a易伤5平台6核8a序列升级9立即金币
11	12316 13561	1	   	268.05	橙4易伤3时间1等级	1a敌人爆炸2等级39a时间478a易伤5平台6核a序列升级
12	12126 43116	3	   	267.48	橙2易伤2伤害2时间1等级1暴击1攻速	1敌人爆炸2a时间3攻速4等级5加一6a伤害7暴击8a易伤9核a序列升级
13	42126 43116	3	   	267.38	橙2易伤2伤害2时间1等级1暴击1攻速	1挖尘2a时间3攻速4等级5加一6a伤害7暴击8a易伤9核a序列升级
14	12532 13154	4	 * 	266.81	橙3易伤3时间2伤害	145敌人爆炸245时间3加一459序列升级6核79伤害89a易伤
15	32532 13154	4	   	266.81	橙3易伤3时间2伤害	145基地爆炸245时间3加一459序列升级6核79伤害89a易伤
16	32542 13154	3	   	266.81	橙3易伤3时间2伤害	145基地爆炸245时间3加一459序列升级6核79伤害89a易伤
17	42532 13154	4	   	266.51	橙3易伤3时间2伤害	145挖尘245时间3加一459序列升级6核79伤害89a易伤
18	13316 11631	2	   	265.65	橙4易伤3时间1暴击	178敌人爆炸2矿等378时间478a易伤5平台6核78序列升级9暴击
19	13361 11631	5	   	265.65	橙4易伤3时间1暴击	178敌人爆炸2矿等378a易伤4平台578时间6核78序列升级9暴击
20	13363 11631	4	   	265.65	橙4易伤3时间1暴击	178敌人爆炸2矿等378a易伤4平台578时间6核78序列升级9暴击
21	33361 11631	5	   	265.65	橙4易伤3时间1暴击	178基地爆炸2矿等378a易伤4平台578时间6核78序列升级9暴击
22	33363 11631	4	   	265.65	橙4易伤3时间1暴击	178基地爆炸2矿等378a易伤4平台578时间6核78序列升级9暴击
23	22258 32531	6	 * 	265.25	橙4易伤2伤害2等级	1随机矿2加一378a易伤4平台5a等级6核9a伤害a序列升级
24	62514 21345	9	 * 	265.15	橙4易伤2伤害3等级	1挖青258a易伤3加一458等级58序列升级6随机矿78伤害9核
25	22248 12754	7	   	264.40	橙3易伤2时间1伤害2雷电1暴击	1随机矿2加一348易伤5伤害68时间78雷电8序列升级9核a暴击
26	22248 12751	7	   	263.98	橙3易伤3时间1伤害2雷电	1随机矿2加一348易伤5伤害68a时间78雷电8序列升级9核
27	62144 43317	10	   	263.18	橙3易伤2伤害2等级1攻速1全技能	1挖青278易伤3攻速4加一58等级68伤害8序列升级9全技能a核
28	22248 14421	9	 * 	261.90	橙3易伤2时间3暴击1伤害	1随机矿2加一349易伤5伤害69时间789暴击9序列升级a核
29	22248 71421	9	   	261.90	橙3易伤2时间3暴击1伤害	1随机矿2加一349易伤5伤害689暴击79时间9序列升级a核
30	22215 38331	8	   	261.54	橙4易伤2伤害1等级	1随机矿2加一378a易伤48金币生成58伤害6核8序列升级9等级
31	22265 38331	8	   	261.54	橙4易伤2伤害1等级	1随机矿2加一378a易伤48矿等58伤害6核8序列升级9等级
32	22265 34323	8	 * 	261.04	橙4易伤3伤害	1随机矿2加一389a易伤489矿等578伤害6核89序列升级
33	22215 38383	10	   	260.94	橙4易伤3伤害	1随机矿2加一3789易伤48金币生成58a伤害6核8序列升级
34	22845 33151	6	 * 	260.19	橙2易伤2伤害2时间2等级1暴击	1随机矿2加一3a等级4a时间59伤害6核7暴击8a易伤a序列升级
35	11332 13325	8	   	259.58	橙5易伤1等级1时间	1敌人爆炸2策反34789易伤5等级6时间a核
36	11332 13345	9	   	259.58	橙5易伤1等级1时间	1敌人爆炸2策反34789易伤5等级6时间a核
37	22242 13326	8	   	259.48	橙5易伤1等级1时间	1随机矿2加一34789易伤5等级6时间a核
38	22242 13356	9	   	259.48	橙5易伤1等级1时间	1随机矿2加一34789易伤5等级6时间a核
39	12316 11632	1	   	259.26	橙3易伤3时间1等级1暴击	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9暴击a低血量敌人
40	12316 11634	1	   	259.26	橙3易伤3时间1等级1暴击	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9暴击a策反
41	12316 11635	1	   	259.26	橙3易伤3时间1等级1暴击	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9暴击a最后敌人
42	12316 11636	1	   	259.26	橙3易伤3时间1等级1暴击	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9暴击a金币生成
43	12316 11633	1	   	259.16	橙3易伤3时间1等级1暴击	178敌人爆炸2等级378时间478易伤5平台6核78序列升级9暴击a挖尘
44	22314 86731	3	 * 	258.96	橙3易伤2伤害2暴击1等级	1随机矿2加一3a暴击46a易伤56敌人爆炸6a序列升级7核8等级9a伤害
45	22246 36731	5	   	258.86	橙3易伤2伤害2暴击1等级	1随机矿2加一34a易伤5a暴击6敌人爆炸7核8等级9a伤害a序列升级
46	22845 41316	4	   	258.86	橙3易伤2伤害2等级1时间	1随机矿2加一3a等级4时间57a易伤6a伤害8平台9核a序列升级
47	21134 32141	5	   	258.58	橙2易伤3伤害2时间1等级	1随机矿2a时间3等级4平台59a伤害6核7双倍矿8a易伤a序列升级
48	22224 43716	7	 * 	258.37	橙3易伤3伤害3等级	1随机矿2加一38a易伤4敌人爆炸58a等级68a伤害7平台8a序列升级9核
49	22242 11458	6	   	258.34	橙4易伤2时间2等级	1随机矿2加一3478易伤58等级68时间8序列升级9双倍物品a核
50	22242 13458	7	   	258.34	橙4易伤2时间2等级	1随机矿2加一3478易伤58等级68时间8序列升级9双倍物品a核
51	62513 43345	9	 * 	258.24	橙4易伤2时间3等级	1挖青278a易伤3加一468等级58时间8序列升级9核
52	22247 54623	5	   	258.18	橙5易伤1等级2雷电	1随机矿2加一34678易伤58雷电8序列升级9核a等级
53	22282 54623	5	   	258.18	橙5易伤1等级2雷电	1随机矿2加一35678易伤48雷电8序列升级9核a等级
54	62544 24184	5	   	258.08	橙5易伤1时间2雷电	1挖青24689易伤3加一56雷电6序列升级7核a时间
