0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26316 21531	1	 * 	289.20	橙4易伤3时间3等级2全技能	16全技能2赏金邻近378等级478时间5789易伤78序列升级a核
2	25244 32133	7	 * 	279.01	橙4易伤3伤害1全技能	1全技能2双倍矿359伤害4579易伤59序列升级6立即金币8核a雷电
3	21624 23335	5	   	278.58	橙4易伤3伤害2全技能	17全技能29基地爆炸369伤害4689易伤5立即金币69序列升级a核
4	21626 23335	5	   	278.58	橙4易伤3伤害2全技能	17全技能29基地爆炸369伤害4689易伤5双倍矿69序列升级a核
5	25244 32131	7	   	270.71	橙4易伤3伤害1全技能	1全技能2双倍矿359伤害4579易伤59序列升级6a立即金币8核
6	25244 32132	7	   	270.71	橙4易伤3伤害1全技能	1全技能2双倍矿359伤害4579易伤59序列升级6立即金币8核a策反
7	26225 21531	1	   	269.33	橙4易伤3时间2全技能	16全技能2赏金邻近3789易伤478时间578矿等78序列升级a核
8	25241 23125	4	 * 	268.03	橙3易伤3伤害2等级1全技能	1全技能2双倍矿357伤害479易伤67等级7序列升级8金币生成a核
9	62134 22241	6	 * 	267.31	橙5易伤2等级1伤害	1a矿等2459a易伤3伤害6金币生成7核8a等级a序列升级
10	25213 62631	8	   	267.04	橙3易伤3伤害2全技能1攻速	14全技能2双倍矿389伤害5攻速689策反789易伤89序列升级a核
11	62114 22241	6	 * 	265.35	橙4易伤2伤害2等级	1a矿等259a易伤34伤害6金币生成7核8a等级a序列升级
12	62132 12241	6	   	265.35	橙4易伤2伤害2等级	1a矿等249a易伤36伤害5金币生成7核8a等级a序列升级
13	62135 22241	6	   	265.35	橙4易伤2伤害2等级	1a矿等249a易伤35伤害6金币生成7核8a等级a序列升级
14	34124 33325	8	 * 	264.29	橙3易伤2伤害2时间1攻速	126挖尘3a伤害4攻速59a易伤7核8a时间a序列升级
15	62231 61314	8	   	263.56	橙3易伤2伤害1等级1时间	17矿等267易伤3雷电4等级57伤害7序列升级8时间9立即金币a核
16	43121 13526	10	   	263.39	橙5易伤1伤害1等级	1低血量敌人24568易伤3敌人爆炸7等级9伤害a核
17	25244 23122	7	   	262.21	橙3易伤2伤害1时间1暴击1全技能	1全技能2双倍矿35伤害459易伤5序列升级6时间7暴击8核a矿等
18	25244 23123	7	   	262.11	橙3易伤2伤害1时间1暴击1全技能	1全技能2双倍矿35伤害459易伤5序列升级6时间7暴击8核a赏金塔
19	62134 13252	6	   	261.44	橙4易伤2伤害1时间	16矿等2457易伤3a伤害8时间9核
20	62114 12132	10	   	261.04	橙4易伤3伤害	169矿等2589易伤349伤害7双倍矿9序列升级a核
21	62114 16132	10	   	261.04	橙4易伤3伤害	169矿等2589易伤349伤害7立即金币9序列升级a核
22	62135 12132	10	   	261.04	橙4易伤3伤害	169矿等2489易伤359伤害7双倍矿9序列升级a核
23	62135 16132	10	   	261.04	橙4易伤3伤害	169矿等2489易伤359伤害7立即金币9序列升级a核
24	43121 14335	7	   	260.84	橙4易伤3伤害	1低血量敌人2456易伤3敌人爆炸789伤害a核
25	43121 16335	6	   	260.84	橙4易伤3伤害	1低血量敌人2456易伤3敌人爆炸789伤害a核
26	33263 31254	9	   	260.74	橙4易伤3伤害	137挖尘278a易伤4加一5平台678伤害78序列升级9核
27	33121 14335	7	   	260.74	橙4易伤3伤害	1挖尘2456易伤3敌人爆炸789伤害a核
28	33121 16335	6	   	260.74	橙4易伤3伤害	1挖尘2456易伤3敌人爆炸789伤害a核
29	23411 51413	4	   	260.51	橙3易伤2时间1伤害2雷电1全技能	1全技能28雷电3平台4伤害5额外掉落68a易伤78时间8序列升级9核
30	23231 21245	9	   	260.41	橙3易伤2时间1伤害2雷电1全技能	1全技能26雷电3最后敌人479易伤56时间6序列升级8伤害a核
31	23531 21245	9	   	260.41	橙3易伤2时间1伤害2雷电1全技能	1全技能26雷电3敌人爆炸479易伤56时间6序列升级8伤害a核
32	62133 14647	8	   	260.00	橙4易伤1伤害1等级1时间	1矿等2468易伤3伤害5加一7等级9核a时间
33	33121 13532	10	   	259.48	橙5易伤1等级1时间	1挖尘24568易伤3敌人爆炸7等级9时间a核
